subj,pas,discr_accu,loc_accu,expDes1,expDes2,expDes3,expDes4,expDes5
1,4,1,1,1,2,5,1,21
1,2,1,1,1,2,4,2,14
1,1,1,0,1,2,1,1,9
1,1,0,0,2,2,1,2,2
1,2,1,1,1,2,4,1,3
1,1,0,1,2,1,4,2,8
1,2,1,1,1,1,4,1,8
1,1,1,0,2,1,1,1,5
1,1,0,1,1,1,3,2,36
1,1,1,0,2,2,1,1,3
1,2,1,1,1,2,3,2,20
1,1,0,1,1,1,1,2,20
1,1,0,1,2,1,3,2,2
1,4,0,0,2,1,4,2,9
1,4,1,1,1,2,5,1,14
1,1,1,0,1,2,2,1,10
1,1,0,0,2,2,5,2,1
1,2,1,1,1,2,3,2,25
1,1,0,0,2,2,2,2,10
1,1,1,0,1,2,2,1,2
1,1,1,0,2,2,5,1,2
1,1,1,0,2,2,1,1,6
1,1,1,1,1,1,1,1,16
1,2,1,1,1,1,4,1,9
1,4,1,1,1,2,5,1,13
1,2,1,1,1,2,4,2,30
1,1,1,1,1,1,3,1,3
1,1,1,1,1,1,1,1,9
1,1,0,1,2,1,1,2,4
1,4,1,1,1,1,5,1,16
1,2,0,1,1,1,3,1,2
1,1,1,1,2,1,4,1,8
1,1,0,1,2,1,3,2,9
1,4,1,1,1,2,4,1,1
1,1,0,1,1,1,3,2,27
1,4,1,1,1,1,5,1,20
1,1,1,1,1,1,1,1,14
1,2,0,1,1,1,3,1,34
1,1,0,1,2,2,5,2,8
1,1,0,0,1,2,3,2,17
1,2,1,1,1,2,4,2,27
1,1,0,0,1,2,2,2,18
1,1,0,0,1,2,2,2,35
1,2,1,1,1,1,4,1,26
1,1,0,1,2,1,5,2,8
1,2,1,1,1,2,2,2,27
1,4,1,1,1,2,5,1,16
1,1,1,1,2,1,5,1,7
1,4,1,1,1,2,5,1,34
1,1,0,0,2,2,3,2,3
1,1,1,0,2,2,1,1,6
1,4,1,1,1,1,5,1,33
1,2,1,1,1,2,4,1,24
1,4,1,1,1,2,5,1,25
1,2,1,1,1,2,3,1,6
1,4,0,1,1,2,4,2,36
1,4,1,1,1,2,5,1,26
1,1,1,1,1,1,3,1,15
1,1,0,1,1,1,1,2,4
1,1,0,0,2,2,4,2,8
1,1,0,1,2,1,5,2,6
1,2,1,1,1,2,2,2,25
1,4,1,1,1,1,5,2,13
1,1,1,1,1,1,2,1,19
1,1,1,0,1,2,1,1,1
1,2,0,1,1,2,4,1,29
1,1,0,1,1,1,4,2,4
1,2,1,1,1,2,5,2,36
1,1,1,0,1,2,1,1,20
1,2,1,1,1,2,2,2,31
1,1,1,1,1,1,3,2,15
1,1,1,1,2,1,2,1,8
1,1,1,0,2,1,2,1,9
1,4,1,1,1,2,5,1,3
1,2,1,1,1,2,5,1,29
1,1,1,0,1,2,1,1,19
1,1,1,1,1,1,2,1,16
1,1,1,0,2,2,3,1,6
1,1,1,0,2,2,3,1,4
1,1,0,0,1,2,1,2,3
1,1,1,1,1,1,1,1,5
1,1,1,1,1,1,2,1,25
1,1,1,1,2,1,3,1,8
1,1,1,1,1,1,2,1,36
1,4,1,1,1,2,4,1,13
1,1,0,0,2,2,4,2,6
1,2,0,1,1,2,3,1,5
1,1,1,1,2,1,2,1,1
1,4,1,1,1,2,5,1,4
1,1,0,0,1,2,3,2,4
1,1,1,1,2,1,1,1,6
1,1,0,0,1,2,2,1,7
1,1,1,1,2,1,5,1,8
1,1,1,0,1,2,1,1,4
1,3,1,1,1,1,4,1,21
1,1,1,0,2,2,3,1,2
1,1,1,1,1,1,3,1,24
1,1,1,1,2,1,2,1,6
1,1,0,0,2,2,1,2,9
1,1,1,1,1,1,4,2,34
1,1,1,1,1,1,3,1,9
