,N_p,N_t,sigma_b,sigma_w,mu,seeds,QUID,OANOVA
156,100,100,0,1000,0,56,0.309102323,0.000373828
157,100,100,0,1000,0,57,2.56E+29,0
158,100,100,0,1000,0,58,26.01633111,3.05E-07
159,100,100,0,1000,0,59,5.26E-05,1
160,100,100,0,1000,0,60,6.14E+21,0
161,100,100,0,1000,0,61,7.62E-05,1
162,100,100,0,1000,0,62,0.026583013,0.021210072
163,100,100,0,1000,0,63,7.29E-05,1
164,100,100,0,1000,0,64,0.000541445,0.983828873
165,100,100,0,1000,0,65,7.79E-05,1
166,100,100,0,1000,0,66,6.83E-05,1
167,100,100,0,1000,0,67,4868732.72,7.24E-14
168,100,100,0,1000,0,68,0.000129579,1
169,100,100,0,1000,0,69,0.118858685,0.001216797
170,100,100,0,1000,0,70,6.84E-05,1
171,100,100,0,1000,0,71,20011987.5,5.10E-08
172,100,100,0,1000,0,72,0.000281634,1
173,100,100,0,1000,0,73,0.670941978,0.153190254
174,100,100,0,1000,0,74,0.00034535,1
175,100,100,0,1000,0,75,0.000144386,1
176,100,100,0,1000,0,76,0.006334822,0.929452709
177,100,100,0,1000,0,77,6.69E-05,1
178,100,100,0,1000,0,78,2.44E+16,3.33E-15
179,100,100,0,1000,0,79,0.001436058,0.994530162
180,100,100,0,1000,0,80,6.56E-05,1
181,100,100,0,1000,0,81,0.003234025,0.991395021
182,100,100,0,1000,0,82,0.330753328,8.27E-05
183,100,100,0,1000,0,83,0.001678648,0.775007935
184,100,100,0,1000,0,84,9.71E-05,1
185,100,100,0,1000,0,85,0.007694602,0.892703459
186,100,100,0,1000,0,86,5.86E-05,1
187,100,100,0,1000,0,87,0.000100496,1
188,100,100,0,1000,0,88,7.69E-05,1
189,100,100,0,1000,0,89,9.03E+40,0
190,100,100,0,1000,0,90,7.493570184,0.024434601
191,100,100,0,1000,0,91,5.53E-05,1
192,100,100,0,1000,0,92,0.000116516,1
193,100,100,0,1000,0,93,1404704.602,5.80E-13
194,100,100,0,1000,0,94,2.11E+43,0
195,100,100,0,1000,0,95,0.007751205,0.103226546
196,100,100,0,1000,0,96,0.003570137,0.45363112
197,100,100,0,1000,0,97,0.001518346,0.999991345
198,100,100,0,1000,0,98,333039.1263,4.67E-06
199,100,100,0,1000,0,99,0.000107874,1
200,100,100,0,1000,0,100,0.000229866,1
201,30,100,15,1,0,1,Inf,0
202,30,100,15,1,0,2,Inf,0
203,30,100,15,1,0,3,Inf,0
204,30,100,15,1,0,4,Inf,0
205,30,100,15,1,0,5,Inf,0
206,30,100,15,1,0,6,Inf,0
207,30,100,15,1,0,7,Inf,0
208,30,100,15,1,0,8,Inf,0
209,30,100,15,1,0,9,Inf,0
210,30,100,15,1,0,10,Inf,0
211,30,100,15,1,0,11,Inf,0
212,30,100,15,1,0,12,Inf,0
213,30,100,15,1,0,13,Inf,0
214,30,100,15,1,0,14,Inf,0
215,30,100,15,1,0,15,Inf,0
216,30,100,15,1,0,16,Inf,0
217,30,100,15,1,0,17,Inf,0
218,30,100,15,1,0,18,Inf,0
219,30,100,15,1,0,19,Inf,0
220,30,100,15,1,0,20,Inf,0
221,30,100,15,1,0,21,Inf,0
222,30,100,15,1,0,22,Inf,0
223,30,100,15,1,0,23,Inf,0
224,30,100,15,1,0,24,Inf,0
225,30,100,15,1,0,25,Inf,0
226,30,100,15,1,0,26,Inf,0
227,30,100,15,1,0,27,Inf,0
228,30,100,15,1,0,28,Inf,0
