"","N_p","N_t","sigma_b","sigma_w","mu","seeds","QUID","OANOVA","SC"
"31",100,100,0,1,0,31,1.89312299940405e-16,0.165902458808455,0.569043095690431
"32",100,100,0,1,0,32,2.07147823112597e-14,0.268472691877971,0.162883711628837
"33",100,100,0,1,0,33,0.00146775908620284,0.791281314293622,0.53964603539646
"34",100,100,0,1,0,34,0.00174134007871151,0.686471611516061,0.505149485051495
"35",100,100,0,1,0,35,3.72166163198073e-18,0.524955894271544,0.475952404759524
"36",100,100,0,1,0,36,0.00396561112060512,0.356757935175839,0.658234176582342
"37",100,100,0,1,0,37,0.00213891157349189,0.817277007232862,0.901709829017098
"38",100,100,0,1,0,38,0.0493418743703915,0.129744830869752,0.0807919208079192
"39",100,100,0,1,0,39,1.13474433417738e-22,0.893137906573121,0.704429557044296
"40",100,100,0,1,0,40,1.14913565612969e-17,0.429308677168116,0.688531146885311
"41",100,100,0,1,0,41,0.00166867750273588,0.825315745870583,0.767123287671233
"42",100,100,0,1,0,42,7.09563901499396e-14,0.0323241636654052,0.0676932306769323
"43",100,100,0,1,0,43,4.64876707453485e-15,0.208507415942935,0.227977202279772
"44",100,100,0,1,0,44,0.00232766896820893,0.650024905680218,0.618238176182382
"45",100,100,0,1,0,45,7.41289868220576e-21,0.789037148539989,0.90960903909609
"46",100,100,0,1,0,46,5.65052521699894e-19,0.599839835375519,0.551944805519448
"47",100,100,0,1,0,47,0.00334633448291765,0.487474957089372,0.542645735426457
"48",100,100,0,1,0,48,1.49773460189145e-12,0.383183036673679,0.953404659534047
"49",100,100,0,1,0,49,4.51436827714439e-16,0.242291649418363,0.406259374062594
"50",100,100,0,1,0,50,1.29241685375819e-16,0.288377606432241,0.467453254674533
"51",100,100,0,1,0,51,0.0101614418548405,0.529960897176352,0.432656734326567
"52",100,100,0,1,0,52,3.74063749521715e-16,0.199657222731418,0.513148685131487
"53",100,100,0,1,0,53,1.14163483966021e-21,0.169667195286983,0.151284871512849
"54",100,100,0,1,0,54,7.21541032142149e-18,0.388311714708578,0.236576342365763
"55",100,100,0,1,0,55,0.0015445964206487,0.785487453527427,0.732826717328267
"56",100,100,0,1,0,56,0.00157554735345131,0.976029457888812,0.754624537546245
"57",100,100,0,1,0,57,9.85855121492076e-14,0.0677489794666437,0.0288971102889711
"58",100,100,0,1,0,58,3.96248776245117e-20,0.592851862309787,0.596240375962404
"59",100,100,0,1,0,59,0.0594772679041497,0.0727016556963741,0.0101989801019898
"60",100,100,0,1,0,60,0.00105334858222075,0.88340869078489,0.756724327567243
"61",100,100,0,1,0,61,6.80794291193131e-20,0.0756423932747503,0.0351964803519648
"62",100,100,0,1,0,62,2.58351831118355e-20,0.37215555970537,0.46045395460454
"63",100,100,0,1,0,63,0.00164080486200265,0.958723305975618,0.94000599940006
"64",100,100,0,1,0,64,1.62745621531593e-15,0.408639058414966,0.0707929207079292
"65",100,100,0,1,0,65,0.00455494842520199,0.962070252303329,0.972502749725027
"66",100,100,0,1,0,66,3.43561922890764e-13,0.0118255019955796,0.0282971702829717
"67",100,100,0,1,0,67,4.06378589010956e-15,0.513477444146991,0.667933206679332
"68",100,100,0,1,0,68,1.71372155034714e-15,0.259237473695119,0.477052294770523
"69",100,100,0,1,0,69,0.00333930209636362,0.560837665508249,0.703029697030297
"70",100,100,0,1,0,70,1.26133702694133e-18,0.2660737037001,0.279072092790721
"71",100,100,0,1,0,71,0.00174599226621232,0.7660927039424,0.672332766723328
"72",100,100,0,1,0,72,0.0183502965967781,0.0424212836900197,0.213478652134787
"73",100,100,0,1,0,73,0.00343664943673421,0.786080093637336,0.746325367463254
"74",100,100,0,1,0,74,0.00239501792262892,0.677212748394675,0.583441655834417
"75",100,100,0,1,0,75,5.47247221261158e-21,0.389127638333024,0.592040795920408
"76",100,100,0,1,0,76,0.00357648124201418,0.476104651076035,0.702229777022298
"77",100,100,0,1,0,77,0.00482809734905651,0.51592450372393,0.838816118388161
"78",100,100,0,1,0,78,0.000667475107894332,0.959472301493592,0.970902909709029
"79",100,100,0,1,0,79,7.38180150027229e-23,0.82058080100116,0.470952904709529
"80",100,100,0,1,0,80,3.22608323881164e-18,0.778754103072991,0.609139086091391
"81",100,100,0,1,0,81,5.83870666203931e-20,0.806565744958609,0.852514748525148
"82",100,100,0,1,0,82,1.34042655811689e-21,0.357946199473355,0.0410958904109589
