"","idv","iv","exp","dv"
"110",2,2,"Hurme et al_2020_Masking_Blue",232
"111",2,2,"Hurme et al_2020_Masking_Blue",287
"112",2,1,"Hurme et al_2020_Masking_Blue",202
"113",2,1,"Hurme et al_2020_Masking_Blue",254
"114",2,1,"Hurme et al_2020_Masking_Blue",230
"115",2,1,"Hurme et al_2020_Masking_Blue",217
"116",2,1,"Hurme et al_2020_Masking_Blue",469
"117",2,1,"Hurme et al_2020_Masking_Red",269
"118",2,1,"Hurme et al_2020_Masking_Red",211
"119",2,2,"Hurme et al_2020_Masking_Red",198
"120",2,2,"Hurme et al_2020_Masking_Red",250
"121",2,1,"Hurme et al_2020_Masking_Red",365
"122",2,1,"Hurme et al_2020_Masking_Red",221
"123",2,1,"Hurme et al_2020_Masking_Blue",229
"124",2,1,"Hurme et al_2020_Masking_Blue",192
"125",2,1,"Hurme et al_2020_Masking_Blue",211
"126",2,2,"Hurme et al_2020_Masking_Blue",179
"127",2,1,"Hurme et al_2020_Masking_Blue",319
"128",2,2,"Hurme et al_2020_Masking_Red",627
"129",2,1,"Hurme et al_2020_Masking_Red",242
"130",2,1,"Hurme et al_2020_Masking_Red",355
"131",2,1,"Hurme et al_2020_Masking_Red",220
"132",2,2,"Hurme et al_2020_Masking_Red",259
"133",2,1,"Hurme et al_2020_Masking_Red",435
"134",2,1,"Hurme et al_2020_Masking_Red",303
"135",2,1,"Hurme et al_2020_Masking_Blue",210
"136",2,1,"Hurme et al_2020_Masking_Blue",224
"137",2,1,"Hurme et al_2020_Masking_Blue",272
"138",2,2,"Hurme et al_2020_Masking_Blue",360
"139",2,2,"Hurme et al_2020_Masking_Red",199
"140",2,1,"Hurme et al_2020_Masking_Red",263
"141",2,2,"Hurme et al_2020_Masking_Red",296
"142",2,1,"Hurme et al_2020_Masking_Red",182
"143",2,1,"Hurme et al_2020_Masking_Red",276
"144",2,1,"Hurme et al_2020_Masking_Red",259
"145",2,2,"Hurme et al_2020_Masking_Blue",206
"146",2,1,"Hurme et al_2020_Masking_Blue",194
"147",2,2,"Hurme et al_2020_Masking_Blue",627
"148",2,1,"Hurme et al_2020_Masking_Blue",352
"149",2,1,"Hurme et al_2020_Masking_Blue",220
"150",2,1,"Hurme et al_2020_Masking_Blue",269
"151",2,2,"Hurme et al_2020_Masking_Red",228
"152",2,1,"Hurme et al_2020_Masking_Red",350
"153",2,2,"Hurme et al_2020_Masking_Red",282
"154",2,1,"Hurme et al_2020_Masking_Red",253
"155",2,2,"Hurme et al_2020_Masking_Blue",261
"156",2,1,"Hurme et al_2020_Masking_Blue",332
"157",2,1,"Hurme et al_2020_Masking_Blue",454
"158",2,2,"Hurme et al_2020_Masking_Blue",276
"159",2,1,"Hurme et al_2020_Masking_Red",271
"160",2,2,"Hurme et al_2020_Masking_Red",261
"161",2,1,"Hurme et al_2020_Masking_Red",268
"162",2,1,"Hurme et al_2020_Masking_Red",329
"163",2,1,"Hurme et al_2020_Masking_Red",317
"164",2,1,"Hurme et al_2020_Masking_Red",240
"165",2,2,"Hurme et al_2020_Masking_Red",328
"166",2,1,"Hurme et al_2020_Masking_Blue",215
"167",2,1,"Hurme et al_2020_Masking_Blue",551
"168",2,2,"Hurme et al_2020_Masking_Blue",195
"169",2,1,"Hurme et al_2020_Masking_Blue",270
"170",2,1,"Hurme et al_2020_Masking_Blue",249
"171",2,1,"Hurme et al_2020_Masking_Blue",333
"172",2,1,"Hurme et al_2020_Masking_Blue",313
"173",2,2,"Hurme et al_2020_Masking_Red",256
"174",2,1,"Hurme et al_2020_Masking_Red",218
"175",2,1,"Hurme et al_2020_Masking_Red",218
"176",2,1,"Hurme et al_2020_Masking_Red",294
"177",2,1,"Hurme et al_2020_Masking_Red",494
"178",2,2,"Hurme et al_2020_Masking_Blue",319
"179",2,1,"Hurme et al_2020_Masking_Blue",331
"180",2,1,"Hurme et al_2020_Masking_Blue",499
"181",2,1,"Hurme et al_2020_Masking_Blue",206
"182",2,2,"Hurme et al_2020_Masking_Blue",196
"183",2,1,"Hurme et al_2020_Masking_Blue",237
"184",2,1,"Hurme et al_2020_Masking_Blue",281
"185",2,1,"Hurme et al_2020_Masking_Red",206
"186",2,1,"Hurme et al_2020_Masking_Red",268
"187",2,1,"Hurme et al_2020_Masking_Red",224
"188",2,1,"Hurme et al_2020_Masking_Red",300
"189",2,1,"Hurme et al_2020_Masking_Red",235
"190",2,1,"Hurme et al_2020_Masking_Red",267
"191",2,2,"Hurme et al_2020_Masking_Blue",203
"192",2,1,"Hurme et al_2020_Masking_Blue",234
"193",2,1,"Hurme et al_2020_Masking_Blue",197
"194",2,2,"Hurme et al_2020_Masking_Blue",257
"195",2,1,"Hurme et al_2020_Masking_Blue",233
"196",2,1,"Hurme et al_2020_Masking_Blue",336
"197",2,1,"Hurme et al_2020_Masking_Blue",249
"198",2,1,"Hurme et al_2020_Masking_Blue",259
"199",2,2,"Hurme et al_2020_Masking_Red",334
"200",2,1,"Hurme et al_2020_Masking_Red",194
"201",2,1,"Hurme et al_2020_Masking_Red",244
"202",2,2,"Hurme et al_2020_Masking_Red",222
"203",2,1,"Hurme et al_2020_Masking_Red",338
"204",2,1,"Hurme et al_2020_Masking_Blue",207
"205",2,1,"Hurme et al_2020_Masking_Blue",271
"206",2,1,"Hurme et al_2020_Masking_Blue",423
"207",2,1,"Hurme et al_2020_Masking_Blue",317
"208",2,2,"Hurme et al_2020_Masking_Blue",387
"209",2,1,"Hurme et al_2020_Masking_Blue",221
"210",2,2,"Hurme et al_2020_Masking_Blue",312
"211",2,1,"Hurme et al_2020_Masking_Blue",342
"212",2,1,"Hurme et al_2020_Masking_Red",190
"213",2,1,"Hurme et al_2020_Masking_Red",233
"214",2,1,"Hurme et al_2020_Masking_Red",264
"215",2,1,"Hurme et al_2020_Masking_Red",241
"216",2,1,"Hurme et al_2020_Masking_Red",202
"217",2,2,"Hurme et al_2020_Masking_Red",331
"218",2,2,"Hurme et al_2020_Masking_Red",235
"219",3,1,"Hurme et al_2020_Masking_Red",221
"220",3,2,"Hurme et al_2020_Masking_Red",309
"221",3,2,"Hurme et al_2020_Masking_Red",234
"222",3,2,"Hurme et al_2020_Masking_Blue",273
"223",3,1,"Hurme et al_2020_Masking_Red",292
"224",3,1,"Hurme et al_2020_Masking_Red",195
"225",3,2,"Hurme et al_2020_Masking_Red",215
"226",3,2,"Hurme et al_2020_Masking_Red",220
"227",3,1,"Hurme et al_2020_Masking_Blue",219
"228",3,2,"Hurme et al_2020_Masking_Blue",376
"229",3,2,"Hurme et al_2020_Masking_Blue",380
"230",3,2,"Hurme et al_2020_Masking_Red",267
"231",3,1,"Hurme et al_2020_Masking_Blue",249
"232",3,2,"Hurme et al_2020_Masking_Blue",435
"233",3,2,"Hurme et al_2020_Masking_Blue",425
"234",3,2,"Hurme et al_2020_Masking_Red",353
"235",3,2,"Hurme et al_2020_Masking_Red",240
"236",3,1,"Hurme et al_2020_Masking_Blue",390
"237",3,2,"Hurme et al_2020_Masking_Blue",236
"238",3,1,"Hurme et al_2020_Masking_Blue",222
"239",3,1,"Hurme et al_2020_Masking_Blue",234
"240",3,1,"Hurme et al_2020_Masking_Blue",232
"241",3,2,"Hurme et al_2020_Masking_Blue",263
"242",3,1,"Hurme et al_2020_Masking_Red",212
"243",3,2,"Hurme et al_2020_Masking_Red",181
"244",3,2,"Hurme et al_2020_Masking_Blue",272
"245",3,2,"Hurme et al_2020_Masking_Blue",505
"246",3,1,"Hurme et al_2020_Masking_Blue",212
"247",3,1,"Hurme et al_2020_Masking_Blue",262
"248",3,1,"Hurme et al_2020_Masking_Red",301
"249",3,2,"Hurme et al_2020_Masking_Red",238
"250",3,1,"Hurme et al_2020_Masking_Red",279
"251",3,2,"Hurme et al_2020_Masking_Red",374
"252",3,2,"Hurme et al_2020_Masking_Blue",290
"253",3,2,"Hurme et al_2020_Masking_Blue",275
"254",3,1,"Hurme et al_2020_Masking_Blue",208
"255",3,2,"Hurme et al_2020_Masking_Red",238
"256",3,2,"Hurme et al_2020_Masking_Blue",183
"257",3,1,"Hurme et al_2020_Masking_Blue",208
"258",3,2,"Hurme et al_2020_Masking_Blue",301
"259",3,2,"Hurme et al_2020_Masking_Red",244
"260",3,1,"Hurme et al_2020_Masking_Red",247
"261",3,1,"Hurme et al_2020_Masking_Red",247
"262",3,2,"Hurme et al_2020_Masking_Blue",422
"263",3,2,"Hurme et al_2020_Masking_Blue",257
"264",3,2,"Hurme et al_2020_Masking_Red",248
"265",3,1,"Hurme et al_2020_Masking_Red",221
"266",3,1,"Hurme et al_2020_Masking_Red",251
"267",3,2,"Hurme et al_2020_Masking_Red",385
"268",3,2,"Hurme et al_2020_Masking_Blue",336
"269",3,1,"Hurme et al_2020_Masking_Blue",236
"270",3,2,"Hurme et al_2020_Masking_Blue",243
"271",3,2,"Hurme et al_2020_Masking_Red",229
"272",3,2,"Hurme et al_2020_Masking_Red",193
"273",3,1,"Hurme et al_2020_Masking_Red",237
"274",3,1,"Hurme et al_2020_Masking_Red",266
"275",3,2,"Hurme et al_2020_Masking_Blue",290
"276",3,2,"Hurme et al_2020_Masking_Blue",260
"277",3,1,"Hurme et al_2020_Masking_Red",279
"278",3,2,"Hurme et al_2020_Masking_Red",268
"279",3,2,"Hurme et al_2020_Masking_Red",317
"280",3,1,"Hurme et al_2020_Masking_Blue",212
"281",3,2,"Hurme et al_2020_Masking_Blue",383
"282",3,2,"Hurme et al_2020_Masking_Blue",239
"283",3,2,"Hurme et al_2020_Masking_Red",229
"284",3,1,"Hurme et al_2020_Masking_Red",241
"285",3,2,"Hurme et al_2020_Masking_Red",209
"286",3,1,"Hurme et al_2020_Masking_Red",213
"287",3,1,"Hurme et al_2020_Masking_Blue",266
"288",3,2,"Hurme et al_2020_Masking_Blue",287
"289",3,2,"Hurme et al_2020_Masking_Blue",282
"290",4,2,"Hurme et al_2020_Masking_Blue",268
"291",4,2,"Hurme et al_2020_Masking_Blue",244
"292",4,1,"Hurme et al_2020_Masking_Red",281
"293",4,2,"Hurme et al_2020_Masking_Red",274
"294",4,1,"Hurme et al_2020_Masking_Red",291
"295",4,1,"Hurme et al_2020_Masking_Red",334
"296",4,2,"Hurme et al_2020_Masking_Blue",420
"297",4,1,"Hurme et al_2020_Masking_Red",231
"298",4,2,"Hurme et al_2020_Masking_Red",212
"299",4,1,"Hurme et al_2020_Masking_Red",401
"300",4,2,"Hurme et al_2020_Masking_Red",338
"301",4,2,"Hurme et al_2020_Masking_Blue",233
"302",4,2,"Hurme et al_2020_Masking_Blue",332
"303",4,2,"Hurme et al_2020_Masking_Blue",418
"304",4,2,"Hurme et al_2020_Masking_Red",225
"305",4,1,"Hurme et al_2020_Masking_Red",279
"306",4,2,"Hurme et al_2020_Masking_Blue",175
"307",4,2,"Hurme et al_2020_Masking_Red",241
"308",4,1,"Hurme et al_2020_Masking_Red",426
"309",4,1,"Hurme et al_2020_Masking_Red",260
"310",4,2,"Hurme et al_2020_Masking_Blue",234
"311",4,2,"Hurme et al_2020_Masking_Red",305
"312",4,1,"Hurme et al_2020_Masking_Red",192
"313",4,2,"Hurme et al_2020_Masking_Blue",262
"314",4,1,"Hurme et al_2020_Masking_Blue",253
"315",4,2,"Hurme et al_2020_Masking_Blue",286
"316",4,2,"Hurme et al_2020_Masking_Red",280
"317",4,1,"Hurme et al_2020_Masking_Red",240
"318",4,1,"Hurme et al_2020_Masking_Blue",196
"319",4,2,"Hurme et al_2020_Masking_Blue",206
"320",4,2,"Hurme et al_2020_Masking_Blue",231
"321",4,1,"Hurme et al_2020_Masking_Red",336
"322",4,1,"Hurme et al_2020_Masking_Red",218
"323",4,1,"Hurme et al_2020_Masking_Red",203
"324",4,2,"Hurme et al_2020_Masking_Red",225
"325",4,1,"Hurme et al_2020_Masking_Red",229
"326",4,2,"Hurme et al_2020_Masking_Blue",243
"327",4,2,"Hurme et al_2020_Masking_Blue",226
"328",4,2,"Hurme et al_2020_Masking_Red",297
"329",4,1,"Hurme et al_2020_Masking_Red",203
"330",4,1,"Hurme et al_2020_Masking_Red",225
"331",4,1,"Hurme et al_2020_Masking_Blue",227
"332",4,2,"Hurme et al_2020_Masking_Blue",320
"333",4,1,"Hurme et al_2020_Masking_Blue",202
"334",4,1,"Hurme et al_2020_Masking_Blue",210
"335",4,1,"Hurme et al_2020_Masking_Blue",249
"336",4,1,"Hurme et al_2020_Masking_Red",263
"337",4,1,"Hurme et al_2020_Masking_Red",280
"338",4,1,"Hurme et al_2020_Masking_Red",287
"339",4,1,"Hurme et al_2020_Masking_Red",232
"340",4,2,"Hurme et al_2020_Masking_Red",223
"341",4,1,"Hurme et al_2020_Masking_Blue",251
"342",4,2,"Hurme et al_2020_Masking_Blue",212
"343",4,2,"Hurme et al_2020_Masking_Red",264
"344",4,1,"Hurme et al_2020_Masking_Red",228
"345",4,1,"Hurme et al_2020_Masking_Red",243
"346",4,1,"Hurme et al_2020_Masking_Red",214
"347",4,1,"Hurme et al_2020_Masking_Red",237
"348",4,2,"Hurme et al_2020_Masking_Blue",261
"349",4,1,"Hurme et al_2020_Masking_Blue",352
"350",4,2,"Hurme et al_2020_Masking_Blue",190
"351",4,1,"Hurme et al_2020_Masking_Red",217
"352",4,1,"Hurme et al_2020_Masking_Red",238
"353",4,2,"Hurme et al_2020_Masking_Red",220
"354",4,1,"Hurme et al_2020_Masking_Red",223
"355",4,1,"Hurme et al_2020_Masking_Red",254
"356",4,1,"Hurme et al_2020_Masking_Red",218
"357",4,1,"Hurme et al_2020_Masking_Red",265
"358",5,2,"Hurme et al_2020_Masking_Red",206
"359",5,2,"Hurme et al_2020_Masking_Red",362
"360",5,2,"Hurme et al_2020_Masking_Red",223
"361",5,1,"Hurme et al_2020_Masking_Red",247
"362",5,2,"Hurme et al_2020_Masking_Blue",259
"363",5,2,"Hurme et al_2020_Masking_Red",383
"364",5,1,"Hurme et al_2020_Masking_Red",248
"365",5,1,"Hurme et al_2020_Masking_Blue",400
"366",5,2,"Hurme et al_2020_Masking_Blue",324
"367",5,2,"Hurme et al_2020_Masking_Blue",288
"368",5,1,"Hurme et al_2020_Masking_Blue",304
"369",5,1,"Hurme et al_2020_Masking_Blue",231
"370",5,1,"Hurme et al_2020_Masking_Blue",258
"371",5,2,"Hurme et al_2020_Masking_Blue",536
"372",5,2,"Hurme et al_2020_Masking_Red",258
"373",5,2,"Hurme et al_2020_Masking_Blue",243
"374",5,2,"Hurme et al_2020_Masking_Red",268
"375",5,2,"Hurme et al_2020_Masking_Red",261
"376",5,2,"Hurme et al_2020_Masking_Blue",260
"377",5,1,"Hurme et al_2020_Masking_Blue",284
"378",5,2,"Hurme et al_2020_Masking_Red",255
"379",5,1,"Hurme et al_2020_Masking_Blue",233
"380",6,1,"Hurme et al_2020_Masking_Blue",215
"381",6,1,"Hurme et al_2020_Masking_Blue",456
"382",6,1,"Hurme et al_2020_Masking_Blue",288
"383",6,1,"Hurme et al_2020_Masking_Blue",286
"384",6,2,"Hurme et al_2020_Masking_Blue",247
"385",6,2,"Hurme et al_2020_Masking_Blue",365
"386",6,1,"Hurme et al_2020_Masking_Red",246
"387",6,1,"Hurme et al_2020_Masking_Red",271
"388",6,1,"Hurme et al_2020_Masking_Red",282
"389",6,1,"Hurme et al_2020_Masking_Red",336
"390",6,2,"Hurme et al_2020_Masking_Red",282
"391",6,1,"Hurme et al_2020_Masking_Red",299
"392",6,1,"Hurme et al_2020_Masking_Blue",387
"393",6,1,"Hurme et al_2020_Masking_Blue",271
"394",6,1,"Hurme et al_2020_Masking_Blue",356
"395",6,1,"Hurme et al_2020_Masking_Blue",355
"396",6,1,"Hurme et al_2020_Masking_Blue",271
"397",6,2,"Hurme et al_2020_Masking_Blue",329
"398",6,2,"Hurme et al_2020_Masking_Blue",173
"399",6,1,"Hurme et al_2020_Masking_Blue",253
"400",6,2,"Hurme et al_2020_Masking_Red",263
"401",6,1,"Hurme et al_2020_Masking_Red",310
"402",6,1,"Hurme et al_2020_Masking_Red",275
"403",6,1,"Hurme et al_2020_Masking_Red",266
"404",6,1,"Hurme et al_2020_Masking_Red",271
"405",6,1,"Hurme et al_2020_Masking_Red",256
"406",6,1,"Hurme et al_2020_Masking_Red",289
"407",6,2,"Hurme et al_2020_Masking_Red",391
"408",6,1,"Hurme et al_2020_Masking_Blue",424
"409",6,2,"Hurme et al_2020_Masking_Blue",261
"410",6,1,"Hurme et al_2020_Masking_Blue",293
"411",6,1,"Hurme et al_2020_Masking_Blue",228
"412",6,1,"Hurme et al_2020_Masking_Blue",382
"413",6,2,"Hurme et al_2020_Masking_Blue",276
"414",6,1,"Hurme et al_2020_Masking_Blue",263
"415",6,1,"Hurme et al_2020_Masking_Blue",367
"416",6,1,"Hurme et al_2020_Masking_Red",199
"417",6,1,"Hurme et al_2020_Masking_Red",221
"418",6,2,"Hurme et al_2020_Masking_Red",328
"419",6,1,"Hurme et al_2020_Masking_Red",242
"420",6,1,"Hurme et al_2020_Masking_Red",419
"421",6,1,"Hurme et al_2020_Masking_Red",192
"422",6,1,"Hurme et al_2020_Masking_Blue",396
"423",6,2,"Hurme et al_2020_Masking_Blue",262
"424",6,1,"Hurme et al_2020_Masking_Blue",276
"425",6,1,"Hurme et al_2020_Masking_Blue",192
"426",6,1,"Hurme et al_2020_Masking_Blue",173
"427",6,2,"Hurme et al_2020_Masking_Blue",187
"428",6,1,"Hurme et al_2020_Masking_Blue",235
"429",6,1,"Hurme et al_2020_Masking_Blue",365
"430",6,1,"Hurme et al_2020_Masking_Red",236
"431",6,1,"Hurme et al_2020_Masking_Red",265
"432",6,1,"Hurme et al_2020_Masking_Red",274
"433",6,1,"Hurme et al_2020_Masking_Red",252
"434",6,2,"Hurme et al_2020_Masking_Red",262
"435",6,1,"Hurme et al_2020_Masking_Red",308
"436",6,2,"Hurme et al_2020_Masking_Red",392
"437",6,1,"Hurme et al_2020_Masking_Blue",299
"438",6,1,"Hurme et al_2020_Masking_Blue",256
"439",6,1,"Hurme et al_2020_Masking_Blue",395
"440",6,1,"Hurme et al_2020_Masking_Blue",229
"441",6,1,"Hurme et al_2020_Masking_Blue",196
"442",6,2,"Hurme et al_2020_Masking_Blue",392
"443",6,1,"Hurme et al_2020_Masking_Red",211
"444",6,1,"Hurme et al_2020_Masking_Red",217
"445",6,1,"Hurme et al_2020_Masking_Red",252
"446",6,2,"Hurme et al_2020_Masking_Red",227
"447",6,1,"Hurme et al_2020_Masking_Red",436
"448",6,2,"Hurme et al_2020_Masking_Red",229
"449",6,1,"Hurme et al_2020_Masking_Red",253
"450",6,1,"Hurme et al_2020_Masking_Red",227
"451",6,2,"Hurme et al_2020_Masking_Blue",216
"452",6,1,"Hurme et al_2020_Masking_Blue",255
"453",6,2,"Hurme et al_2020_Masking_Blue",440
"454",6,1,"Hurme et al_2020_Masking_Blue",266
"455",6,1,"Hurme et al_2020_Masking_Blue",236
"456",6,1,"Hurme et al_2020_Masking_Blue",276
"457",6,1,"Hurme et al_2020_Masking_Blue",274
"458",6,1,"Hurme et al_2020_Masking_Blue",192
"459",6,2,"Hurme et al_2020_Masking_Red",320
"460",6,1,"Hurme et al_2020_Masking_Red",323
"461",6,1,"Hurme et al_2020_Masking_Red",229
"462",6,1,"Hurme et al_2020_Masking_Red",252
"463",6,1,"Hurme et al_2020_Masking_Red",241
"464",6,1,"Hurme et al_2020_Masking_Red",267
"465",6,1,"Hurme et al_2020_Masking_Red",428
"466",6,2,"Hurme et al_2020_Masking_Red",239
"467",6,1,"Hurme et al_2020_Masking_Blue",236
"468",6,1,"Hurme et al_2020_Masking_Blue",245
"469",6,1,"Hurme et al_2020_Masking_Blue",236
"470",6,1,"Hurme et al_2020_Masking_Blue",245
"471",6,1,"Hurme et al_2020_Masking_Blue",218
"472",6,2,"Hurme et al_2020_Masking_Blue",220
"473",6,2,"Hurme et al_2020_Masking_Blue",314
"474",6,1,"Hurme et al_2020_Masking_Red",245
"475",6,1,"Hurme et al_2020_Masking_Red",253
"476",6,2,"Hurme et al_2020_Masking_Red",313
"477",6,2,"Hurme et al_2020_Masking_Red",287
"478",6,1,"Hurme et al_2020_Masking_Red",257
"479",6,1,"Hurme et al_2020_Masking_Red",247
"480",6,1,"Hurme et al_2020_Masking_Red",313
"481",6,1,"Hurme et al_2020_Masking_Red",325
"482",6,2,"Hurme et al_2020_Masking_Blue",278
"483",6,1,"Hurme et al_2020_Masking_Blue",237
"484",6,2,"Hurme et al_2020_Masking_Blue",280
"485",6,1,"Hurme et al_2020_Masking_Blue",242
"486",6,1,"Hurme et al_2020_Masking_Blue",206
"487",6,1,"Hurme et al_2020_Masking_Blue",293
"488",6,1,"Hurme et al_2020_Masking_Blue",254
"489",6,1,"Hurme et al_2020_Masking_Blue",262
"490",6,1,"Hurme et al_2020_Masking_Red",260
"491",6,2,"Hurme et al_2020_Masking_Red",279
"492",6,1,"Hurme et al_2020_Masking_Red",228
"493",6,1,"Hurme et al_2020_Masking_Red",176
"494",6,2,"Hurme et al_2020_Masking_Red",222
"495",6,1,"Hurme et al_2020_Masking_Red",317
"496",6,1,"Hurme et al_2020_Masking_Red",228
"497",6,1,"Hurme et al_2020_Masking_Red",228
"498",6,1,"Hurme et al_2020_Masking_Blue",288
"499",6,1,"Hurme et al_2020_Masking_Blue",196
"500",6,2,"Hurme et al_2020_Masking_Blue",292
"501",6,1,"Hurme et al_2020_Masking_Blue",260
"502",6,1,"Hurme et al_2020_Masking_Blue",231
"503",6,1,"Hurme et al_2020_Masking_Blue",239
"504",6,2,"Hurme et al_2020_Masking_Blue",268
"505",6,1,"Hurme et al_2020_Masking_Blue",187
"506",6,1,"Hurme et al_2020_Masking_Red",239
"507",6,1,"Hurme et al_2020_Masking_Red",238
