"","idv","iv","dv","exp"
"216",12,1,572.283376,"Chien_et_al._2022_2A"
"217",12,1,687.874316,"Chien_et_al._2022_2A"
"218",12,0,626.403826,"Chien_et_al._2022_2A"
"219",12,1,666.218727,"Chien_et_al._2022_2A"
"220",12,0,615.097022,"Chien_et_al._2022_2A"
"221",12,0,699.312731,"Chien_et_al._2022_2A"
"222",12,1,582.487599,"Chien_et_al._2022_2A"
"223",12,0,810.218077,"Chien_et_al._2022_2A"
"224",12,1,843.941826,"Chien_et_al._2022_2A"
"225",12,1,677.757733,"Chien_et_al._2022_2A"
"226",12,1,802.389177,"Chien_et_al._2022_2A"
"227",12,0,752.283316,"Chien_et_al._2022_2A"
"228",12,1,710.569542,"Chien_et_al._2022_2A"
"229",12,0,627.989784,"Chien_et_al._2022_2A"
"230",12,1,738.413861,"Chien_et_al._2022_2A"
"231",12,1,628.192471,"Chien_et_al._2022_2A"
"232",12,1,585.253238,"Chien_et_al._2022_2A"
"233",12,1,586.448279,"Chien_et_al._2022_2A"
"234",12,1,653.157009,"Chien_et_al._2022_2A"
"235",12,1,776.249176,"Chien_et_al._2022_2A"
"236",12,1,658.389828,"Chien_et_al._2022_2A"
"237",12,0,836.827602,"Chien_et_al._2022_2A"
"238",12,0,904.271787,"Chien_et_al._2022_2A"
"239",12,0,979.278639,"Chien_et_al._2022_2A"
"240",12,0,849.046347,"Chien_et_al._2022_2A"
"241",12,1,814.493779,"Chien_et_al._2022_2A"
"242",12,0,943.116923,"Chien_et_al._2022_2A"
"243",12,1,841.814666,"Chien_et_al._2022_2A"
"244",12,0,718.292731,"Chien_et_al._2022_2A"
"245",12,1,1211.667906,"Chien_et_al._2022_2A"
"246",12,1,710.184948,"Chien_et_al._2022_2A"
"247",12,1,700.716783,"Chien_et_al._2022_2A"
"248",12,1,983.09807,"Chien_et_al._2022_2A"
"249",12,1,742.982601,"Chien_et_al._2022_2A"
"250",12,0,592.963778,"Chien_et_al._2022_2A"
