"","idv","iv","exp","dv"
"262",101,"Incongruent","Zerweck et al_2021_1",475
"263",101,"Incongruent","Zerweck et al_2021_1",627
"264",101,"Incongruent","Zerweck et al_2021_1",578
"265",101,"Incongruent","Zerweck et al_2021_1",464
"266",101,"Incongruent","Zerweck et al_2021_1",646
"267",101,"Incongruent","Zerweck et al_2021_1",531
"268",101,"Congruent","Zerweck et al_2021_1",732
"269",101,"Incongruent","Zerweck et al_2021_1",629
"270",101,"Incongruent","Zerweck et al_2021_1",422
"271",101,"Congruent","Zerweck et al_2021_1",528
"272",101,"Incongruent","Zerweck et al_2021_1",405
"273",101,"Congruent","Zerweck et al_2021_1",546
"274",101,"Congruent","Zerweck et al_2021_1",387
"275",101,"Incongruent","Zerweck et al_2021_1",418
"276",101,"Incongruent","Zerweck et al_2021_1",654
"277",101,"Congruent","Zerweck et al_2021_1",476
"278",101,"Incongruent","Zerweck et al_2021_1",531
"279",101,"Congruent","Zerweck et al_2021_1",607
"280",101,"Congruent","Zerweck et al_2021_1",348
"281",101,"Congruent","Zerweck et al_2021_1",733
"282",101,"Incongruent","Zerweck et al_2021_1",423
"283",101,"Incongruent","Zerweck et al_2021_1",620
"284",101,"Congruent","Zerweck et al_2021_1",538
"285",101,"Incongruent","Zerweck et al_2021_1",394
"286",101,"Congruent","Zerweck et al_2021_1",579
"287",101,"Congruent","Zerweck et al_2021_1",365
"288",101,"Incongruent","Zerweck et al_2021_1",422
"289",101,"Incongruent","Zerweck et al_2021_1",553
"290",101,"Congruent","Zerweck et al_2021_1",524
"291",101,"Incongruent","Zerweck et al_2021_1",519
"292",101,"Incongruent","Zerweck et al_2021_1",435
"293",101,"Congruent","Zerweck et al_2021_1",449
"294",101,"Incongruent","Zerweck et al_2021_1",442
"295",101,"Congruent","Zerweck et al_2021_1",671
"296",101,"Congruent","Zerweck et al_2021_1",413
"297",101,"Congruent","Zerweck et al_2021_1",606
"298",101,"Congruent","Zerweck et al_2021_1",383
"299",101,"Congruent","Zerweck et al_2021_1",427
"300",101,"Congruent","Zerweck et al_2021_1",466
"301",101,"Incongruent","Zerweck et al_2021_1",369
"302",101,"Congruent","Zerweck et al_2021_1",382
"303",101,"Congruent","Zerweck et al_2021_1",567
"304",101,"Congruent","Zerweck et al_2021_1",487
"305",101,"Incongruent","Zerweck et al_2021_1",440
"306",101,"Incongruent","Zerweck et al_2021_1",533
"307",101,"Congruent","Zerweck et al_2021_1",440
"308",101,"Congruent","Zerweck et al_2021_1",566
"309",101,"Incongruent","Zerweck et al_2021_1",446
"310",101,"Congruent","Zerweck et al_2021_1",579
"311",101,"Incongruent","Zerweck et al_2021_1",554
"312",101,"Incongruent","Zerweck et al_2021_1",473
"313",101,"Incongruent","Zerweck et al_2021_1",526
"314",101,"Incongruent","Zerweck et al_2021_1",500
"315",101,"Congruent","Zerweck et al_2021_1",558
"316",101,"Congruent","Zerweck et al_2021_1",446
"317",101,"Incongruent","Zerweck et al_2021_1",476
"318",101,"Congruent","Zerweck et al_2021_1",475
"319",101,"Incongruent","Zerweck et al_2021_1",422
"320",101,"Congruent","Zerweck et al_2021_1",426
"321",101,"Congruent","Zerweck et al_2021_1",880
"322",101,"Incongruent","Zerweck et al_2021_1",434
"323",101,"Congruent","Zerweck et al_2021_1",363
"324",101,"Congruent","Zerweck et al_2021_1",431
"325",101,"Congruent","Zerweck et al_2021_1",403
"326",101,"Incongruent","Zerweck et al_2021_1",423
"327",101,"Incongruent","Zerweck et al_2021_1",393
"328",101,"Congruent","Zerweck et al_2021_1",333
"329",101,"Congruent","Zerweck et al_2021_1",365
"330",101,"Congruent","Zerweck et al_2021_1",444
"331",101,"Congruent","Zerweck et al_2021_1",409
"332",101,"Congruent","Zerweck et al_2021_1",372
"333",101,"Congruent","Zerweck et al_2021_1",503
"334",101,"Congruent","Zerweck et al_2021_1",374
"335",101,"Congruent","Zerweck et al_2021_1",334
"336",101,"Incongruent","Zerweck et al_2021_1",485
"337",101,"Incongruent","Zerweck et al_2021_1",404
"338",101,"Congruent","Zerweck et al_2021_1",570
"339",101,"Incongruent","Zerweck et al_2021_1",551
"340",101,"Incongruent","Zerweck et al_2021_1",473
"341",101,"Incongruent","Zerweck et al_2021_1",355
"342",101,"Congruent","Zerweck et al_2021_1",362
"343",101,"Incongruent","Zerweck et al_2021_1",475
"344",101,"Congruent","Zerweck et al_2021_1",396
"345",101,"Incongruent","Zerweck et al_2021_1",515
"346",101,"Congruent","Zerweck et al_2021_1",533
"347",101,"Incongruent","Zerweck et al_2021_1",376
"348",101,"Congruent","Zerweck et al_2021_1",344
"349",101,"Incongruent","Zerweck et al_2021_1",461
"350",101,"Incongruent","Zerweck et al_2021_1",410
"351",101,"Incongruent","Zerweck et al_2021_1",400
"352",101,"Incongruent","Zerweck et al_2021_1",486
"353",101,"Congruent","Zerweck et al_2021_1",417
"354",101,"Incongruent","Zerweck et al_2021_1",423
"355",101,"Incongruent","Zerweck et al_2021_1",427
"356",101,"Incongruent","Zerweck et al_2021_1",579
"357",101,"Congruent","Zerweck et al_2021_1",345
"358",101,"Incongruent","Zerweck et al_2021_1",457
"359",101,"Incongruent","Zerweck et al_2021_1",455
"360",101,"Incongruent","Zerweck et al_2021_1",433
"361",101,"Incongruent","Zerweck et al_2021_1",430
"362",101,"Incongruent","Zerweck et al_2021_1",396
"363",101,"Incongruent","Zerweck et al_2021_1",675
"364",101,"Congruent","Zerweck et al_2021_1",503
"365",101,"Incongruent","Zerweck et al_2021_1",356
"366",101,"Congruent","Zerweck et al_2021_1",564
"367",101,"Congruent","Zerweck et al_2021_1",381
"368",101,"Congruent","Zerweck et al_2021_1",360
"369",101,"Incongruent","Zerweck et al_2021_1",451
"370",101,"Congruent","Zerweck et al_2021_1",483
"371",101,"Incongruent","Zerweck et al_2021_1",401
"372",101,"Incongruent","Zerweck et al_2021_1",445
"373",101,"Congruent","Zerweck et al_2021_1",356
"374",101,"Congruent","Zerweck et al_2021_1",416
"375",101,"Incongruent","Zerweck et al_2021_1",503
"376",101,"Congruent","Zerweck et al_2021_1",402
"377",101,"Incongruent","Zerweck et al_2021_1",424
"378",101,"Congruent","Zerweck et al_2021_1",354
"379",101,"Incongruent","Zerweck et al_2021_1",353
"380",101,"Congruent","Zerweck et al_2021_1",412
"381",101,"Congruent","Zerweck et al_2021_1",416
"382",101,"Congruent","Zerweck et al_2021_1",418
"383",101,"Congruent","Zerweck et al_2021_1",497
"384",101,"Incongruent","Zerweck et al_2021_1",494
"385",101,"Congruent","Zerweck et al_2021_1",548
"386",101,"Congruent","Zerweck et al_2021_1",409
"387",101,"Incongruent","Zerweck et al_2021_1",430
"388",101,"Incongruent","Zerweck et al_2021_1",483
"389",101,"Incongruent","Zerweck et al_2021_1",366
"390",101,"Congruent","Zerweck et al_2021_1",732
"391",101,"Incongruent","Zerweck et al_2021_1",413
"392",101,"Incongruent","Zerweck et al_2021_1",396
"393",101,"Incongruent","Zerweck et al_2021_1",443
"394",101,"Incongruent","Zerweck et al_2021_1",431
"395",101,"Congruent","Zerweck et al_2021_1",505
"396",101,"Congruent","Zerweck et al_2021_1",358
"397",101,"Incongruent","Zerweck et al_2021_1",390
"398",101,"Incongruent","Zerweck et al_2021_1",481
"399",101,"Congruent","Zerweck et al_2021_1",374
"400",101,"Incongruent","Zerweck et al_2021_1",501
"401",101,"Congruent","Zerweck et al_2021_1",347
"402",101,"Congruent","Zerweck et al_2021_1",392
"403",101,"Congruent","Zerweck et al_2021_1",428
"404",101,"Incongruent","Zerweck et al_2021_1",434
"405",101,"Incongruent","Zerweck et al_2021_1",384
"406",101,"Congruent","Zerweck et al_2021_1",585
"407",101,"Congruent","Zerweck et al_2021_1",478
"408",101,"Congruent","Zerweck et al_2021_1",341
"409",101,"Incongruent","Zerweck et al_2021_1",579
"410",101,"Incongruent","Zerweck et al_2021_1",444
"411",101,"Congruent","Zerweck et al_2021_1",513
"412",101,"Congruent","Zerweck et al_2021_1",362
"413",101,"Congruent","Zerweck et al_2021_1",603
"414",101,"Congruent","Zerweck et al_2021_1",378
"415",101,"Incongruent","Zerweck et al_2021_1",459
"416",101,"Incongruent","Zerweck et al_2021_1",455
"417",101,"Incongruent","Zerweck et al_2021_1",459
"418",101,"Incongruent","Zerweck et al_2021_1",434
"419",101,"Congruent","Zerweck et al_2021_1",579
"420",101,"Incongruent","Zerweck et al_2021_1",511
"421",101,"Congruent","Zerweck et al_2021_1",493
"422",101,"Incongruent","Zerweck et al_2021_1",692
"423",101,"Incongruent","Zerweck et al_2021_1",443
"424",101,"Incongruent","Zerweck et al_2021_1",652
