"","idv","iv","iv2","exp","dv"
"189",1,2,1,"Stein & van Peelen_2020_3_2",1
"190",1,1,2,"Stein & van Peelen_2020_3_2",1
"191",1,1,2,"Stein & van Peelen_2020_3_2",1
"192",1,2,1,"Stein & van Peelen_2020_3_1",1
"193",1,1,1,"Stein & van Peelen_2020_3_1",1
"194",1,2,1,"Stein & van Peelen_2020_3_1",1
"195",1,2,1,"Stein & van Peelen_2020_3_2",1
"196",1,2,1,"Stein & van Peelen_2020_3_2",1
"197",1,2,2,"Stein & van Peelen_2020_3_1",1
"198",1,1,2,"Stein & van Peelen_2020_3_2",1
"199",1,1,2,"Stein & van Peelen_2020_3_1",1
"200",1,2,2,"Stein & van Peelen_2020_3_1",1
"201",1,2,1,"Stein & van Peelen_2020_3_1",1
"202",1,2,2,"Stein & van Peelen_2020_3_1",1
"203",1,2,2,"Stein & van Peelen_2020_3_1",2
"204",1,2,1,"Stein & van Peelen_2020_3_1",1
"205",1,1,1,"Stein & van Peelen_2020_3_1",1
"206",1,2,2,"Stein & van Peelen_2020_3_1",1
"207",1,2,2,"Stein & van Peelen_2020_3_2",1
"208",1,2,2,"Stein & van Peelen_2020_3_1",1
"209",1,1,2,"Stein & van Peelen_2020_3_2",1
"210",1,1,2,"Stein & van Peelen_2020_3_1",1
"211",1,1,1,"Stein & van Peelen_2020_3_1",1
"212",1,2,2,"Stein & van Peelen_2020_3_1",1
"213",1,1,2,"Stein & van Peelen_2020_3_1",1
"214",1,2,1,"Stein & van Peelen_2020_3_2",1
"215",1,2,2,"Stein & van Peelen_2020_3_1",1
"216",1,2,2,"Stein & van Peelen_2020_3_2",1
"217",1,1,1,"Stein & van Peelen_2020_3_1",1
"218",1,2,1,"Stein & van Peelen_2020_3_1",1
"219",1,2,1,"Stein & van Peelen_2020_3_1",1
"220",1,1,1,"Stein & van Peelen_2020_3_2",1
"221",1,2,2,"Stein & van Peelen_2020_3_2",1
"222",1,1,1,"Stein & van Peelen_2020_3_2",1
"223",1,1,1,"Stein & van Peelen_2020_3_2",1
"224",1,1,2,"Stein & van Peelen_2020_3_2",1
"225",1,1,1,"Stein & van Peelen_2020_3_1",1
"226",1,1,2,"Stein & van Peelen_2020_3_2",1
"227",1,1,1,"Stein & van Peelen_2020_3_2",1
"228",1,1,2,"Stein & van Peelen_2020_3_2",1
