idv,iv,iv2,dv,exp
902,2,2,0.797182826,Biderman & Mudrik_2018_2
902,2,1,2.141540924,Biderman & Mudrik_2018_2
902,2,2,0.729825993,Biderman & Mudrik_2018_2
902,1,2,1.009679384,Biderman & Mudrik_2018_2
902,1,1,0.432167052,Biderman & Mudrik_2018_2
902,2,1,0.992684939,Biderman & Mudrik_2018_2
902,2,2,2.783642922,Biderman & Mudrik_2018_2
902,1,1,1.514701111,Biderman & Mudrik_2018_2
902,1,2,1.391620894,Biderman & Mudrik_2018_2
902,1,2,0.999473708,Biderman & Mudrik_2018_2
902,2,2,3.161624982,Biderman & Mudrik_2018_2
902,1,1,0.699506323,Biderman & Mudrik_2018_2
902,1,1,0.915862831,Biderman & Mudrik_2018_2
902,2,1,0.841169269,Biderman & Mudrik_2018_2
902,2,2,1.158297311,Biderman & Mudrik_2018_2
902,1,1,0.696223412,Biderman & Mudrik_2018_2
902,1,2,0.7199459,Biderman & Mudrik_2018_2
902,1,2,1.13256773,Biderman & Mudrik_2018_2
902,2,2,0.679333029,Biderman & Mudrik_2018_2
902,1,2,1.132994807,Biderman & Mudrik_2018_2
902,2,2,0.709940078,Biderman & Mudrik_2018_2
902,1,1,1.152314801,Biderman & Mudrik_2018_2
902,1,1,0.617219729,Biderman & Mudrik_2018_2
902,2,1,1.464543993,Biderman & Mudrik_2018_2
902,1,2,0.688357256,Biderman & Mudrik_2018_2
902,1,1,0.746543892,Biderman & Mudrik_2018_2
902,2,2,1.170954265,Biderman & Mudrik_2018_2
902,2,1,0.869116918,Biderman & Mudrik_2018_2
902,1,2,2.436924493,Biderman & Mudrik_2018_2
902,2,2,0.729888429,Biderman & Mudrik_2018_2
902,1,1,1.522152164,Biderman & Mudrik_2018_2
902,2,1,1.333893267,Biderman & Mudrik_2018_2
902,2,2,0.725791277,Biderman & Mudrik_2018_2
902,2,2,1.040458347,Biderman & Mudrik_2018_2
902,2,2,0.516944837,Biderman & Mudrik_2018_2
902,2,1,0.874185116,Biderman & Mudrik_2018_2
902,2,1,1.214620257,Biderman & Mudrik_2018_2
902,1,1,1.383357025,Biderman & Mudrik_2018_2
902,1,2,1.203276753,Biderman & Mudrik_2018_2
902,1,1,1.233132852,Biderman & Mudrik_2018_2
902,2,1,0.992056297,Biderman & Mudrik_2018_2
902,2,2,0.965944113,Biderman & Mudrik_2018_2
902,1,2,0.860483562,Biderman & Mudrik_2018_2
902,1,2,0.780679037,Biderman & Mudrik_2018_2
902,2,1,0.969336501,Biderman & Mudrik_2018_2
902,1,2,0.992826348,Biderman & Mudrik_2018_2
902,1,2,1.321353204,Biderman & Mudrik_2018_2
902,1,1,0.642955869,Biderman & Mudrik_2018_2
902,2,1,0.642134499,Biderman & Mudrik_2018_2
902,2,2,0.444707971,Biderman & Mudrik_2018_2
902,1,2,1.484254003,Biderman & Mudrik_2018_2
902,1,2,0.510193702,Biderman & Mudrik_2018_2
902,1,1,1.094566932,Biderman & Mudrik_2018_2
902,2,2,0.597597531,Biderman & Mudrik_2018_2
902,1,1,2.397817513,Biderman & Mudrik_2018_2
902,1,2,1.674954484,Biderman & Mudrik_2018_2
902,2,2,0.638076121,Biderman & Mudrik_2018_2
902,1,1,0.470891429,Biderman & Mudrik_2018_2
902,1,1,0.5534731,Biderman & Mudrik_2018_2
902,2,1,0.533864301,Biderman & Mudrik_2018_2
902,2,1,0.498793748,Biderman & Mudrik_2018_2
902,2,2,0.669092571,Biderman & Mudrik_2018_2
902,1,1,1.096802676,Biderman & Mudrik_2018_2
902,2,1,0.8047961,Biderman & Mudrik_2018_2
902,1,2,0.890984554,Biderman & Mudrik_2018_2
902,2,1,0.791221129,Biderman & Mudrik_2018_2
902,2,2,0.835470148,Biderman & Mudrik_2018_2
902,1,1,0.457742965,Biderman & Mudrik_2018_2
902,1,2,0.490839211,Biderman & Mudrik_2018_2
902,2,2,0.915836032,Biderman & Mudrik_2018_2
902,2,1,0.847675791,Biderman & Mudrik_2018_2
902,1,1,0.941263979,Biderman & Mudrik_2018_2
902,2,2,0.927211182,Biderman & Mudrik_2018_2
902,2,2,0.484728692,Biderman & Mudrik_2018_2
902,1,2,0.480959973,Biderman & Mudrik_2018_2
902,1,2,0.975988708,Biderman & Mudrik_2018_2
902,2,1,1.108151597,Biderman & Mudrik_2018_2
902,1,2,1.324522645,Biderman & Mudrik_2018_2
902,2,1,1.292985604,Biderman & Mudrik_2018_2
902,1,2,0.807516797,Biderman & Mudrik_2018_2
902,2,2,0.580568304,Biderman & Mudrik_2018_2
902,2,2,0.310765781,Biderman & Mudrik_2018_2
902,2,1,0.477313276,Biderman & Mudrik_2018_2
902,1,1,0.431012117,Biderman & Mudrik_2018_2
902,1,2,1.243457414,Biderman & Mudrik_2018_2
902,2,2,0.420539874,Biderman & Mudrik_2018_2
902,2,1,1.579998677,Biderman & Mudrik_2018_2
902,1,2,0.589086196,Biderman & Mudrik_2018_2
902,1,1,0.846670818,Biderman & Mudrik_2018_2
902,2,2,1.14631148,Biderman & Mudrik_2018_2
902,1,1,0.559301942,Biderman & Mudrik_2018_2
902,2,2,0.89358779,Biderman & Mudrik_2018_2
902,1,1,0.528964025,Biderman & Mudrik_2018_2
902,2,2,1.057185655,Biderman & Mudrik_2018_2
902,2,2,0.826925171,Biderman & Mudrik_2018_2
902,1,1,0.741361083,Biderman & Mudrik_2018_2
902,2,1,0.896320745,Biderman & Mudrik_2018_2
902,2,2,0.660064638,Biderman & Mudrik_2018_2
902,1,2,0.465918169,Biderman & Mudrik_2018_2
902,2,1,0.934686183,Biderman & Mudrik_2018_2
902,1,2,0.492448023,Biderman & Mudrik_2018_2
902,2,1,0.950908866,Biderman & Mudrik_2018_2
903,1,1,1.362780137,Biderman & Mudrik_2018_2
903,2,2,1.796245718,Biderman & Mudrik_2018_2
