idv,iv,dv,exp
201,incong,0.34243,Noel et al_2020_AV
201,cong,0.36057,Noel et al_2020_AV
201,cong,0.29036,Noel et al_2020_AV
201,cong,0.4579,Noel et al_2020_V
201,incong,0.31319,Noel et al_2020_AV
201,cong,0.4105,Noel et al_2020_V
201,incong,0.38316,Noel et al_2020_A
201,incong,0.29835,Noel et al_2020_A
201,cong,0.32629,Noel et al_2020_AV
201,cong,0.35675,Noel et al_2020_AV
201,incong,0.34029,Noel et al_2020_V
201,cong,0.3977,Noel et al_2020_V
201,cong,0.4436,Noel et al_2020_A
201,cong,0.36035,Noel et al_2020_AV
201,incong,0.32644,Noel et al_2020_A
201,cong,0.26077,Noel et al_2020_A
201,cong,0.4227,Noel et al_2020_A
201,incong,0.4555,Noel et al_2020_V
201,cong,0.34916,Noel et al_2020_V
201,cong,0.36423,Noel et al_2020_A
201,cong,0.3977,Noel et al_2020_V
201,cong,0.4102,Noel et al_2020_A
201,incong,0.33634,Noel et al_2020_AV
201,incong,0.4508,Noel et al_2020_V
201,cong,0.37612,Noel et al_2020_AV
201,cong,0.31332,Noel et al_2020_AV
201,cong,0.30192,Noel et al_2020_V
201,cong,0.34152,Noel et al_2020_AV
201,cong,0.3921,Noel et al_2020_AV
201,cong,0.33846,Noel et al_2020_AV
201,cong,0.25764,Noel et al_2020_V
201,cong,0.32452,Noel et al_2020_AV
201,cong,0.4318,Noel et al_2020_A
201,cong,0.25444,Noel et al_2020_V
201,incong,0.37336,Noel et al_2020_AV
201,cong,0.4256,Noel et al_2020_V
201,incong,0.34656,Noel et al_2020_V
201,cong,0.37946,Noel et al_2020_V
201,cong,0.29963,Noel et al_2020_AV
201,cong,0.37286,Noel et al_2020_A
201,cong,0.31495,Noel et al_2020_AV
201,cong,0.35217,Noel et al_2020_A
201,cong,0.29906,Noel et al_2020_V
201,incong,0.33068,Noel et al_2020_V
201,incong,0.3022,Noel et al_2020_A
201,cong,0.4112,Noel et al_2020_A
201,cong,0.34271,Noel et al_2020_AV
201,cong,0.31461,Noel et al_2020_V
201,cong,0.31044,Noel et al_2020_V
201,cong,0.35561,Noel et al_2020_AV
201,cong,0.4389,Noel et al_2020_A
201,cong,0.4831,Noel et al_2020_A
201,cong,0.5576,Noel et al_2020_AV
201,cong,0.4943,Noel et al_2020_V
201,cong,0.37923,Noel et al_2020_V
201,cong,0.4014,Noel et al_2020_A
201,incong,0.4966,Noel et al_2020_A
201,cong,0.36459,Noel et al_2020_AV
201,incong,0.4034,Noel et al_2020_V
201,cong,0.6535,Noel et al_2020_V
201,cong,0.5005,Noel et al_2020_V
201,incong,0.34542,Noel et al_2020_V
201,cong,0.6802,Noel et al_2020_AV
201,incong,0.5411,Noel et al_2020_V
201,incong,0.5113,Noel et al_2020_A
201,cong,0.30043,Noel et al_2020_A
201,cong,0.4158,Noel et al_2020_V
201,cong,0.5424,Noel et al_2020_AV
201,cong,0.3977,Noel et al_2020_AV
201,incong,0.38992,Noel et al_2020_AV
201,cong,0.38144,Noel et al_2020_V
201,cong,0.36437,Noel et al_2020_A
201,cong,0.4297,Noel et al_2020_V
201,cong,0.38256,Noel et al_2020_AV
201,incong,0.4475,Noel et al_2020_AV
201,cong,0.3912,Noel et al_2020_V
201,cong,0.3968,Noel et al_2020_AV
201,incong,0.34693,Noel et al_2020_AV
201,cong,0.34718,Noel et al_2020_AV
201,cong,0.445,Noel et al_2020_V
201,cong,0.4036,Noel et al_2020_AV
201,cong,0.37243,Noel et al_2020_A
201,cong,0.4196,Noel et al_2020_V
201,cong,0.4164,Noel et al_2020_A
201,cong,0.4308,Noel et al_2020_AV
201,cong,0.5267,Noel et al_2020_V
201,incong,0.30827,Noel et al_2020_A
201,cong,0.2805,Noel et al_2020_AV
201,cong,0.3941,Noel et al_2020_AV
201,cong,0.36662,Noel et al_2020_A
201,cong,0.31016,Noel et al_2020_A
201,incong,0.4079,Noel et al_2020_V
201,cong,0.4105,Noel et al_2020_V
201,cong,0.35751,Noel et al_2020_A
201,incong,0.28687,Noel et al_2020_AV
201,cong,0.32156,Noel et al_2020_V
201,cong,0.28881,Noel et al_2020_V
