"Subject" "TrialNr" "Arrow" "ArrowTask.CRESP" "ArrowTask.RESP" "ArrowTask.ACC" "ArrowTask.RT" "Target" "Distractor" "Task" "TypeOfRelation" "Relatedness" "Word" "WordColor" "Picture" "PictureColor" "VoiceTask.RT" "WordError" "SpeechError" "IncorrectTrigger" "AnyError"
10 117 "left" 1 1 1 319 "bezem" "wapen" "word" "phonological" "unrelated" "bezem" "green" "wapen_red.bmp" "red" 769.3 0 0 0 0
10 118 "right" 2 2 1 87 "beitel" "bureau" "word" "semantic" "unrelated" "beitel" "green" "bureau_red.bmp" "red" 754.3 0 0 0 0
10 119 "left" 1 1 1 200 "toren" "totem" "pic" "phonological" "related" "totem" "red" "toren_green.bmp" "green" 1038.3 0 0 0 0
10 120 "left" 1 1 1 443 "molen" "pistool" "word" "semantic" "unrelated" "molen" "green" "pistool_red.bmp" "red" 969.3 0 0 0 0
10 121 "left" 1 1 1 202 "vliegtuig" "schildpad" "pic" "semantic" "unrelated" "schildpad" "red" "vliegtuig_green.bmp" "green" 930.3 0 0 0 0
10 122 "right" 2 1 0 211 "cello" "potlood" "word" "semantic" "unrelated" "cello" "green" "potlood_red.bmp" "red" 857.3 0 0 0 0
10 123 "left" 1 1 1 1284 "rugzak" "kogel" "pic" "phonological" "unrelated" "kogel" "red" "rugzak_green.bmp" "green" 1009.3 0 1 0 1
10 124 "right" 2 2 1 285 "potlood" "cello" "word" "semantic" "unrelated" "potlood" "green" "cello_red.bmp" "red" 864.3 0 0 0 0
10 125 "right" 2 2 1 326 "banaan" "zwemvlies" "pic" "semantic" "unrelated" "zwemvlies" "red" "banaan_green.bmp" "green" 1009.3 0 0 0 0
10 126 "left" 1 1 1 308 "hamer" "zetel" "pic" "semantic" "unrelated" "zetel" "red" "hamer_green.bmp" "green" 1119.3 0 0 0 0
10 127 "right" 2 2 1 204 "vulpen" "trompet" "word" "semantic" "unrelated" "vulpen" "green" "trompet_red.bmp" "red" 688.3 0 0 0 0
10 128 "left" 1 1 1 128 "appel" "banaan" "word" "semantic" "related" "appel" "green" "banaan_red.bmp" "red" 812.3 0 0 0 0
10 129 "left" 1 1 1 192 "cirkel" "circus" "word" "phonological" "related" "cirkel" "green" "circus_red.bmp" "red" 848.3 0 0 0 0
10 130 "left" 1 1 1 405 "bureau" "zetel" "word" "semantic" "related" "bureau" "green" "zetel_red.bmp" "red" 733.3 0 0 0 0
10 131 "left" 1 1 1 382 "molen" "fabriek" "word" "semantic" "related" "molen" "green" "fabriek_red.bmp" "red" 1187.3 0 0 0 0
10 132 "left" 1 1 1 122 "trompet" "vulpen" "pic" "semantic" "unrelated" "vulpen" "red" "trompet_green.bmp" "green" 3480.3 0 0 0 0
10 133 "left" 1 1 1 159 "lelie" "kabel" "pic" "phonological" "unrelated" "kabel" "red" "lelie_green.bmp" "green" 960.3 0 0 0 0
10 134 "right" 2 2 1 270 "banaan" "zwemvlies" "word" "semantic" "unrelated" "banaan" "green" "zwemvlies_red.bmp" "red" 780.3 0 0 0 0
10 135 "right" 2 2 1 184 "rugby" "koning" "pic" "phonological" "unrelated" "koning" "red" "rugby_green.bmp" "green" 959.3 0 0 0 0
10 136 "right" 2 2 1 370 "vulpen" "potlood" "word" "semantic" "related" "vulpen" "green" "potlood_red.bmp" "red" 863.3 0 0 0 0
10 137 "right" 2 2 1 440 "sandaal" "zwemvlies" "pic" "semantic" "related" "zwemvlies" "red" "sandaal_green.bmp" "green" 979.3 0 0 0 0
