idv,iv,dv,exp
201,2,2.01469333,Biderman & Mudrik_2018_3
201,1,2.45828432,Biderman & Mudrik_2018_3
201,1,1.132857773,Biderman & Mudrik_2018_3
202,2,3.028583786,Biderman & Mudrik_2018_3
202,2,2.436581908,Biderman & Mudrik_2018_3
202,2,2.101878007,Biderman & Mudrik_2018_3
202,1,1.664802021,Biderman & Mudrik_2018_3
202,2,1.420929379,Biderman & Mudrik_2018_3
202,1,1.410754179,Biderman & Mudrik_2018_3
202,1,1.695728469,Biderman & Mudrik_2018_3
202,2,2.206774077,Biderman & Mudrik_2018_3
202,1,1.818267063,Biderman & Mudrik_2018_3
202,2,1.502497756,Biderman & Mudrik_2018_3
202,2,2.091270312,Biderman & Mudrik_2018_3
202,1,1.328865065,Biderman & Mudrik_2018_3
202,2,1.022328133,Biderman & Mudrik_2018_3
202,2,1.016793213,Biderman & Mudrik_2018_3
202,1,1.353164946,Biderman & Mudrik_2018_3
202,2,2.865500344,Biderman & Mudrik_2018_3
202,1,1.104390303,Biderman & Mudrik_2018_3
202,2,1.096022635,Biderman & Mudrik_2018_3
202,2,1.120328503,Biderman & Mudrik_2018_3
202,1,1.328037136,Biderman & Mudrik_2018_3
202,1,0.908480226,Biderman & Mudrik_2018_3
202,1,0.972113283,Biderman & Mudrik_2018_3
202,1,0.828440552,Biderman & Mudrik_2018_3
202,2,2.201179,Biderman & Mudrik_2018_3
202,1,1.138959182,Biderman & Mudrik_2018_3
202,2,0.771542114,Biderman & Mudrik_2018_3
202,1,0.995322088,Biderman & Mudrik_2018_3
202,2,1.417144968,Biderman & Mudrik_2018_3
202,1,1.966929889,Biderman & Mudrik_2018_3
202,2,0.968219679,Biderman & Mudrik_2018_3
202,2,1.011776033,Biderman & Mudrik_2018_3
202,2,0.874632364,Biderman & Mudrik_2018_3
202,1,1.34773038,Biderman & Mudrik_2018_3
202,1,0.793449726,Biderman & Mudrik_2018_3
202,2,0.903297118,Biderman & Mudrik_2018_3
202,1,1.862001889,Biderman & Mudrik_2018_3
202,1,1.164596179,Biderman & Mudrik_2018_3
202,2,1.258310649,Biderman & Mudrik_2018_3
202,2,1.129381551,Biderman & Mudrik_2018_3
202,1,1.015821879,Biderman & Mudrik_2018_3
202,2,0.902585225,Biderman & Mudrik_2018_3
202,1,0.81556375,Biderman & Mudrik_2018_3
202,2,0.983114415,Biderman & Mudrik_2018_3
202,2,1.742465107,Biderman & Mudrik_2018_3
202,2,0.901090163,Biderman & Mudrik_2018_3
202,1,1.75643498,Biderman & Mudrik_2018_3
202,2,1.872237814,Biderman & Mudrik_2018_3
202,2,1.100388933,Biderman & Mudrik_2018_3
202,2,1.285498588,Biderman & Mudrik_2018_3
202,1,2.573244329,Biderman & Mudrik_2018_3
202,2,0.891901693,Biderman & Mudrik_2018_3
202,1,1.180807219,Biderman & Mudrik_2018_3
202,2,0.842701796,Biderman & Mudrik_2018_3
202,2,2.534469094,Biderman & Mudrik_2018_3
202,1,1.036950884,Biderman & Mudrik_2018_3
202,1,0.965446232,Biderman & Mudrik_2018_3
202,2,0.866444308,Biderman & Mudrik_2018_3
202,1,0.978362377,Biderman & Mudrik_2018_3
202,1,1.516191368,Biderman & Mudrik_2018_3
202,2,1.701321265,Biderman & Mudrik_2018_3
202,1,1.618975991,Biderman & Mudrik_2018_3
202,1,0.84936457,Biderman & Mudrik_2018_3
202,1,1.044611221,Biderman & Mudrik_2018_3
202,2,0.860354869,Biderman & Mudrik_2018_3
202,2,2.142242957,Biderman & Mudrik_2018_3
202,1,0.788686285,Biderman & Mudrik_2018_3
202,1,0.986964113,Biderman & Mudrik_2018_3
202,2,1.028521919,Biderman & Mudrik_2018_3
202,2,1.497390485,Biderman & Mudrik_2018_3
202,1,1.471598393,Biderman & Mudrik_2018_3
202,1,0.986722634,Biderman & Mudrik_2018_3
202,1,1.442956732,Biderman & Mudrik_2018_3
202,2,0.798080882,Biderman & Mudrik_2018_3
202,2,1.648618921,Biderman & Mudrik_2018_3
202,1,2.270077844,Biderman & Mudrik_2018_3
202,2,1.074524141,Biderman & Mudrik_2018_3
202,2,0.838316682,Biderman & Mudrik_2018_3
