"","idv","iv","iv2","dv","exp"
"173",502,"DegradedProc",1,1073,"Yap_etal_2008"
"174",502,"DegradedProc",1,1170,"Yap_etal_2008"
"175",502,"DegradedProc",1,1198,"Yap_etal_2008"
"176",502,"DegradedProc",1,1264,"Yap_etal_2008"
"177",503,"CleanProc",1,497,"Yap_etal_2008"
"178",503,"CleanProc",1,511,"Yap_etal_2008"
"179",503,"CleanProc",1,537,"Yap_etal_2008"
"180",503,"CleanProc",1,563,"Yap_etal_2008"
"181",503,"CleanProc",1,563,"Yap_etal_2008"
"182",503,"CleanProc",1,574,"Yap_etal_2008"
"183",503,"CleanProc",1,586,"Yap_etal_2008"
"184",503,"CleanProc",1,588,"Yap_etal_2008"
"185",503,"DegradedProc",1,607,"Yap_etal_2008"
"186",503,"CleanProc",1,619,"Yap_etal_2008"
"187",503,"CleanProc",1,625,"Yap_etal_2008"
"188",503,"CleanProc",1,629,"Yap_etal_2008"
"189",503,"CleanProc",1,634,"Yap_etal_2008"
"190",503,"CleanProc",1,635,"Yap_etal_2008"
"191",503,"DegradedProc",1,638,"Yap_etal_2008"
"192",503,"DegradedProc",1,642,"Yap_etal_2008"
"193",503,"DegradedProc",1,648,"Yap_etal_2008"
"194",503,"CleanProc",1,657,"Yap_etal_2008"
"195",503,"CleanProc",1,663,"Yap_etal_2008"
"196",503,"CleanProc",1,664,"Yap_etal_2008"
"197",503,"CleanProc",1,674,"Yap_etal_2008"
"198",503,"DegradedProc",1,677,"Yap_etal_2008"
"199",503,"CleanProc",1,681,"Yap_etal_2008"
"200",503,"DegradedProc",1,683,"Yap_etal_2008"
"201",503,"DegradedProc",1,694,"Yap_etal_2008"
"202",503,"CleanProc",1,701,"Yap_etal_2008"
"203",503,"DegradedProc",1,701,"Yap_etal_2008"
"204",503,"CleanProc",1,705,"Yap_etal_2008"
"205",503,"DegradedProc",1,717,"Yap_etal_2008"
"206",503,"DegradedProc",1,718,"Yap_etal_2008"
"207",503,"DegradedProc",1,736,"Yap_etal_2008"
"208",503,"CleanProc",1,739,"Yap_etal_2008"
"209",503,"CleanProc",1,742,"Yap_etal_2008"
"210",503,"CleanProc",1,746,"Yap_etal_2008"
"211",503,"CleanProc",1,754,"Yap_etal_2008"
"212",503,"DegradedProc",1,762,"Yap_etal_2008"
"213",503,"CleanProc",1,775,"Yap_etal_2008"
"214",503,"CleanProc",1,777,"Yap_etal_2008"
