"","idv","iv","dv","exp"
"185","4","typisch",408,"Estes_etal_2008"
"186","4","typisch",458,"Estes_etal_2008"
"187","4","typisch",635,"Estes_etal_2008"
"188","4","typisch",650,"Estes_etal_2008"
"189","4","typisch",518,"Estes_etal_2008"
"190","4","typisch",438,"Estes_etal_2008"
"191","4","typisch",472,"Estes_etal_2008"
"192","4","typisch",559,"Estes_etal_2008"
"193","4","typisch",462,"Estes_etal_2008"
"194","4","typisch",521,"Estes_etal_2008"
"195","4","untypisch",400,"Estes_etal_2008"
"196","4","untypisch",573,"Estes_etal_2008"
"197","4","untypisch",523,"Estes_etal_2008"
"198","4","untypisch",541,"Estes_etal_2008"
"199","4","untypisch",448,"Estes_etal_2008"
"200","4","untypisch",651,"Estes_etal_2008"
"201","4","untypisch",503,"Estes_etal_2008"
"202","4","untypisch",607,"Estes_etal_2008"
"203","4","untypisch",546,"Estes_etal_2008"
"204","4","untypisch",867,"Estes_etal_2008"
"205","4","untypisch",574,"Estes_etal_2008"
"206","4","untypisch",524,"Estes_etal_2008"
"207","4","untypisch",574,"Estes_etal_2008"
"208","4","untypisch",521,"Estes_etal_2008"
"209","4","untypisch",577,"Estes_etal_2008"
"210","4","untypisch",515,"Estes_etal_2008"
"211","4","untypisch",627,"Estes_etal_2008"
"212","4","untypisch",816,"Estes_etal_2008"
"213","4","untypisch",551,"Estes_etal_2008"
"214","4","untypisch",589,"Estes_etal_2008"
"215","4","untypisch",517,"Estes_etal_2008"
"216","4","untypisch",547,"Estes_etal_2008"
"217","4","untypisch",716,"Estes_etal_2008"
"218","4","untypisch",455,"Estes_etal_2008"
"219","4","untypisch",665,"Estes_etal_2008"
"220","4","untypisch",589,"Estes_etal_2008"
"221","4","untypisch",599,"Estes_etal_2008"
"222","4","untypisch",584,"Estes_etal_2008"
"223","4","untypisch",478,"Estes_etal_2008"
"224","4","untypisch",610,"Estes_etal_2008"
"225","4","typisch",482,"Estes_etal_2008"
"226","4","typisch",464,"Estes_etal_2008"
"227","4","typisch",628,"Estes_etal_2008"
"228","4","typisch",509,"Estes_etal_2008"
"229","4","typisch",550,"Estes_etal_2008"
"230","4","typisch",577,"Estes_etal_2008"
"231","4","typisch",393,"Estes_etal_2008"
"232","4","typisch",420,"Estes_etal_2008"
"233","4","typisch",441,"Estes_etal_2008"
"234","4","typisch",342,"Estes_etal_2008"
"235","4","typisch",482,"Estes_etal_2008"
"236","4","typisch",449,"Estes_etal_2008"
"237","4","typisch",491,"Estes_etal_2008"
"238","4","typisch",568,"Estes_etal_2008"
"239","4","typisch",588,"Estes_etal_2008"
"240","4","typisch",454,"Estes_etal_2008"
"241","5","typisch",491,"Estes_etal_2008"
"242","5","typisch",581,"Estes_etal_2008"
"243","5","typisch",496,"Estes_etal_2008"
"244","5","typisch",566,"Estes_etal_2008"
"245","5","typisch",527,"Estes_etal_2008"
"246","5","typisch",475,"Estes_etal_2008"
"247","5","typisch",545,"Estes_etal_2008"
"248","5","typisch",594,"Estes_etal_2008"
"249","5","typisch",538,"Estes_etal_2008"
"250","5","typisch",623,"Estes_etal_2008"
"251","5","typisch",701,"Estes_etal_2008"
"252","5","typisch",572,"Estes_etal_2008"
"253","5","typisch",504,"Estes_etal_2008"
"254","5","typisch",551,"Estes_etal_2008"
"255","5","untypisch",606,"Estes_etal_2008"
"256","5","untypisch",379,"Estes_etal_2008"
"257","5","untypisch",500,"Estes_etal_2008"
"258","5","untypisch",481,"Estes_etal_2008"
"259","5","untypisch",579,"Estes_etal_2008"
"260","5","untypisch",494,"Estes_etal_2008"
"261","5","untypisch",349,"Estes_etal_2008"
"262","5","untypisch",476,"Estes_etal_2008"
"263","5","untypisch",538,"Estes_etal_2008"
"264","5","untypisch",486,"Estes_etal_2008"
"265","5","untypisch",646,"Estes_etal_2008"
"266","5","untypisch",509,"Estes_etal_2008"
"267","5","untypisch",551,"Estes_etal_2008"
"268","5","untypisch",512,"Estes_etal_2008"
"269","5","untypisch",471,"Estes_etal_2008"
"270","5","untypisch",480,"Estes_etal_2008"
"271","5","untypisch",583,"Estes_etal_2008"
"272","5","untypisch",630,"Estes_etal_2008"
"273","5","untypisch",496,"Estes_etal_2008"
"274","5","untypisch",456,"Estes_etal_2008"
"275","5","untypisch",501,"Estes_etal_2008"
"276","5","untypisch",525,"Estes_etal_2008"
"277","5","untypisch",498,"Estes_etal_2008"
"278","5","untypisch",542,"Estes_etal_2008"
"279","5","untypisch",635,"Estes_etal_2008"
"280","5","untypisch",511,"Estes_etal_2008"
"281","5","untypisch",656,"Estes_etal_2008"
"282","5","untypisch",573,"Estes_etal_2008"
"283","5","untypisch",510,"Estes_etal_2008"
"284","5","untypisch",424,"Estes_etal_2008"
"285","5","typisch",787,"Estes_etal_2008"
"286","5","typisch",422,"Estes_etal_2008"
"287","5","typisch",463,"Estes_etal_2008"
"288","5","typisch",575,"Estes_etal_2008"
"289","5","typisch",474,"Estes_etal_2008"
"290","5","typisch",403,"Estes_etal_2008"
"291","5","typisch",464,"Estes_etal_2008"
"292","5","typisch",606,"Estes_etal_2008"
"293","5","typisch",402,"Estes_etal_2008"
"294","5","typisch",370,"Estes_etal_2008"
"295","5","typisch",601,"Estes_etal_2008"
"296","5","typisch",562,"Estes_etal_2008"
"297","5","typisch",487,"Estes_etal_2008"
"298","5","typisch",473,"Estes_etal_2008"
"299","5","typisch",530,"Estes_etal_2008"
"300","5","typisch",490,"Estes_etal_2008"
"301","6","typisch",383,"Estes_etal_2008"
"302","6","typisch",423,"Estes_etal_2008"
"303","6","typisch",338,"Estes_etal_2008"
"304","6","typisch",420,"Estes_etal_2008"
"305","6","typisch",429,"Estes_etal_2008"
"306","6","typisch",431,"Estes_etal_2008"
"307","6","typisch",386,"Estes_etal_2008"
"308","6","typisch",297,"Estes_etal_2008"
"309","6","typisch",421,"Estes_etal_2008"
"310","6","typisch",499,"Estes_etal_2008"
"311","6","typisch",404,"Estes_etal_2008"
"312","6","typisch",318,"Estes_etal_2008"
"313","6","typisch",559,"Estes_etal_2008"
"314","6","typisch",392,"Estes_etal_2008"
"315","6","untypisch",379,"Estes_etal_2008"
"316","6","untypisch",479,"Estes_etal_2008"
"317","6","untypisch",429,"Estes_etal_2008"
"318","6","untypisch",343,"Estes_etal_2008"
"319","6","untypisch",581,"Estes_etal_2008"
"320","6","untypisch",319,"Estes_etal_2008"
"321","6","untypisch",393,"Estes_etal_2008"
"322","6","untypisch",411,"Estes_etal_2008"
"323","6","untypisch",423,"Estes_etal_2008"
"324","6","untypisch",342,"Estes_etal_2008"
"325","6","untypisch",421,"Estes_etal_2008"
"326","6","untypisch",396,"Estes_etal_2008"
"327","6","untypisch",440,"Estes_etal_2008"
"328","6","untypisch",381,"Estes_etal_2008"
"329","6","untypisch",335,"Estes_etal_2008"
"330","6","untypisch",369,"Estes_etal_2008"
"331","6","untypisch",437,"Estes_etal_2008"
"332","6","untypisch",352,"Estes_etal_2008"
"333","6","untypisch",493,"Estes_etal_2008"
"334","6","untypisch",369,"Estes_etal_2008"
"335","6","untypisch",341,"Estes_etal_2008"
"336","6","untypisch",368,"Estes_etal_2008"
"337","6","untypisch",430,"Estes_etal_2008"
"338","6","untypisch",364,"Estes_etal_2008"
"339","6","untypisch",472,"Estes_etal_2008"
"340","6","untypisch",413,"Estes_etal_2008"
"341","6","untypisch",446,"Estes_etal_2008"
"342","6","untypisch",341,"Estes_etal_2008"
"343","6","untypisch",403,"Estes_etal_2008"
"344","6","untypisch",435,"Estes_etal_2008"
"345","6","typisch",288,"Estes_etal_2008"
"346","6","typisch",366,"Estes_etal_2008"
"347","6","typisch",363,"Estes_etal_2008"
"348","6","typisch",399,"Estes_etal_2008"
"349","6","typisch",372,"Estes_etal_2008"
"350","6","typisch",347,"Estes_etal_2008"
"351","6","typisch",349,"Estes_etal_2008"
"352","6","typisch",369,"Estes_etal_2008"
"353","6","typisch",282,"Estes_etal_2008"
"354","6","typisch",356,"Estes_etal_2008"
"355","6","typisch",489,"Estes_etal_2008"
"356","6","typisch",379,"Estes_etal_2008"
"357","6","typisch",369,"Estes_etal_2008"
"358","6","typisch",330,"Estes_etal_2008"
"359","6","typisch",360,"Estes_etal_2008"
"360","6","typisch",352,"Estes_etal_2008"
"361","7","typisch",710,"Estes_etal_2008"
"362","7","typisch",454,"Estes_etal_2008"
"363","7","typisch",508,"Estes_etal_2008"
"364","7","typisch",427,"Estes_etal_2008"
"365","7","typisch",540,"Estes_etal_2008"
"366","7","typisch",496,"Estes_etal_2008"
"367","7","typisch",417,"Estes_etal_2008"
"368","7","typisch",783,"Estes_etal_2008"
"369","7","typisch",364,"Estes_etal_2008"
