Subject,ldtfreq,Procedure,word_NW,Target.ACC,Target.RT,border,z,,,
502,1,DegradedProc,1,1,922,1,0.586799979,,,
502,1,DegradedProc,1,1,983,1,0.82016361,,,
502,1,DegradedProc,1,1,1073,1,1.164470607,,,
502,1,DegradedProc,1,1,1170,1,1.535557036,,,
502,1,DegradedProc,1,1,1198,1,1.642674768,,,
502,1,DegradedProc,1,1,1264,1,1.895166565,,,
503,1,CleanProc,1,1,497,0,-1.187912013,,,
503,1,CleanProc,1,1,511,1,-1.156703708,,,
503,1,CleanProc,1,1,537,1,-1.098745429,,,
503,1,CleanProc,1,1,563,1,-1.04078715,,,
503,1,CleanProc,1,1,563,1,-1.04078715,,,
503,1,CleanProc,1,1,574,1,-1.016266339,,,
503,1,CleanProc,1,1,586,1,-0.989516364,,,
503,1,CleanProc,1,1,588,1,-0.985058035,,,
503,1,DegradedProc,1,1,607,1,-0.942703908,,,
503,1,CleanProc,1,1,619,1,-0.915953932,,,
503,1,CleanProc,1,1,625,1,-0.902578945,,,
503,1,CleanProc,1,1,629,1,-0.893662286,,,
503,1,CleanProc,1,1,634,1,-0.882516464,,,
503,1,CleanProc,1,1,635,1,-0.880287299,,,
503,1,DegradedProc,1,1,638,1,-0.873599805,,,
503,1,DegradedProc,1,1,642,1,-0.864683147,,,
503,1,DegradedProc,1,1,648,1,-0.851308159,,,
503,1,CleanProc,1,1,657,1,-0.831245678,,,
503,1,CleanProc,1,1,663,1,-0.81787069,,,
503,1,CleanProc,1,1,664,1,-0.815641526,,,
503,1,CleanProc,1,1,674,1,-0.79334988,,,
503,1,DegradedProc,1,1,677,1,-0.786662386,,,
503,1,CleanProc,1,1,681,1,-0.777745728,,,
503,1,DegradedProc,1,1,683,1,-0.773287398,,,
503,1,DegradedProc,1,1,694,1,-0.748766588,,,
503,1,CleanProc,1,1,701,1,-0.733162436,,,
503,1,DegradedProc,1,1,701,1,-0.733162436,,,
503,1,CleanProc,1,1,705,1,-0.724245777,,,
503,1,DegradedProc,1,1,717,1,-0.697495802,,,
503,1,DegradedProc,1,1,718,1,-0.695266638,,,
503,1,DegradedProc,1,1,736,1,-0.655141675,,,
503,1,CleanProc,1,1,739,1,-0.648454181,,,
503,1,CleanProc,1,1,742,1,-0.641766688,,,
503,1,CleanProc,1,1,746,1,-0.632850029,,,
503,1,CleanProc,1,1,754,1,-0.615016712,,,
503,1,DegradedProc,1,1,762,1,-0.597183396,,,
503,1,CleanProc,1,1,775,1,-0.568204256,,,
503,1,CleanProc,1,1,777,1,-0.563745927,,,
503,1,DegradedProc,1,1,779,1,-0.559287598,,,
503,1,CleanProc,1,1,786,1,-0.543683446,,,
503,1,CleanProc,1,1,788,1,-0.539225116,,,
