"","Subject","correctResponseButton","responseHand","StimulusColor","SubTrial","ColorMasked","Confidence.RESP","correctRT","GrayMasked","leftMask","leftStimulus","Number","NumberResponse","Response.RESP","ResponseAccuracy","rightMask","rightStimulus","virhe","virhe.edellinen"
"3762","8",6,"right","Blue",2,1,4,271,0,1,1,"2",1,1,0,0,1,0,0
"3764","8",6,"right","Blue",4,0,4,291,1,0,1,"1",1,1,1,1,0,0,0
"3765","8",6,"right","Blue",5,1,4,267,0,1,1,"2",1,1,0,0,1,0,0
"3773","8",6,"right","Blue",13,1,4,260,0,1,1,"2",1,1,0,0,1,0,0
"3774","8",6,"right","Blue",14,1,4,250,0,0,1,"2",1,1,0,1,1,0,0
"3775","8",6,"right","Blue",15,1,4,269,0,0,1,"2",1,1,0,1,1,0,0
"3780","8",6,"right","Blue",20,1,4,426,0,1,1,"2",1,1,0,0,1,0,0
"3781","8",6,"right","Red",1,1,4,290,0,0,1,"2",1,1,0,1,1,0,NA
"3782","8",6,"right","Red",2,0,4,396,1,0,1,"1",1,1,1,1,0,0,0
"3785","8",6,"right","Red",5,1,4,258,0,0,1,"2",1,1,0,1,1,0,0
"3793","8",6,"right","Red",13,0,4,307,1,1,0,"1",1,1,1,0,1,0,0
"3794","8",6,"right","Red",14,1,4,206,0,1,1,"2",1,1,0,0,1,0,0
"3795","8",6,"right","Red",15,1,4,286,0,1,1,"2",1,1,0,0,1,0,0
"3796","8",6,"right","Red",16,1,4,236,0,1,1,"2",1,1,0,0,1,0,0
"3803","8",6,"right","Blue",3,1,4,260,0,1,1,"2",1,1,0,0,1,0,0
"3804","8",6,"right","Blue",4,1,4,291,0,1,1,"2",1,1,0,0,1,0,0
"3807","8",6,"right","Blue",7,1,4,445,0,1,1,"2",1,1,0,0,1,0,0
"3808","8",6,"right","Blue",8,1,4,260,0,0,1,"2",1,1,0,1,1,0,0
"3814","8",6,"right","Blue",14,1,4,257,0,1,1,"2",1,1,0,0,1,0,0
"3817","8",6,"right","Blue",17,1,4,256,0,0,1,"2",1,1,0,1,1,0,0
"3818","8",6,"right","Blue",18,0,4,419,1,0,1,"1",1,1,1,1,0,0,0
"3822","8",6,"right","Red",2,1,4,315,0,1,1,"2",1,1,0,0,1,0,0
"3823","8",6,"right","Red",3,1,4,259,0,0,1,"2",1,1,0,1,1,0,0
"3824","8",6,"right","Red",4,1,4,218,0,1,1,"2",1,1,0,0,1,0,0
"3826","8",6,"right","Red",6,1,4,233,0,1,1,"2",1,1,0,0,1,0,0
"3833","8",6,"right","Red",13,0,4,242,1,1,0,"1",1,1,1,0,1,0,0
"3834","8",6,"right","Red",14,1,4,444,0,1,1,"2",1,1,0,0,1,0,0
"3840","8",6,"right","Red",20,0,4,552,1,0,1,"1",1,1,1,1,0,0,0
"3845","9",5,"left","Blue",5,0,4,393,1,0,1,"1",1,1,1,1,0,0,1
"3858","9",5,"left","Blue",18,0,4,340,1,1,0,"1",1,1,1,0,1,0,0
"3866","9",5,"left","Red",6,0,4,282,1,1,0,"1",1,1,1,0,1,0,0
"3871","9",5,"left","Red",11,1,4,184,0,1,1,"2",1,1,0,0,1,0,0
"3879","9",5,"left","Red",19,0,4,213,1,0,1,"1",1,1,1,1,0,0,0
"3884","9",5,"left","Blue",4,0,4,195,1,0,1,"1",1,1,1,1,0,0,0
"3889","9",5,"left","Blue",9,1,4,191,0,0,1,"2",1,1,0,1,1,0,0
"3891","9",5,"left","Blue",11,1,4,196,0,0,1,"2",1,1,0,1,1,0,0
"3904","9",5,"left","Red",4,1,4,203,0,0,1,"2",1,1,0,1,1,0,0
"3909","9",5,"left","Red",9,0,4,424,1,1,0,"1",1,1,1,0,1,0,0
"3910","9",5,"left","Red",10,0,4,182,1,0,1,"1",1,1,1,1,0,0,0
"3932","9",5,"left","Blue",12,0,4,211,1,0,1,"1",1,1,1,1,0,0,0
"3935","9",5,"left","Blue",15,0,4,366,1,1,0,"1",1,1,1,0,1,0,0
"3945","9",5,"left","Red",5,0,4,333,1,1,0,"1",1,1,1,0,1,0,0
"3951","9",5,"left","Red",11,0,4,291,1,0,1,"1",1,1,1,1,0,0,0
"3964","9",5,"left","Blue",4,0,4,241,1,0,1,"1",1,1,1,1,0,0,0
"3981","9",5,"left","Red",1,1,4,312,0,0,1,"2",1,1,0,1,1,0,NA
"3995","9",5,"left","Red",15,0,4,189,1,0,1,"1",1,1,1,1,0,0,0
"3999","9",5,"left","Red",19,0,4,243,1,1,0,"1",1,1,1,0,1,0,0
"4012","9",5,"left","Blue",12,0,4,264,1,1,0,"1",1,1,1,0,1,0,0
"4019","9",5,"left","Blue",19,1,4,196,0,1,1,"2",1,1,0,0,1,0,0
"4026","9",5,"left","Red",6,0,4,230,1,1,0,"1",1,1,1,0,1,0,0
"4029","9",5,"left","Red",9,0,4,248,1,0,1,"1",1,1,1,1,0,0,0
"4039","9",5,"left","Red",19,1,4,194,0,0,1,"2",1,1,0,1,1,0,0
"4043","9",5,"left","Blue",3,0,4,184,1,1,0,"1",1,1,1,0,1,0,0
"4059","9",5,"left","Blue",19,0,4,269,1,0,1,"1",1,1,1,1,0,0,1
"4061","9",5,"left","Red",1,0,4,307,1,1,0,"1",1,1,1,0,1,0,NA
"4067","9",5,"left","Red",7,0,4,240,1,0,1,"1",1,1,1,1,0,0,0
"4083","9",6,"right","Blue",3,0,4,186,1,1,0,"1",1,1,1,0,1,0,0
"4092","9",6,"right","Blue",12,0,4,219,1,0,1,"1",1,1,1,1,0,0,0
"4101","9",6,"right","Red",1,1,4,246,0,0,1,"2",1,1,0,1,1,0,NA
"4102","9",6,"right","Red",2,1,4,244,0,1,1,"2",1,1,0,0,1,0,0
"4104","9",6,"right","Red",4,0,4,365,1,1,0,"1",1,1,1,0,1,0,0
"4112","9",6,"right","Red",12,0,4,202,1,0,1,"1",1,1,1,1,0,0,0
"4113","9",6,"right","Red",13,1,4,189,0,0,1,"2",1,1,0,1,1,0,0
"4125","9",6,"right","Blue",5,0,4,279,1,0,1,"1",1,1,1,1,0,0,0
"4136","9",6,"right","Blue",16,1,4,245,0,0,1,"2",1,1,0,1,1,0,0
"4144","9",6,"right","Red",4,0,4,220,1,0,1,"1",1,1,1,1,0,0,0
"4145","9",6,"right","Red",5,0,4,284,1,1,0,"1",1,1,1,0,1,0,0
"4169","9",6,"right","Blue",9,0,4,217,1,0,1,"1",1,1,1,1,0,0,0
