"","Subject","correctResponseButton","responseHand","StimulusColor","SubTrial","ColorMasked","Confidence.RESP","correctRT","GrayMasked","leftMask","leftStimulus","Number","NumberResponse","Response.RESP","ResponseAccuracy","rightMask","rightStimulus","virhe","virhe.edellinen"
"639","2",5,"left","Red",19,1,4,221,0,1,1,"2",1,1,0,0,1,0,0
"643","2",5,"left","Blue",3,1,4,229,0,0,1,"2",1,1,0,1,1,0,0
"647","2",5,"left","Blue",7,1,4,192,0,1,1,"2",1,1,0,0,1,0,0
"648","2",5,"left","Blue",8,1,4,211,0,0,1,"2",1,1,0,1,1,0,0
"653","2",5,"left","Blue",13,0,4,179,1,0,1,"1",1,1,1,1,0,0,0
"657","2",5,"left","Blue",17,1,4,319,0,1,1,"2",1,1,0,0,1,0,0
"661","2",5,"left","Red",1,0,4,627,1,1,0,"1",1,1,1,0,1,0,NA
"662","2",5,"left","Red",2,1,4,242,0,1,1,"2",1,1,0,0,1,0,0
"669","2",5,"left","Red",9,1,4,355,0,0,1,"2",1,1,0,1,1,0,0
"671","2",5,"left","Red",11,1,4,220,0,1,1,"2",1,1,0,0,1,0,0
"677","2",5,"left","Red",17,0,4,259,1,0,1,"1",1,1,1,1,0,0,0
"678","2",5,"left","Red",18,1,4,435,0,1,1,"2",1,1,0,0,1,0,0
"680","2",5,"left","Red",20,1,4,303,0,0,1,"2",1,1,0,1,1,0,0
"684","2",5,"left","Blue",4,1,4,210,0,0,1,"2",1,1,0,1,1,0,0
"687","2",5,"left","Blue",7,1,4,224,0,1,1,"2",1,1,0,0,1,0,0
"697","2",5,"left","Blue",17,1,4,272,0,0,1,"2",1,1,0,1,1,0,0
"700","2",5,"left","Blue",20,0,4,360,1,1,0,"1",1,1,1,0,1,0,0
"701","2",5,"left","Red",1,0,4,199,1,0,1,"1",1,1,1,1,0,0,NA
"707","2",5,"left","Red",7,1,4,263,0,1,1,"2",1,1,0,0,1,0,1
"710","2",5,"left","Red",10,0,4,296,1,1,0,"1",1,1,1,0,1,0,0
"713","2",5,"left","Red",13,1,4,182,0,0,1,"2",1,1,0,1,1,0,0
"715","2",5,"left","Red",15,1,4,276,0,0,1,"2",1,1,0,1,1,0,0
"717","2",5,"left","Red",17,1,4,259,0,1,1,"2",1,1,0,0,1,0,0
"724","2",6,"right","Blue",4,0,4,206,1,0,1,"1",1,1,1,1,0,0,0
"726","2",6,"right","Blue",6,1,4,194,0,1,1,"2",1,1,0,0,1,0,0
"730","2",6,"right","Blue",10,0,4,627,1,1,0,"1",1,1,1,0,1,0,0
"731","2",6,"right","Blue",11,1,4,352,0,0,1,"2",1,1,0,1,1,0,0
"738","2",6,"right","Blue",18,1,4,220,0,1,1,"2",1,1,0,0,1,0,0
"739","2",6,"right","Blue",19,1,4,269,0,0,1,"2",1,1,0,1,1,0,0
"741","2",6,"right","Red",1,0,4,228,1,0,1,"1",1,1,1,1,0,0,NA
"743","2",6,"right","Red",3,1,4,350,0,0,1,"2",1,1,0,1,1,0,0
"746","2",6,"right","Red",6,0,4,282,1,1,0,"1",1,1,1,0,1,0,0
"760","2",6,"right","Red",20,1,4,253,0,0,1,"2",1,1,0,1,1,0,0
"761","2",6,"right","Blue",1,0,4,261,1,1,0,"1",1,1,1,0,1,0,NA
"774","2",6,"right","Blue",14,1,4,332,0,0,1,"2",1,1,0,1,1,0,1
"775","2",6,"right","Blue",15,1,4,454,0,1,1,"2",1,1,0,0,1,0,0
"780","2",6,"right","Blue",20,0,4,276,1,0,1,"1",1,1,1,1,0,0,0
"781","2",6,"right","Red",1,1,4,271,0,1,1,"2",1,1,0,0,1,0,NA
"784","2",6,"right","Red",4,0,4,261,1,1,0,"1",1,1,1,0,1,0,0
"788","2",6,"right","Red",8,1,4,268,0,1,1,"2",1,1,0,0,1,0,1
"789","2",6,"right","Red",9,1,4,329,0,0,1,"2",1,1,0,1,1,0,0
"791","2",6,"right","Red",11,1,4,317,0,0,1,"2",1,1,0,1,1,0,0
"794","2",6,"right","Red",14,1,4,240,0,1,1,"2",1,1,0,0,1,0,0
"798","2",6,"right","Red",18,0,4,328,1,0,1,"1",1,1,1,1,0,0,0
"802","2",6,"right","Blue",2,1,4,215,0,1,1,"2",1,1,0,0,1,0,0
"805","2",6,"right","Blue",5,1,4,551,0,0,1,"2",1,1,0,1,1,0,0
"806","2",6,"right","Blue",6,0,4,195,1,0,1,"1",1,1,1,1,0,0,0
"811","2",6,"right","Blue",11,1,4,270,0,1,1,"2",1,1,0,0,1,0,0
"812","2",6,"right","Blue",12,1,4,249,0,1,1,"2",1,1,0,0,1,0,0
"814","2",6,"right","Blue",14,1,4,333,0,1,1,"2",1,1,0,0,1,0,0
"818","2",6,"right","Blue",18,1,4,313,0,0,1,"2",1,1,0,1,1,0,0
"821","2",6,"right","Red",1,0,4,256,1,0,1,"1",1,1,1,1,0,0,NA
"831","2",6,"right","Red",11,1,4,218,0,0,1,"2",1,1,0,1,1,0,0
"835","2",6,"right","Red",15,1,4,218,0,1,1,"2",1,1,0,0,1,0,0
"838","2",6,"right","Red",18,1,4,294,0,0,1,"2",1,1,0,1,1,0,1
"839","2",6,"right","Red",19,1,4,494,0,1,1,"2",1,1,0,0,1,0,0
"847","2",6,"right","Blue",7,0,4,319,1,0,1,"1",1,1,1,1,0,0,0
"849","2",6,"right","Blue",9,1,4,331,0,0,1,"2",1,1,0,1,1,0,0
"850","2",6,"right","Blue",10,1,4,499,0,1,1,"2",1,1,0,0,1,0,0
"854","2",6,"right","Blue",14,1,4,206,0,1,1,"2",1,1,0,0,1,0,0
"856","2",6,"right","Blue",16,0,4,196,1,1,0,"1",1,1,1,0,1,0,0
"857","2",6,"right","Blue",17,1,4,237,0,0,1,"2",1,1,0,1,1,0,0
"860","2",6,"right","Blue",20,1,4,281,0,1,1,"2",1,1,0,0,1,0,0
"863","2",6,"right","Red",3,1,4,206,0,1,1,"2",1,1,0,0,1,0,0
"866","2",6,"right","Red",6,1,4,268,0,1,1,"2",1,1,0,0,1,0,1
"868","2",6,"right","Red",8,1,4,224,0,1,1,"2",1,1,0,0,1,0,0
"870","2",6,"right","Red",10,1,4,300,0,1,1,"2",1,1,0,0,1,0,0
"873","2",6,"right","Red",13,1,4,235,0,0,1,"2",1,1,0,1,1,0,0
"878","2",6,"right","Red",18,1,4,267,0,0,1,"2",1,1,0,1,1,0,0
"883","2",6,"right","Blue",3,0,4,203,1,0,1,"1",1,1,1,1,0,0,0
"887","2",6,"right","Blue",7,1,4,234,0,0,1,"2",1,1,0,1,1,0,0
"891","2",6,"right","Blue",11,1,4,197,0,1,1,"2",1,1,0,0,1,0,0
"893","2",6,"right","Blue",13,0,4,257,1,1,0,"1",1,1,1,0,1,0,0
"894","2",6,"right","Blue",14,1,4,233,0,1,1,"2",1,1,0,0,1,0,0
"897","2",6,"right","Blue",17,1,4,336,0,1,1,"2",1,1,0,0,1,0,0
"899","2",6,"right","Blue",19,1,4,249,0,0,1,"2",1,1,0,1,1,0,0
"900","2",6,"right","Blue",20,1,4,259,0,1,1,"2",1,1,0,0,1,0,0
"901","2",6,"right","Red",1,0,4,334,1,1,0,"1",1,1,1,0,1,0,NA
"904","2",6,"right","Red",4,1,4,194,0,1,1,"2",1,1,0,0,1,0,0
"907","2",6,"right","Red",7,1,4,244,0,0,1,"2",1,1,0,1,1,0,0
"909","2",6,"right","Red",9,0,4,222,1,0,1,"1",1,1,1,1,0,0,0
"910","2",6,"right","Red",10,1,4,338,0,1,1,"2",1,1,0,0,1,0,0
"923","2",6,"right","Blue",3,1,4,207,0,1,1,"2",1,1,0,0,1,0,0
"929","2",6,"right","Blue",9,1,4,271,0,1,1,"2",1,1,0,0,1,0,0
"930","2",6,"right","Blue",10,1,4,423,0,1,1,"2",1,1,0,0,1,0,0
"934","2",6,"right","Blue",14,1,4,317,0,1,1,"2",1,1,0,0,1,0,0
"935","2",6,"right","Blue",15,0,4,387,1,1,0,"1",1,1,1,0,1,0,0
"937","2",6,"right","Blue",17,1,4,221,0,0,1,"2",1,1,0,1,1,0,0
"938","2",6,"right","Blue",18,0,4,312,1,0,1,"1",1,1,1,1,0,0,0
"940","2",6,"right","Blue",20,1,4,342,0,0,1,"2",1,1,0,1,1,0,0
"943","2",6,"right","Red",3,1,4,190,0,0,1,"2",1,1,0,1,1,0,0
"944","2",6,"right","Red",4,1,4,233,0,1,1,"2",1,1,0,0,1,0,0
"947","2",6,"right","Red",7,1,4,264,0,0,1,"2",1,1,0,1,1,0,0
"948","2",6,"right","Red",8,1,4,241,0,1,1,"2",1,1,0,0,1,0,0
"954","2",6,"right","Red",14,1,4,202,0,1,1,"2",1,1,0,0,1,0,0
"959","2",6,"right","Red",19,0,4,331,1,1,0,"1",1,1,1,0,1,0,0
"960","2",6,"right","Red",20,0,4,235,1,0,1,"1",1,1,1,1,0,0,0
"970","3",6,"right","Red",10,1,4,221,0,0,1,"2",1,1,0,1,1,0,0
"978","3",6,"right","Red",18,0,4,309,1,1,0,"1",1,1,1,0,1,0,0
"980","3",6,"right","Red",20,0,4,234,1,0,1,"1",1,1,1,1,0,0,0
"985","3",6,"right","Blue",5,0,4,273,1,0,1,"1",1,1,1,1,0,0,0
"1003","3",6,"right","Red",3,1,4,292,0,1,1,"2",1,1,0,0,1,0,0
"1006","3",6,"right","Red",6,1,4,195,0,0,1,"2",1,1,0,1,1,0,0
"1008","3",6,"right","Red",8,0,4,215,1,0,1,"1",1,1,1,1,0,0,0
"1010","3",6,"right","Red",10,0,4,220,1,1,0,"1",1,1,1,0,1,0,0
"1026","3",6,"right","Blue",6,1,4,219,0,1,1,"2",1,1,0,0,1,0,0
"1037","3",6,"right","Blue",17,0,4,376,1,1,0,"1",1,1,1,0,1,0,0
"1040","3",6,"right","Blue",20,0,4,380,1,0,1,"1",1,1,1,1,0,0,0
"1052","3",6,"right","Red",12,0,4,267,1,0,1,"1",1,1,1,1,0,0,0
"1067","3",6,"right","Blue",7,1,4,249,0,1,1,"2",1,1,0,0,1,0,0
"1074","3",6,"right","Blue",14,0,4,435,1,1,0,"1",1,1,1,0,1,0,0
"1075","3",6,"right","Blue",15,0,4,425,1,0,1,"1",1,1,1,1,0,0,0
"1084","3",6,"right","Red",4,0,4,353,1,0,1,"1",1,1,1,1,0,0,0
"1095","3",6,"right","Red",15,0,4,240,1,1,0,"1",1,1,1,0,1,0,0
"1102","3",6,"right","Blue",2,1,4,390,0,0,1,"2",1,1,0,1,1,0,0
"1108","3",6,"right","Blue",8,0,4,236,1,1,0,"1",1,1,1,0,1,0,0
"1110","3",6,"right","Blue",10,1,4,222,0,1,1,"2",1,1,0,0,1,0,0
"1111","3",6,"right","Blue",11,1,4,234,0,0,1,"2",1,1,0,1,1,0,0
"1112","3",6,"right","Blue",12,1,4,232,0,1,1,"2",1,1,0,0,1,0,0
"1119","3",6,"right","Blue",19,0,4,263,1,0,1,"1",1,1,1,1,0,0,0
"1135","3",6,"right","Red",15,1,4,212,0,0,1,"2",1,1,0,1,1,0,0
"1138","3",6,"right","Red",18,0,4,181,1,0,1,"1",1,1,1,1,0,0,0
"1141","3",6,"right","Blue",1,0,4,272,1,0,1,"1",1,1,1,1,0,0,NA
"1157","3",6,"right","Blue",17,0,4,505,1,1,0,"1",1,1,1,0,1,0,0
"1158","3",6,"right","Blue",18,1,4,212,0,1,1,"2",1,1,0,0,1,0,0
"1160","3",6,"right","Blue",20,1,4,262,0,1,1,"2",1,1,0,0,1,0,0
"1167","3",6,"right","Red",7,1,4,301,0,0,1,"2",1,1,0,1,1,0,0
"1168","3",6,"right","Red",8,0,4,238,1,0,1,"1",1,1,1,1,0,0,0
"1171","3",6,"right","Red",11,1,4,279,0,0,1,"2",1,1,0,1,1,0,0
"1176","3",6,"right","Red",16,0,4,374,1,1,0,"1",1,1,1,0,1,0,0
"1184","3",6,"right","Blue",4,0,4,290,1,1,0,"1",1,1,1,0,1,0,0
"1188","3",6,"right","Blue",8,0,4,275,1,0,1,"1",1,1,1,1,0,0,1
"1195","3",6,"right","Blue",15,1,4,208,0,0,1,"2",1,1,0,1,1,0,0
"1204","3",5,"left","Red",4,0,4,238,1,0,1,"1",1,1,1,1,0,0,0
"1224","3",5,"left","Blue",4,0,4,183,1,0,1,"1",1,1,1,1,0,0,0
"1226","3",5,"left","Blue",6,1,4,208,0,0,1,"2",1,1,0,1,1,0,0
"1237","3",5,"left","Blue",17,0,4,301,1,1,0,"1",1,1,1,0,1,0,0
"1244","3",5,"left","Red",4,0,4,244,1,0,1,"1",1,1,1,1,0,0,0
"1245","3",5,"left","Red",5,1,4,247,0,1,1,"2",1,1,0,0,1,0,0
"1256","3",5,"left","Red",16,1,4,247,0,0,1,"2",1,1,0,1,1,0,0
"1273","3",5,"left","Blue",13,0,4,422,1,1,0,"1",1,1,1,0,1,0,0
"1280","3",5,"left","Blue",20,0,4,257,1,0,1,"1",1,1,1,1,0,0,0
"1284","3",5,"left","Red",4,0,4,248,1,0,1,"1",1,1,1,1,0,0,0
"1287","3",5,"left","Red",7,1,4,221,0,0,1,"2",1,1,0,1,1,0,0
"1289","3",5,"left","Red",9,1,4,251,0,0,1,"2",1,1,0,1,1,0,1
"1295","3",5,"left","Red",15,0,4,385,1,1,0,"1",1,1,1,0,1,0,0
"1309","3",5,"left","Blue",9,0,4,336,1,1,0,"1",1,1,1,0,1,0,0
"1313","3",5,"left","Blue",13,1,4,236,0,0,1,"2",1,1,0,1,1,0,0
"1319","3",5,"left","Blue",19,0,4,243,1,0,1,"1",1,1,1,1,0,0,0
"1321","3",5,"left","Red",1,0,4,229,1,1,0,"1",1,1,1,0,1,0,NA
"1325","3",5,"left","Red",5,0,4,193,1,0,1,"1",1,1,1,1,0,0,0
"1333","3",5,"left","Red",13,1,4,237,0,0,1,"2",1,1,0,1,1,0,0
"1338","3",5,"left","Red",18,1,4,266,0,1,1,"2",1,1,0,0,1,0,0
"1348","3",5,"left","Blue",8,0,4,290,1,1,0,"1",1,1,1,0,1,0,0
"1360","3",5,"left","Blue",20,0,4,260,1,0,1,"1",1,1,1,1,0,0,0
"1365","3",5,"left","Red",5,1,4,279,0,0,1,"2",1,1,0,1,1,0,0
"1369","3",5,"left","Red",9,0,4,268,1,1,0,"1",1,1,1,0,1,0,0
"1373","3",5,"left","Red",13,0,4,317,1,0,1,"1",1,1,1,1,0,0,0
"1389","3",5,"left","Blue",9,1,4,212,0,0,1,"2",1,1,0,1,1,0,0
"1395","3",5,"left","Blue",15,0,4,383,1,1,0,"1",1,1,1,0,1,0,0
"1399","3",5,"left","Blue",19,0,4,239,1,0,1,"1",1,1,1,1,0,0,0
"1403","3",5,"left","Red",3,0,4,229,1,1,0,"1",1,1,1,0,1,0,0
"1410","3",5,"left","Red",10,1,4,241,0,0,1,"2",1,1,0,1,1,0,0
"1415","3",5,"left","Red",15,0,4,209,1,0,1,"1",1,1,1,1,0,0,0
"1417","3",5,"left","Red",17,1,4,213,0,0,1,"2",1,1,0,1,1,0,0
"1423","3",5,"left","Blue",3,1,4,266,0,1,1,"2",1,1,0,0,1,0,0
"1429","3",5,"left","Blue",9,0,4,287,1,1,0,"1",1,1,1,0,1,0,0
"1434","3",5,"left","Blue",14,0,4,282,1,0,1,"1",1,1,1,1,0,0,0
"1450","4",5,"left","Blue",10,0,4,268,1,1,0,"1",1,1,1,0,1,0,0
"1452","4",5,"left","Blue",12,0,4,244,1,0,1,"1",1,1,1,1,0,0,0
"1463","4",5,"left","Red",3,1,4,281,0,1,1,"2",1,1,0,0,1,0,0
"1469","4",5,"left","Red",9,0,4,274,1,0,1,"1",1,1,1,1,0,0,0
"1470","4",5,"left","Red",10,1,4,291,0,0,1,"2",1,1,0,1,1,0,0
"1471","4",5,"left","Red",11,1,4,334,0,0,1,"2",1,1,0,1,1,0,0
"1493","4",5,"left","Blue",13,0,4,420,1,1,0,"1",1,1,1,0,1,0,0
"1508","4",5,"left","Red",8,1,4,231,0,1,1,"2",1,1,0,0,1,0,0
"1513","4",5,"left","Red",13,0,4,212,1,0,1,"1",1,1,1,1,0,0,0
"1519","4",5,"left","Red",19,1,4,401,0,1,1,"2",1,1,0,0,1,0,0
"1520","4",5,"left","Red",20,0,4,338,1,1,0,"1",1,1,1,0,1,0,0
"1521","4",5,"left","Blue",1,0,4,233,1,0,1,"1",1,1,1,1,0,0,NA
"1562","4",5,"left","Blue",2,0,4,332,1,0,1,"1",1,1,1,1,0,0,1
"1569","4",5,"left","Blue",9,0,4,418,1,1,0,"1",1,1,1,0,1,0,0
"1593","4",5,"left","Red",13,0,4,225,1,0,1,"1",1,1,1,1,0,0,0
"1596","4",5,"left","Red",16,1,4,279,0,0,1,"2",1,1,0,1,1,0,0
"1604","4",5,"left","Blue",4,0,4,175,1,0,1,"1",1,1,1,1,0,0,0
"1633","4",5,"left","Red",13,0,4,241,1,0,1,"1",1,1,1,1,0,0,0
"1637","4",5,"left","Red",17,1,4,426,0,0,1,"2",1,1,0,1,1,0,0
"1638","4",5,"left","Red",18,1,4,260,0,0,1,"2",1,1,0,1,1,0,0
"1645","4",5,"left","Blue",5,0,4,234,1,0,1,"1",1,1,1,1,0,0,0
"1661","4",5,"left","Red",1,0,4,305,1,0,1,"1",1,1,1,1,0,0,NA
"1667","4",5,"left","Red",7,1,4,192,0,0,1,"2",1,1,0,1,1,0,1
"1684","4",6,"right","Blue",4,0,4,262,1,0,1,"1",1,1,1,1,0,0,0
"1686","4",6,"right","Blue",6,1,4,253,0,0,1,"2",1,1,0,1,1,0,1
"1700","4",6,"right","Blue",20,0,4,286,1,1,0,"1",1,1,1,0,1,0,1
"1707","4",6,"right","Red",7,0,4,280,1,0,1,"1",1,1,1,1,0,0,0
"1719","4",6,"right","Red",19,1,4,240,0,0,1,"2",1,1,0,1,1,0,0
"1721","4",6,"right","Blue",1,1,4,196,0,0,1,"2",1,1,0,1,1,0,NA
"1730","4",6,"right","Blue",10,0,4,206,1,0,1,"1",1,1,1,1,0,0,0
"1739","4",6,"right","Blue",19,0,4,231,1,1,0,"1",1,1,1,0,1,0,0
"1745","4",6,"right","Red",5,1,4,336,0,0,1,"2",1,1,0,1,1,0,0
"1747","4",6,"right","Red",7,1,4,218,0,1,1,"2",1,1,0,0,1,0,0
"1749","4",6,"right","Red",9,1,4,203,0,1,1,"2",1,1,0,0,1,0,0
"1753","4",6,"right","Red",13,0,4,225,1,0,1,"1",1,1,1,1,0,0,0
"1760","4",6,"right","Red",20,1,4,229,0,1,1,"2",1,1,0,0,1,0,0
"1772","4",6,"right","Blue",12,0,4,243,1,1,0,"1",1,1,1,0,1,0,0
"1775","4",6,"right","Blue",15,0,4,226,1,0,1,"1",1,1,1,1,0,0,0
"1786","4",6,"right","Red",6,0,4,297,1,0,1,"1",1,1,1,1,0,0,0
"1788","4",6,"right","Red",8,1,4,203,0,0,1,"2",1,1,0,1,1,0,1
"1798","4",6,"right","Red",18,1,4,225,0,0,1,"2",1,1,0,1,1,0,0
"1801","4",6,"right","Blue",1,1,4,227,0,1,1,"2",1,1,0,0,1,0,NA
"1803","4",6,"right","Blue",3,0,4,320,1,0,1,"1",1,1,1,1,0,0,1
"1807","4",6,"right","Blue",7,1,4,202,0,0,1,"2",1,1,0,1,1,0,0
"1809","4",6,"right","Blue",9,1,4,210,0,1,1,"2",1,1,0,0,1,0,0
"1813","4",6,"right","Blue",13,1,4,249,0,0,1,"2",1,1,0,1,1,0,0
"1823","4",6,"right","Red",3,1,4,263,0,0,1,"2",1,1,0,1,1,0,0
"1825","4",6,"right","Red",5,1,4,280,0,0,1,"2",1,1,0,1,1,0,1
"1831","4",6,"right","Red",11,1,4,287,0,1,1,"2",1,1,0,0,1,0,0
"1835","4",6,"right","Red",15,1,4,232,0,1,1,"2",1,1,0,0,1,0,0
"1836","4",6,"right","Red",16,0,4,223,1,0,1,"1",1,1,1,1,0,0,0
"1849","4",6,"right","Blue",9,1,4,251,0,0,1,"2",1,1,0,1,1,0,0
"1852","4",6,"right","Blue",12,0,4,212,1,0,1,"1",1,1,1,1,0,0,0
"1863","4",6,"right","Red",3,0,4,264,1,0,1,"1",1,1,1,1,0,0,0
"1870","4",6,"right","Red",10,1,4,228,0,1,1,"2",1,1,0,0,1,0,0
"1873","4",6,"right","Red",13,1,4,243,0,1,1,"2",1,1,0,0,1,0,0
"1874","4",6,"right","Red",14,1,4,214,0,0,1,"2",1,1,0,1,1,0,0
"1877","4",6,"right","Red",17,1,4,237,0,1,1,"2",1,1,0,0,1,0,0
"1886","4",6,"right","Blue",6,0,4,261,1,0,1,"1",1,1,1,1,0,0,0
"1895","4",6,"right","Blue",15,1,4,352,0,1,1,"2",1,1,0,0,1,0,0
"1896","4",6,"right","Blue",16,0,4,190,1,1,0,"1",1,1,1,0,1,0,0
"1903","4",6,"right","Red",3,1,4,217,0,0,1,"2",1,1,0,1,1,0,0
"1906","4",6,"right","Red",6,1,4,238,0,1,1,"2",1,1,0,0,1,0,0
"1908","4",6,"right","Red",8,0,4,220,1,0,1,"1",1,1,1,1,0,0,0
"1912","4",6,"right","Red",12,1,4,223,0,1,1,"2",1,1,0,0,1,0,0
"1913","4",6,"right","Red",13,1,4,254,0,1,1,"2",1,1,0,0,1,0,0
"1915","4",6,"right","Red",15,1,4,218,0,1,1,"2",1,1,0,0,1,0,0
"1920","4",6,"right","Red",20,1,4,265,0,0,1,"2",1,1,0,1,1,0,0
"1925","5",6,"right","Red",5,0,4,206,1,0,1,"1",1,1,1,1,0,0,0
"1937","5",6,"right","Red",17,0,4,362,1,1,0,"1",1,1,1,0,1,0,0
"1964","5",6,"right","Red",4,0,4,223,1,1,0,"1",1,1,1,0,1,0,0
"2007","5",6,"right","Red",7,1,4,247,0,0,1,"2",1,1,0,1,1,0,0
"2024","5",6,"right","Blue",4,0,4,259,1,1,0,"1",1,1,1,0,1,0,0
"2057","5",6,"right","Red",17,0,4,383,1,1,0,"1",1,1,1,0,1,0,0
"2059","5",6,"right","Red",19,1,4,248,0,0,1,"2",1,1,0,1,1,0,0
"2151","5",6,"right","Blue",11,1,4,400,0,1,1,"2",1,1,0,0,1,0,1
"2152","5",6,"right","Blue",12,0,4,324,1,0,1,"1",1,1,1,1,0,0,0
"2153","5",6,"right","Blue",13,0,4,288,1,1,0,"1",1,1,1,0,1,0,0
"2154","5",6,"right","Blue",14,1,4,304,0,0,1,"2",1,1,0,1,1,0,0
"2195","5",5,"left","Blue",15,1,4,231,0,1,1,"2",1,1,0,0,1,0,0
"2226","5",5,"left","Blue",6,1,4,258,0,0,1,"2",1,1,0,1,1,0,0
"2227","5",5,"left","Blue",7,0,4,536,1,1,0,"1",1,1,1,0,1,0,0
"2249","5",5,"left","Red",9,0,4,258,1,0,1,"1",1,1,1,1,0,0,0
"2266","5",5,"left","Blue",6,0,4,243,1,0,1,"1",1,1,1,1,0,0,1
"2281","5",5,"left","Red",1,0,4,268,1,1,0,"1",1,1,1,0,1,0,NA
"2286","5",5,"left","Red",6,0,4,261,1,0,1,"1",1,1,1,1,0,0,0
"2342","5",5,"left","Blue",2,0,4,260,1,0,1,"1",1,1,1,1,0,0,0
"2352","5",5,"left","Blue",12,1,4,284,0,0,1,"2",1,1,0,1,1,0,0
"2377","5",5,"left","Red",17,0,4,255,1,0,1,"1",1,1,1,1,0,0,0
"2385","5",5,"left","Blue",5,1,4,233,0,0,1,"2",1,1,0,1,1,0,0
"2402","6",5,"left","Blue",2,1,4,215,0,0,1,"2",1,1,0,1,1,0,0
"2409","6",5,"left","Blue",9,1,4,456,0,1,1,"2",1,1,0,0,1,0,0
"2412","6",5,"left","Blue",12,1,4,288,0,1,1,"2",1,1,0,0,1,0,0
"2414","6",5,"left","Blue",14,1,4,286,0,0,1,"2",1,1,0,1,1,0,0
"2415","6",5,"left","Blue",15,0,4,247,1,0,1,"1",1,1,1,1,0,0,0
"2417","6",5,"left","Blue",17,0,4,365,1,1,0,"1",1,1,1,0,1,0,0
"2423","6",5,"left","Red",3,1,4,246,0,1,1,"2",1,1,0,0,1,0,0
"2424","6",5,"left","Red",4,1,4,271,0,1,1,"2",1,1,0,0,1,0,0
"2428","6",5,"left","Red",8,1,4,282,0,1,1,"2",1,1,0,0,1,0,0
"2431","6",5,"left","Red",11,1,4,336,0,0,1,"2",1,1,0,1,1,0,0
"2433","6",5,"left","Red",13,0,4,282,1,0,1,"1",1,1,1,1,0,0,0
"2434","6",5,"left","Red",14,1,4,299,0,0,1,"2",1,1,0,1,1,0,0
"2441","6",5,"left","Blue",1,1,4,387,0,0,1,"2",1,1,0,1,1,0,NA
"2442","6",5,"left","Blue",2,1,4,271,0,1,1,"2",1,1,0,0,1,0,0
"2449","6",5,"left","Blue",9,1,4,356,0,1,1,"2",1,1,0,0,1,0,0
"2450","6",5,"left","Blue",10,1,4,355,0,1,1,"2",1,1,0,0,1,0,0
"2453","6",5,"left","Blue",13,1,4,271,0,0,1,"2",1,1,0,1,1,0,0
"2454","6",5,"left","Blue",14,0,4,329,1,0,1,"1",1,1,1,1,0,0,0
"2455","6",5,"left","Blue",15,0,4,173,1,1,0,"1",1,1,1,0,1,0,0
"2457","6",5,"left","Blue",17,1,4,253,0,1,1,"2",1,1,0,0,1,0,0
"2463","6",5,"left","Red",3,0,4,263,1,0,1,"1",1,1,1,1,0,0,0
"2464","6",5,"left","Red",4,1,4,310,0,1,1,"2",1,1,0,0,1,0,0
"2467","6",5,"left","Red",7,1,4,275,0,1,1,"2",1,1,0,0,1,0,0
"2468","6",5,"left","Red",8,1,4,266,0,0,1,"2",1,1,0,1,1,0,0
"2470","6",5,"left","Red",10,1,4,271,0,0,1,"2",1,1,0,1,1,0,0
"2472","6",5,"left","Red",12,1,4,256,0,1,1,"2",1,1,0,0,1,0,0
"2474","6",5,"left","Red",14,1,4,289,0,1,1,"2",1,1,0,0,1,0,0
"2475","6",5,"left","Red",15,0,4,391,1,1,0,"1",1,1,1,0,1,0,0
"2481","6",5,"left","Blue",1,1,4,424,0,1,1,"2",1,1,0,0,1,0,NA
"2484","6",5,"left","Blue",4,0,4,261,1,1,0,"1",1,1,1,0,1,0,0
"2487","6",5,"left","Blue",7,1,4,293,0,1,1,"2",1,1,0,0,1,0,0
"2489","6",5,"left","Blue",9,1,4,228,0,1,1,"2",1,1,0,0,1,0,0
"2491","6",5,"left","Blue",11,1,4,382,0,1,1,"2",1,1,0,0,1,0,0
"2493","6",5,"left","Blue",13,0,4,276,1,0,1,"1",1,1,1,1,0,0,0
"2495","6",5,"left","Blue",15,1,4,263,0,0,1,"2",1,1,0,1,1,0,0
"2500","6",5,"left","Blue",20,1,4,367,0,0,1,"2",1,1,0,1,1,0,0
"2508","6",5,"left","Red",8,1,4,199,0,0,1,"2",1,1,0,1,1,0,0
"2509","6",5,"left","Red",9,1,4,221,0,1,1,"2",1,1,0,0,1,0,0
"2510","6",5,"left","Red",10,0,4,328,1,1,0,"1",1,1,1,0,1,0,0
"2514","6",5,"left","Red",14,1,4,242,0,1,1,"2",1,1,0,0,1,0,0
"2515","6",5,"left","Red",15,1,4,419,0,1,1,"2",1,1,0,0,1,0,0
"2520","6",5,"left","Red",20,1,4,192,0,1,1,"2",1,1,0,0,1,0,0
"2521","6",5,"left","Blue",1,1,4,396,0,1,1,"2",1,1,0,0,1,0,NA
"2523","6",5,"left","Blue",3,0,4,262,1,0,1,"1",1,1,1,1,0,0,0
"2524","6",5,"left","Blue",4,1,4,276,0,1,1,"2",1,1,0,0,1,0,0
"2525","6",5,"left","Blue",5,1,4,192,0,1,1,"2",1,1,0,0,1,0,0
"2529","6",5,"left","Blue",9,1,4,173,0,1,1,"2",1,1,0,0,1,0,0
"2530","6",5,"left","Blue",10,0,4,187,1,1,0,"1",1,1,1,0,1,0,0
