S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
29E   	6   	17   	  950 	below 	green 	green 	Good 	0.363 	0.093 	10.441 	
29E   	6   	18   	  50 	above 	green 	red 	Good 	0.522 	0.080 	9.853 	
29E   	6   	19   	  950 	below 	red 	green 	Good 	0.379 	0.089 	9.265 	
29E   	6   	20   	  350 	below 	red 	green 	Good 	0.543 	0.100 	10.588 	
29E   	6   	21   	  650 	above 	red 	red 	Good 	0.400 	0.088 	9.853 	
29E   	6   	22   	  350 	below 	green 	green 	Good 	0.437 	0.088 	10.294 	
29E   	6   	23   	  650 	below 	red 	green 	Good 	0.461 	0.093 	10.147 	
29E   	6   	24   	  950 	above 	red 	red 	Good 	0.389 	0.075 	8.824 	
29E   	6   	25   	  50 	above 	red 	green 	Good 	0.533 	0.102 	8.088 	
29E   	6   	26   	  350 	above 	red 	green 	Good 	0.509 	0.093 	10.441 	
29E   	6   	27   	  50 	below 	red 	red 	Good 	0.479 	0.102 	11.029 	
29E   	6   	28   	  950 	above 	green 	red 	Good 	0.333 	0.116 	10.441 	
29E   	6   	29   	  50 	below 	green 	green 	Good 	0.558 	0.092 	10.147 	
29E   	6   	30   	  950 	below 	green 	red 	Good 	0.441 	0.112 	9.559 	
29E   	6   	31   	  50 	below 	green 	red 	Good 	0.421 	0.109 	10.735 	
29E   	6   	32   	  350 	below 	red 	red 	Good 	0.381 	0.119 	11.324 	
29E   	7   	1   	  950 	below 	red 	green 	Good 	0.323 	0.101 	12.794 	
29E   	7   	2   	  50 	below 	green 	green 	Good 	0.324 	0.104 	14.559 	
29E   	7   	3   	  650 	below 	red 	green 	Good 	0.348 	0.092 	11.176 	
29E   	7   	4   	  50 	above 	green 	red 	Good 	0.432 	0.112 	12.206 	
29E   	7   	5   	  950 	below 	red 	red 	Good 	0.473 	0.123 	10.735 	
29E   	7   	6   	  350 	above 	red 	red 	Good 	0.304 	0.088 	9.559 	
29E   	7   	7   	  350 	below 	red 	green 	Good 	0.311 	0.098 	10.588 	
29E   	7   	8   	  650 	above 	green 	green 	Good 	0.291 	0.088 	10.588 	
29E   	7   	9   	  350 	above 	green 	red 	Good 	0.391 	0.072 	9.559 	
29E   	7   	10   	  350 	below 	red 	red 	Good 	0.374 	0.077 	9.265 	
29E   	7   	11   	  950 	above 	green 	green 	Good 	0.371 	0.101 	11.618 	
29E   	7   	12   	  50 	above 	red 	green 	Good 	0.699 	0.112 	11.324 	
29E   	7   	13   	  650 	above 	red 	green 	Good 	0.379 	0.089 	7.206 	
29E   	7   	16   	  950 	above 	red 	green 	Good 	0.341 	0.090 	9.412 	
29E   	7   	17   	  950 	below 	green 	green 	Good 	0.301 	0.082 	8.529 	
29E   	7   	18   	  950 	below 	green 	red 	Good 	0.333 	0.065 	7.059 	
29E   	7   	19   	  950 	above 	red 	red 	Good 	0.399 	0.076 	7.353 	
29E   	7   	20   	  350 	above 	green 	green 	Good 	0.314 	0.105 	10.735 	
29E   	7   	21   	  650 	above 	green 	red 	Good 	0.347 	0.081 	8.529 	
29E   	7   	22   	  950 	above 	green 	red 	Good 	0.396 	0.080 	9.559 	
29E   	7   	23   	  50 	below 	red 	red 	Good 	0.460 	0.070 	8.382 	
29E   	7   	24   	  650 	below 	green 	red 	Good 	0.323 	0.075 	8.235 	
29E   	7   	26   	  350 	below 	green 	green 	Good 	0.429 	0.093 	9.412 	
29E   	7   	27   	  350 	above 	red 	green 	Good 	0.483 	0.096 	10.000 	
