S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
30E   	2   	1   	  650 	below 	red 	red 	Good 	0.547 	0.080 	8.971 	
30E   	2   	24   	  950 	above 	red 	red 	Good 	0.388 	0.073 	8.529 	
30E   	2   	25   	  950 	below 	red 	green 	Good 	0.280 	0.107 	11.618 	
30E   	2   	26   	  650 	above 	green 	red 	Good 	0.310 	0.082 	8.824 	
30E   	2   	27   	  650 	above 	red 	green 	Good 	0.235 	0.107 	11.176 	
30E   	2   	28   	  50 	below 	red 	green 	Good 	0.708 	0.100 	10.000 	
30E   	2   	29   	  50 	above 	green 	green 	Good 	0.380 	0.115 	10.147 	
30E   	2   	30   	  350 	below 	red 	red 	Good 	0.401 	0.081 	9.706 	
30E   	2   	31   	  350 	above 	red 	red 	Good 	0.406 	0.082 	8.824 	
30E   	2   	32   	  950 	below 	green 	red 	Good 	0.412 	0.079 	9.706 	
30E   	3   	1   	  650 	above 	red 	green 	Good 	0.324 	0.108 	10.000 	
30E   	3   	2   	  50 	below 	red 	red 	Good 	0.496 	0.081 	10.000 	
30E   	3   	3   	  350 	below 	green 	green 	Good 	0.296 	0.105 	11.029 	
30E   	3   	4   	  350 	above 	green 	green 	Good 	0.305 	0.107 	10.000 	
30E   	3   	5   	  650 	above 	green 	red 	Good 	0.352 	0.076 	9.706 	
30E   	3   	6   	  950 	below 	red 	red 	Good 	0.659 	0.079 	7.353 	
30E   	3   	7   	  50 	above 	green 	red 	Good 	0.570 	0.092 	10.882 	
30E   	3   	8   	  950 	below 	red 	green 	Good 	0.311 	0.106 	11.618 	
30E   	3   	9   	  950 	above 	red 	green 	Good 	0.316 	0.101 	8.529 	
30E   	3   	10   	  350 	above 	red 	red 	Good 	0.418 	0.085 	9.265 	
30E   	3   	11   	  50 	above 	red 	red 	Good 	0.387 	0.077 	7.941 	
30E   	3   	12   	  650 	above 	green 	green 	Good 	0.316 	0.106 	10.735 	
30E   	3   	13   	  350 	above 	red 	green 	Good 	0.941 	0.082 	8.088 	
30E   	3   	14   	  950 	below 	green 	green 	Good 	0.291 	0.104 	11.176 	
30E   	3   	15   	  50 	above 	green 	green 	Good 	0.404 	0.102 	8.529 	
30E   	3   	16   	  50 	below 	red 	green 	Good 	0.650 	0.111 	8.824 	
30E   	3   	17   	  650 	above 	red 	red 	Good 	0.543 	0.096 	9.559 	
30E   	3   	18   	  50 	below 	green 	red 	Good 	0.627 	0.088 	10.000 	
30E   	3   	19   	  950 	below 	green 	red 	Good 	0.382 	0.079 	9.265 	
30E   	3   	20   	  950 	above 	red 	red 	Good 	0.479 	0.069 	8.971 	
30E   	3   	21   	  650 	below 	red 	green 	Good 	0.410 	0.099 	8.235 	
30E   	3   	22   	  650 	below 	green 	green 	Good 	0.331 	0.108 	10.735 	
30E   	3   	23   	  50 	above 	red 	green 	Good 	0.398 	0.098 	8.824 	
30E   	3   	24   	  350 	above 	green 	red 	Good 	0.402 	0.082 	10.000 	
30E   	3   	25   	  350 	below 	red 	red 	Good 	0.432 	0.080 	9.118 	
30E   	3   	26   	  350 	below 	red 	green 	Good 	0.405 	0.098 	9.706 	
30E   	3   	27   	  50 	below 	green 	green 	Good 	0.672 	0.097 	10.735 	
30E   	3   	28   	  650 	below 	red 	red 	Good 	1.558 	0.096 	12.206 	
30E   	3   	29   	  350 	below 	green 	red 	Good 	0.507 	0.085 	11.618 	
30E   	3   	30   	  950 	above 	green 	red 	Good 	0.323 	0.080 	10.147 	
30E   	3   	31   	  950 	above 	green 	green 	Good 	0.352 	0.092 	6.029 	
30E   	3   	32   	  650 	below 	green 	red 	Good 	0.392 	0.083 	11.912 	
30E   	4   	1   	  650 	above 	red 	green 	Good 	0.315 	0.099 	11.618 	
30E   	4   	2   	  50 	above 	red 	green 	Good 	0.385 	0.127 	12.500 	
30E   	4   	3   	  950 	above 	red 	red 	Good 	0.383 	0.081 	9.559 	
30E   	4   	4   	  650 	below 	red 	red 	Good 	0.433 	0.080 	10.588 	
30E   	4   	5   	  350 	above 	green 	red 	Good 	0.489 	0.072 	11.029 	
30E   	4   	6   	  950 	above 	green 	red 	Good 	0.382 	0.074 	10.294 	
30E   	4   	7   	  50 	above 	green 	green 	Good 	0.334 	0.109 	13.824 	
30E   	4   	8   	  350 	above 	red 	green 	Good 	0.302 	0.115 	12.353 	
30E   	4   	9   	  650 	above 	green 	green 	Good 	0.347 	0.104 	9.265 	
