S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
22E   	7   	28   	  350 	above 	green 	green 	Good 	0.308 	0.086 	10.882 	
22E   	7   	29   	  350 	below 	green 	red 	Good 	0.553 	0.114 	9.853 	
22E   	7   	30   	  650 	above 	red 	red 	Good 	0.379 	0.089 	12.206 	
22E   	7   	31   	  650 	above 	green 	green 	Good 	0.382 	0.086 	10.147 	
22E   	7   	32   	  950 	below 	green 	green 	Good 	0.502 	0.080 	11.029 	
22E   	8   	1   	  650 	above 	red 	green 	Good 	0.275 	0.088 	13.971 	
22E   	8   	2   	  50 	below 	green 	green 	Good 	0.425 	0.081 	13.088 	
22E   	8   	3   	  650 	below 	red 	green 	Good 	0.329 	0.088 	10.588 	
22E   	8   	4   	  950 	above 	green 	green 	Good 	0.352 	0.083 	9.559 	
22E   	8   	5   	  650 	above 	green 	green 	Good 	0.404 	0.086 	10.000 	
22E   	8   	6   	  50 	above 	red 	green 	Good 	0.560 	0.084 	11.029 	
22E   	8   	7   	  650 	above 	green 	red 	Good 	0.305 	0.108 	14.559 	
22E   	8   	8   	  650 	below 	green 	red 	Good 	0.433 	0.113 	11.912 	
22E   	8   	10   	  650 	above 	red 	red 	Good 	0.369 	0.103 	10.882 	
22E   	8   	12   	  350 	below 	red 	green 	Good 	0.532 	0.082 	10.147 	
22E   	8   	13   	  650 	below 	red 	red 	Good 	0.295 	0.103 	8.824 	
22E   	8   	14   	  950 	below 	green 	green 	Good 	0.383 	0.069 	10.735 	
22E   	8   	15   	  350 	below 	green 	green 	Good 	0.399 	0.087 	11.029 	
22E   	8   	16   	  950 	above 	red 	green 	Good 	0.440 	0.074 	8.382 	
22E   	8   	17   	  50 	below 	green 	red 	Good 	0.576 	0.112 	10.294 	
22E   	8   	18   	  50 	above 	red 	red 	Good 	0.668 	0.106 	9.706 	
22E   	8   	19   	  950 	below 	red 	green 	Good 	0.384 	0.071 	9.853 	
22E   	8   	20   	  350 	above 	green 	red 	Good 	0.501 	0.115 	8.824 	
22E   	8   	21   	  350 	above 	red 	green 	Good 	0.378 	0.088 	9.706 	
22E   	8   	23   	  350 	above 	red 	red 	Good 	0.616 	0.111 	11.471 	
22E   	8   	24   	  950 	below 	green 	red 	Good 	0.435 	0.109 	11.471 	
22E   	8   	25   	  350 	below 	red 	red 	Good 	0.472 	0.091 	13.529 	
22E   	8   	26   	  950 	above 	green 	red 	Good 	0.534 	0.121 	12.647 	
22E   	8   	27   	  950 	above 	red 	red 	Good 	0.428 	0.115 	13.088 	
22E   	8   	28   	  50 	below 	red 	red 	Good 	0.539 	0.122 	10.441 	
22E   	8   	29   	  650 	below 	green 	green 	Good 	0.344 	0.075 	9.412 	
22E   	8   	30   	  350 	above 	green 	green 	Good 	0.467 	0.075 	9.118 	
22E   	8   	31   	  350 	below 	green 	red 	Good 	0.359 	0.085 	5.735 	
22E   	8   	32   	  950 	below 	red 	red 	Good 	0.393 	0.110 	9.853 	
22E   	9   	1   	  50 	above 	red 	green 	Good 	0.581 	0.087 	13.088 	
22E   	9   	2   	  350 	below 	red 	green 	Good 	0.428 	0.071 	15.441 	
