S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
34e   	5   	22   	  50 	below 	red 	green 	Good 	0.561 	0.171 	11.765 	
34e   	5   	23   	  350 	below 	green 	red 	Good 	0.362 	0.080 	11.029 	
34e   	5   	24   	  650 	above 	red 	green 	Good 	0.346 	0.149 	10.588 	
34e   	5   	25   	  650 	below 	red 	green 	Good 	0.392 	0.121 	9.853 	
34e   	5   	26   	  650 	above 	green 	red 	Good 	0.355 	0.072 	12.206 	
34e   	5   	27   	  350 	below 	red 	green 	Good 	0.508 	0.125 	11.324 	
34e   	5   	28   	  950 	below 	green 	red 	Good 	0.319 	0.066 	9.118 	
34e   	5   	29   	  350 	above 	red 	green 	Good 	0.398 	0.145 	12.941 	
34e   	5   	30   	  950 	above 	red 	red 	Good 	0.293 	0.064 	12.794 	
34e   	5   	31   	  50 	below 	green 	green 	Good 	0.609 	0.127 	12.353 	
34e   	5   	32   	  350 	above 	green 	red 	Good 	0.379 	0.073 	10.294 	
34e   	6   	1   	  50 	below 	red 	green 	Good 	0.593 	0.165 	14.265 	
34e   	6   	2   	  350 	below 	red 	green 	Good 	0.614 	0.120 	12.059 	
34e   	6   	3   	  650 	below 	green 	red 	Good 	0.347 	0.074 	12.647 	
34e   	6   	4   	  650 	below 	red 	green 	Good 	0.344 	0.132 	13.088 	
34e   	6   	5   	  950 	above 	green 	green 	Good 	0.381 	0.137 	6.324 	
34e   	6   	6   	  350 	above 	red 	green 	Good 	0.479 	0.143 	11.324 	
34e   	6   	7   	  950 	above 	green 	red 	Good 	0.303 	0.073 	11.765 	
34e   	6   	8   	  50 	above 	red 	red 	Good 	0.392 	0.076 	12.794 	
34e   	6   	9   	  50 	above 	green 	green 	Good 	0.519 	0.152 	10.588 	
34e   	6   	11   	  950 	below 	red 	red 	Good 	0.366 	0.089 	12.206 	
34e   	6   	12   	  350 	below 	green 	red 	Good 	0.342 	0.089 	11.912 	
34e   	6   	13   	  650 	above 	green 	green 	Good 	0.359 	0.126 	9.559 	
34e   	6   	14   	  350 	above 	red 	red 	Good 	0.414 	0.081 	13.235 	
34e   	6   	15   	  350 	above 	green 	green 	Good 	0.526 	0.167 	11.618 	
34e   	6   	16   	  50 	below 	green 	red 	Good 	0.499 	0.084 	13.529 	
34e   	6   	17   	  950 	above 	red 	green 	Good 	0.556 	0.131 	10.588 	
34e   	6   	18   	  650 	below 	red 	red 	Good 	0.304 	0.075 	11.471 	
34e   	6   	19   	  350 	below 	red 	red 	Good 	0.312 	0.085 	12.059 	
34e   	6   	20   	  950 	above 	red 	red 	Good 	0.349 	0.073 	13.676 	
34e   	6   	21   	  350 	below 	green 	green 	Good 	0.378 	0.134 	9.853 	
34e   	6   	22   	  650 	above 	red 	green 	Good 	0.337 	0.121 	9.118 	
34e   	6   	23   	  50 	below 	red 	red 	Good 	0.492 	0.078 	15.294 	
34e   	6   	24   	  650 	above 	green 	red 	Good 	0.305 	0.075 	12.941 	
34e   	6   	25   	  950 	below 	green 	red 	Good 	0.352 	0.085 	15.441 	
34e   	6   	26   	  350 	above 	green 	red 	Good 	0.407 	0.083 	13.382 	
34e   	6   	27   	  950 	below 	red 	green 	Good 	0.369 	0.103 	5.735 	
34e   	6   	28   	  650 	below 	green 	green 	Good 	0.555 	0.118 	7.794 	
34e   	6   	29   	  50 	above 	green 	red 	Good 	0.519 	0.083 	11.912 	
34e   	6   	30   	  50 	below 	green 	green 	Good 	0.552 	0.113 	7.206 	
34e   	6   	31   	  950 	below 	green 	green 	Good 	0.377 	0.115 	6.912 	
34e   	6   	32   	  650 	above 	red 	red 	Good 	0.309 	0.074 	12.794 	
34e   	7   	1   	  350 	above 	green 	red 	Good 	0.509 	0.071 	8.971 	
34e   	7   	2   	  650 	above 	red 	red 	Good 	0.289 	0.073 	13.676 	
34e   	7   	3   	  50 	above 	green 	red 	Good 	0.573 	0.078 	12.059 	
34e   	7   	4   	  650 	below 	green 	red 	Good 	0.377 	0.076 	12.206 	
34e   	7   	5   	  950 	below 	red 	red 	Good 	0.316 	0.073 	12.794 	
34e   	7   	6   	  50 	above 	red 	green 	Good 	0.604 	0.142 	11.471 	
34e   	7   	7   	  50 	below 	green 	red 	Good 	0.463 	0.081 	10.588 	
34e   	7   	8   	  950 	below 	red 	green 	Good 	0.364 	0.118 	9.412 	
34e   	7   	9   	  950 	above 	green 	green 	Good 	0.315 	0.136 	9.265 	
34e   	7   	10   	  50 	below 	red 	red 	Good 	0.413 	0.077 	10.441 	
34e   	7   	11   	  650 	above 	green 	green 	Good 	0.371 	0.116 	10.294 	
