S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
26E   	5   	7   	  950 	above 	green 	green 	Good 	0.352 	0.083 	8.382 	
26E   	5   	8   	  650 	below 	green 	green 	Good 	0.537 	0.087 	10.588 	
26E   	5   	9   	  350 	above 	red 	red 	Good 	0.429 	0.102 	10.294 	
26E   	5   	10   	  950 	below 	red 	green 	Good 	0.599 	0.089 	10.441 	
26E   	5   	11   	  950 	above 	red 	green 	Good 	0.776 	0.093 	9.559 	
26E   	5   	12   	  350 	above 	green 	green 	Good 	0.653 	0.098 	11.324 	
26E   	5   	13   	  950 	below 	green 	green 	Good 	0.499 	0.098 	11.471 	
26E   	5   	14   	  350 	below 	green 	red 	Good 	0.476 	0.096 	10.735 	
26E   	5   	15   	  950 	below 	green 	red 	Good 	0.635 	0.106 	9.706 	
26E   	5   	16   	  650 	below 	red 	red 	Good 	0.937 	0.102 	9.853 	
26E   	5   	17   	  650 	below 	green 	red 	Good 	0.531 	0.102 	9.559 	
26E   	5   	18   	  50 	above 	red 	red 	Good 	0.913 	0.105 	9.853 	
26E   	5   	20   	  650 	above 	green 	red 	Good 	0.400 	0.103 	9.118 	
26E   	5   	21   	  50 	above 	green 	red 	Good 	0.616 	0.098 	9.412 	
26E   	5   	22   	  350 	above 	green 	red 	Good 	0.537 	0.105 	10.294 	
26E   	5   	23   	  350 	below 	green 	green 	Good 	0.493 	0.099 	11.471 	
26E   	5   	24   	  650 	below 	red 	green 	Good 	0.573 	0.091 	10.735 	
26E   	5   	25   	  350 	above 	red 	green 	Good 	0.551 	0.086 	10.294 	
26E   	5   	26   	  950 	below 	red 	red 	Good 	0.472 	0.101 	10.588 	
26E   	5   	27   	  350 	below 	red 	green 	Good 	0.524 	0.096 	10.882 	
26E   	5   	28   	  50 	below 	red 	green 	Good 	0.702 	0.092 	10.588 	
26E   	5   	29   	  50 	below 	green 	red 	Good 	0.605 	0.097 	9.559 	
26E   	5   	30   	  650 	above 	red 	green 	Good 	0.450 	0.088 	10.882 	
26E   	5   	31   	  650 	above 	green 	green 	Good 	0.463 	0.094 	12.647 	
26E   	5   	32   	  50 	above 	green 	green 	Good 	0.631 	0.084 	12.647 	
26E   	6   	1   	  50 	below 	red 	red 	Good 	0.603 	0.099 	11.029 	
26E   	6   	2   	  950 	above 	green 	green 	Good 	0.568 	0.096 	12.647 	
26E   	6   	3   	  50 	below 	green 	red 	Good 	0.547 	0.096 	10.000 	
26E   	6   	4   	  350 	below 	green 	green 	Good 	0.743 	0.089 	11.618 	
26E   	6   	5   	  650 	below 	green 	red 	Good 	0.476 	0.091 	10.882 	
26E   	6   	6   	  650 	below 	red 	green 	Good 	0.554 	0.105 	12.206 	
26E   	6   	7   	  650 	above 	red 	green 	Good 	0.526 	0.096 	12.500 	
26E   	6   	8   	  950 	below 	green 	green 	Good 	0.571 	0.097 	12.500 	
26E   	6   	9   	  350 	above 	green 	green 	Good 	0.565 	0.087 	13.088 	
26E   	6   	10   	  50 	above 	red 	red 	Good 	0.569 	0.095 	9.118 	
26E   	6   	11   	  950 	below 	red 	red 	Good 	0.484 	0.092 	10.147 	
26E   	6   	12   	  950 	below 	red 	green 	Good 	0.658 	0.097 	11.912 	
26E   	6   	13   	  50 	below 	green 	green 	Good 	0.561 	0.101 	9.559 	
26E   	6   	14   	  50 	below 	red 	green 	Good 	0.497 	0.110 	12.059 	
26E   	6   	15   	  650 	above 	red 	red 	Good 	0.749 	0.095 	9.412 	
26E   	6   	16   	  50 	above 	green 	green 	Good 	0.610 	0.091 	9.265 	
26E   	6   	17   	  350 	above 	green 	red 	Good 	0.494 	0.103 	11.471 	
26E   	6   	18   	  650 	below 	green 	green 	Good 	0.763 	0.095 	10.000 	
26E   	6   	19   	  50 	above 	red 	green 	Good 	0.715 	0.099 	14.118 	
26E   	6   	20   	  650 	above 	green 	green 	Good 	0.480 	0.101 	11.176 	
26E   	6   	21   	  350 	below 	red 	red 	Good 	0.543 	0.094 	9.412 	
26E   	6   	23   	  350 	above 	red 	green 	Good 	0.488 	0.115 	5.882 	
26E   	6   	24   	  350 	below 	red 	green 	Good 	0.588 	0.098 	11.324 	
26E   	6   	25   	  650 	below 	red 	red 	Good 	0.964 	0.115 	9.559 	
26E   	6   	26   	  950 	above 	red 	red 	Good 	0.516 	0.110 	10.147 	
26E   	6   	27   	  650 	above 	green 	red 	Good 	0.473 	0.087 	9.118 	
26E   	6   	28   	  50 	above 	green 	red 	Good 	0.610 	0.092 	8.824 	
26E   	6   	29   	  950 	above 	red 	green 	Good 	0.428 	0.079 	10.147 	
26E   	6   	30   	  950 	above 	green 	red 	Good 	0.416 	0.095 	9.118 	
26E   	6   	31   	  350 	below 	green 	red 	Good 	0.543 	0.098 	9.706 	
26E   	6   	32   	  350 	above 	red 	red 	Good 	0.481 	0.097 	9.265 	
26E   	7   	1   	  650 	above 	green 	green 	Good 	0.524 	0.085 	9.412 	
26E   	7   	2   	  950 	above 	green 	red 	Good 	0.408 	0.121 	12.059 	
26E   	7   	3   	  350 	above 	green 	green 	Good 	0.486 	0.080 	7.941 	
26E   	7   	4   	  950 	below 	green 	green 	Good 	0.471 	0.073 	8.824 	
26E   	7   	5   	  350 	below 	red 	red 	Good 	0.465 	0.113 	9.853 	
26E   	7   	6   	  950 	above 	red 	green 	Good 	0.562 	0.082 	9.412 	
26E   	7   	7   	  50 	above 	red 	red 	Good 	0.745 	0.102 	11.324 	
26E   	7   	8   	  350 	above 	red 	red 	Good 	0.584 	0.098 	10.000 	
26E   	7   	9   	  650 	above 	red 	red 	Good 	0.455 	0.118 	11.176 	
26E   	7   	10   	  650 	above 	red 	green 	Good 	0.555 	0.085 	9.706 	
26E   	7   	11   	  650 	above 	green 	red 	Good 	0.768 	0.101 	10.882 	
26E   	7   	12   	  950 	below 	red 	red 	Good 	0.427 	0.116 	10.441 	
26E   	7   	13   	  950 	above 	red 	red 	Good 	0.589 	0.104 	11.765 	
26E   	7   	14   	  50 	below 	green 	green 	Good 	0.606 	0.104 	10.000 	
