"","idv","iv","iv2","exp","dv"
"316",2,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"317",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"318",2,0,1,"Stein & van Peelen_2020_3_LOC_1",0
"319",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"320",2,1,1,"Stein & van Peelen_2020_3_LOC_1",0
"321",2,0,1,"Stein & van Peelen_2020_3_LOC_1",0
"322",2,0,0,"Stein & van Peelen_2020_3_LOC_1",0
"323",2,1,0,"Stein & van Peelen_2020_3_LOC_1",0
"324",2,1,1,"Stein & van Peelen_2020_3_LOC_2",0
"325",2,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"326",2,1,1,"Stein & van Peelen_2020_3_LOC_2",0
"327",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"328",2,0,1,"Stein & van Peelen_2020_3_LOC_1",0
"329",2,1,1,"Stein & van Peelen_2020_3_LOC_1",0
"330",2,1,1,"Stein & van Peelen_2020_3_LOC_2",0
"331",2,1,1,"Stein & van Peelen_2020_3_LOC_2",0
"332",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"333",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"334",2,1,0,"Stein & van Peelen_2020_3_LOC_1",0
"335",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"336",2,1,1,"Stein & van Peelen_2020_3_LOC_2",0
"337",2,0,1,"Stein & van Peelen_2020_3_LOC_1",0
"338",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"339",2,0,0,"Stein & van Peelen_2020_3_LOC_2",0
"340",2,1,1,"Stein & van Peelen_2020_3_LOC_1",0
"341",2,1,0,"Stein & van Peelen_2020_3_LOC_1",0
"342",2,0,0,"Stein & van Peelen_2020_3_LOC_1",0
"343",2,1,1,"Stein & van Peelen_2020_3_LOC_1",0
"344",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"345",2,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"346",2,1,1,"Stein & van Peelen_2020_3_LOC_2",0
"347",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"348",2,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"349",2,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"350",2,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"351",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"352",2,0,0,"Stein & van Peelen_2020_3_LOC_2",0
"353",2,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"354",2,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"355",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"356",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"357",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"358",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"359",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"360",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"361",2,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"362",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"363",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"364",2,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"365",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"366",2,1,1,"Stein & van Peelen_2020_3_LOC_2",0
"367",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"368",2,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"369",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"370",2,1,1,"Stein & van Peelen_2020_3_LOC_1",0
"371",2,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"372",2,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"373",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"374",2,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"375",2,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"376",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"377",2,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"378",2,1,1,"Stein & van Peelen_2020_3_LOC_2",0
"379",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"380",2,0,1,"Stein & van Peelen_2020_3_LOC_2",0
"381",2,0,1,"Stein & van Peelen_2020_3_LOC_1",0
"382",2,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"383",2,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"384",2,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"385",2,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"386",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"387",2,0,0,"Stein & van Peelen_2020_3_LOC_2",0
"388",2,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"389",2,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"390",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"391",2,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"392",2,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"393",2,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"394",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"395",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"396",2,1,0,"Stein & van Peelen_2020_3_LOC_1",0
"397",2,0,0,"Stein & van Peelen_2020_3_LOC_2",0
"398",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"399",2,0,1,"Stein & van Peelen_2020_3_LOC_2",0
"400",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"401",2,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"402",2,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"403",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"404",2,0,0,"Stein & van Peelen_2020_3_LOC_2",0
"405",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"406",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"407",2,1,1,"Stein & van Peelen_2020_3_LOC_1",0
"408",2,1,1,"Stein & van Peelen_2020_3_LOC_1",0
"409",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"410",2,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"411",2,1,1,"Stein & van Peelen_2020_3_LOC_1",0
"412",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"413",2,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"414",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"415",2,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"416",2,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"417",2,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"418",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"419",2,1,0,"Stein & van Peelen_2020_3_LOC_1",0
"420",2,1,1,"Stein & van Peelen_2020_3_LOC_1",0
"421",2,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"422",2,0,1,"Stein & van Peelen_2020_3_LOC_1",0
