"","no.","idv","word","scene","condition","acc","dv","visibility","exp","iv"
"11255",24,"s24",6,5,1,1,1.215373222,2,"2C",1
"11256",24,"s24",1,12,2,1,0.703452114,2,"2C",0
"11257",24,"s24",11,16,3,1,0.801933278,2,"2C",1
"11258",24,"s24",3,3,1,1,0.755013822,2,"2C",1
"11259",24,"s24",12,7,4,1,0.764967529,2,"2C",0
"11260",24,"s24",2,8,1,1,0.788606153,2,"2C",1
"11261",24,"s24",2,12,2,1,0.717562284,2,"2C",0
"11262",24,"s24",2,10,1,1,0.580885389,2,"2C",1
"11263",24,"s24",6,19,2,1,0.543223333,2,"2C",0
"11264",24,"s24",3,8,1,1,0.757274112,2,"2C",1
"11265",24,"s24",11,5,4,1,0.615011696,2,"2C",0
"11266",24,"s24",10,9,4,1,0.599795625,2,"2C",0
"11267",24,"s24",9,10,4,1,0.586462175,2,"2C",0
"11268",24,"s24",5,15,2,1,1.320866855,2,"2C",0
"11269",24,"s24",8,16,3,1,0.605787727,2,"2C",1
"11270",24,"s24",9,4,4,1,0.608715713,2,"2C",0
"11271",24,"s24",6,17,2,1,0.570793746,2,"2C",0
"11272",24,"s24",5,6,1,1,0.578370007,2,"2C",1
"11273",24,"s24",4,4,1,1,0.573598252,2,"2C",1
"11274",24,"s24",5,19,2,1,0.891639519,2,"2C",0
"11275",24,"s24",5,5,1,1,0.658369501,2,"2C",1
"11276",24,"s24",7,5,4,1,0.514789462,2,"2C",0
"11277",24,"s24",2,17,2,1,0.698483392,2,"2C",0
"11278",24,"s24",8,12,3,1,0.730099739,2,"2C",1
"11279",24,"s24",11,1,4,1,0.601989657,2,"2C",0
"11280",24,"s24",10,8,4,1,1.316341156,2,"2C",0
"11281",24,"s24",6,7,1,1,1.033088471,2,"2C",1
"11282",24,"s24",8,4,4,1,0.709854712,2,"2C",0
"11283",24,"s24",3,9,1,1,0.579282857,2,"2C",1
"11284",24,"s24",7,14,3,1,0.712088499,2,"2C",1
"11285",24,"s24",4,10,1,1,0.914950769,2,"2C",1
"11286",24,"s24",4,3,1,1,0.566106016,2,"2C",1
"11287",24,"s24",8,11,3,1,0.61810382,2,"2C",1
"11288",24,"s24",2,20,2,1,0.929926204,2,"2C",0
"11289",24,"s24",7,3,4,1,0.574397259,2,"2C",0
"11290",24,"s24",6,6,1,1,0.823768489,2,"2C",1
"11291",24,"s24",1,17,2,1,0.56064759,2,"2C",0
"11292",24,"s24",11,15,3,1,0.73698421,2,"2C",1
"11293",24,"s24",12,4,4,1,0.672442326,2,"2C",0
"11294",24,"s24",1,15,2,1,0.730051853,2,"2C",0
"11295",24,"s24",12,9,4,1,0.659543768,2,"2C",0
"11296",24,"s24",4,9,1,1,0.533155783,2,"2C",1
"11297",24,"s24",6,13,2,1,0.727211206,2,"2C",0
"11298",24,"s24",10,15,3,1,0.861775988,2,"2C",1
"11299",24,"s24",1,11,2,1,0.948074778,2,"2C",0
"11300",24,"s24",4,2,1,1,0.671295166,2,"2C",1
"11301",24,"s24",3,6,1,1,0.580726672,2,"2C",1
"11302",24,"s24",4,12,2,1,0.600530483,2,"2C",0
"11303",24,"s24",9,11,3,1,0.696284843,2,"2C",1
"11304",24,"s24",12,1,4,1,0.72782168,2,"2C",0
"11305",24,"s24",7,15,3,1,0.714275302,2,"2C",1
"11306",24,"s24",3,7,1,1,0.788317631,2,"2C",1
"11307",24,"s24",4,11,2,1,0.832520221,2,"2C",0
"11308",24,"s24",10,10,4,1,0.536911688,2,"2C",0
"11309",24,"s24",11,9,4,1,0.829965688,2,"2C",0
"11310",24,"s24",11,4,4,1,0.795632476,2,"2C",0
"11311",24,"s24",6,1,1,1,0.680364333,2,"2C",1
"11312",24,"s24",8,15,3,1,0.747511046,2,"2C",1
"11313",24,"s24",4,6,1,1,0.781439183,2,"2C",1
"11314",24,"s24",9,20,3,1,0.806568603,2,"2C",1
"11315",24,"s24",11,13,3,1,0.727348841,2,"2C",1
"11316",24,"s24",6,2,1,1,0.714525877,2,"2C",1
"11317",24,"s24",8,2,4,1,0.590741517,2,"2C",0
"11318",24,"s24",8,14,3,1,0.853592867,2,"2C",1
"11319",24,"s24",8,19,3,1,0.689939166,2,"2C",1
"11320",24,"s24",5,18,2,1,0.884752035,2,"2C",0
"11321",24,"s24",4,13,2,1,0.691956411,2,"2C",0
"11322",24,"s24",5,8,1,1,0.80721582,2,"2C",1
"11323",24,"s24",3,14,2,1,0.924684019,2,"2C",0
"11324",24,"s24",9,2,4,1,0.713265174,2,"2C",0
"11325",24,"s24",6,20,2,1,0.647235505,2,"2C",0
"11326",24,"s24",10,2,4,1,0.687275609,2,"2C",0
"11327",24,"s24",3,20,2,1,0.837177231,2,"2C",0
"11328",24,"s24",1,19,2,1,0.76414473,2,"2C",0
"11329",24,"s24",9,7,4,1,0.727631039,2,"2C",0
"11330",24,"s24",10,17,3,1,0.82376879,2,"2C",1
"11331",24,"s24",4,17,2,1,0.95567152,2,"2C",0
"11332",24,"s24",2,6,1,1,0.700689471,2,"2C",1
"11333",24,"s24",8,9,4,1,0.704944719,2,"2C",0
"11334",24,"s24",7,12,3,1,0.738055777,2,"2C",1
"11335",24,"s24",4,16,2,1,0.709524026,2,"2C",0
"11336",24,"s24",1,10,1,1,0.695016611,2,"2C",1
"11337",24,"s24",4,1,1,1,0.631721576,2,"2C",1
"11338",24,"s24",11,14,3,1,0.917475186,2,"2C",1
"11339",24,"s24",2,19,2,1,0.75604955,2,"2C",0
"11340",24,"s24",10,16,3,1,0.894701225,2,"2C",1
"11341",24,"s24",7,4,4,1,0.71348262,2,"2C",0
"11342",24,"s24",11,6,4,1,0.648206782,2,"2C",0
"11343",24,"s24",5,12,2,1,0.724952121,2,"2C",0
"11344",24,"s24",12,3,4,1,0.656996763,2,"2C",0
"11345",24,"s24",2,14,2,1,0.893780243,2,"2C",0
"11346",24,"s24",11,11,3,1,0.769155314,2,"2C",1
"11347",24,"s24",8,13,3,1,0.678065192,2,"2C",1
"11348",24,"s24",9,17,3,1,0.851121155,2,"2C",1
"11349",24,"s24",2,18,2,1,0.493599962,2,"2C",0
"11350",24,"s24",1,14,2,1,0.599963076,2,"2C",0
"11351",24,"s24",11,10,4,1,0.688283629,2,"2C",0
"11352",24,"s24",5,1,1,1,0.705840703,2,"2C",1
"11353",24,"s24",10,19,3,1,0.645036052,2,"2C",1
"11354",24,"s24",7,1,4,1,0.699152294,2,"2C",0
"11355",24,"s24",12,15,3,1,1.067406323,2,"2C",1
"11356",24,"s24",3,13,2,1,0.569549909,2,"2C",0
"11357",24,"s24",5,13,2,1,0.78507974,2,"2C",0
"11358",24,"s24",2,4,1,1,0.610385707,2,"2C",1
"11359",24,"s24",3,18,2,1,0.605878982,2,"2C",0
"11360",24,"s24",1,2,1,1,0.788282695,2,"2C",1
"11361",24,"s24",7,9,4,1,0.836974242,2,"2C",0
"11362",24,"s24",8,17,3,1,0.75767738,2,"2C",1
"11363",24,"s24",1,5,1,1,0.733702047,2,"2C",1
"11364",24,"s24",6,8,1,1,1.154330646,2,"2C",1
"11365",24,"s24",8,6,4,1,0.618189353,2,"2C",0
"11366",24,"s24",5,7,1,1,0.680667311,2,"2C",1
"11367",24,"s24",9,6,4,1,0.579537949,2,"2C",0
"11368",24,"s24",2,9,1,1,0.640312182,2,"2C",1
"11369",24,"s24",12,5,4,1,0.616806977,2,"2C",0
"11370",24,"s24",9,18,3,1,0.557757853,2,"2C",1
"11371",24,"s24",7,7,4,1,0.694932584,2,"2C",0
"11372",24,"s24",11,20,3,1,1.067617444,2,"2C",1
"11373",24,"s24",1,16,2,1,0.58038665,2,"2C",0
"11374",24,"s24",10,12,3,1,0.782736628,2,"2C",1
"11375",24,"s24",8,18,3,1,0.549116048,2,"2C",1
"11376",24,"s24",3,5,1,1,0.742534193,2,"2C",1
"11377",24,"s24",11,3,4,1,0.7231466,2,"2C",0
"11378",24,"s24",6,14,2,1,1.188078682,2,"2C",0
"11379",24,"s24",8,8,4,1,0.639473119,2,"2C",0
"11380",24,"s24",8,7,4,1,0.584049493,2,"2C",0
"11381",24,"s24",1,9,1,1,0.813491324,2,"2C",1
"11382",24,"s24",12,18,3,1,0.882028544,2,"2C",1
"11383",24,"s24",10,6,4,1,0.686474192,2,"2C",0
"11384",24,"s24",2,3,1,1,0.614264189,2,"2C",1
"11385",24,"s24",3,10,1,1,0.59970678,2,"2C",1
"11386",24,"s24",7,16,3,1,0.751996087,2,"2C",1
"11387",24,"s24",12,2,4,1,0.719961113,2,"2C",0
"11388",24,"s24",5,14,2,1,1.153372319,2,"2C",0
"11389",24,"s24",7,17,3,1,0.758903749,2,"2C",1
"11390",24,"s24",10,20,3,1,0.73108487,2,"2C",1
"11391",24,"s24",6,18,2,1,0.572282134,2,"2C",0
"11392",24,"s24",3,15,2,1,0.630937928,2,"2C",0
"11393",24,"s24",1,18,2,1,0.529733575,2,"2C",0
"11394",24,"s24",10,1,4,1,0.645963659,2,"2C",0
"11395",24,"s24",1,6,1,1,0.670216672,2,"2C",1
"11396",24,"s24",9,9,4,1,0.588679096,2,"2C",0
"11397",24,"s24",2,15,2,1,0.989588814,2,"2C",0
"11398",24,"s24",4,18,2,1,0.803304209,2,"2C",0
"11399",24,"s24",1,8,1,1,0.597379329,2,"2C",1
"11400",24,"s24",8,5,4,1,0.624204343,2,"2C",0
"11401",24,"s24",11,2,4,1,0.636197883,2,"2C",0
"11402",24,"s24",3,16,2,1,0.702352237,2,"2C",0
"11403",24,"s24",6,11,2,1,0.739360752,2,"2C",0
"11404",24,"s24",5,2,1,1,0.639434569,2,"2C",1
"11405",24,"s24",10,11,3,1,0.623274327,2,"2C",1
"11406",24,"s24",1,1,1,1,0.825127975,2,"2C",1
"11407",24,"s24",9,1,4,1,0.538739496,2,"2C",0
"11408",24,"s24",12,13,3,1,0.637428769,2,"2C",1
"11409",24,"s24",11,18,3,1,0.693468892,2,"2C",1
"11410",24,"s24",1,7,1,1,0.563233446,2,"2C",1
"11411",24,"s24",9,12,3,1,0.663182819,2,"2C",1
"11412",24,"s24",2,7,1,1,0.656379664,2,"2C",1
"11413",24,"s24",2,16,2,1,0.671353292,2,"2C",0
"11414",24,"s24",3,4,1,1,0.526264083,2,"2C",1
"11415",24,"s24",9,16,3,1,0.618803441,2,"2C",1
"11416",24,"s24",9,8,4,1,0.692931302,2,"2C",0
"11417",24,"s24",12,19,3,1,0.587702097,2,"2C",1
"11418",24,"s24",4,5,1,1,0.547630069,2,"2C",1
"11419",24,"s24",6,4,1,1,0.542050572,2,"2C",1
"11420",24,"s24",12,8,4,1,0.530975304,2,"2C",0
"11421",24,"s24",10,13,3,1,0.666962818,2,"2C",1
"11422",24,"s24",8,10,4,1,0.572274002,2,"2C",0
"11423",24,"s24",7,13,3,1,0.732716916,2,"2C",1
"11424",24,"s24",8,1,4,1,0.624539246,2,"2C",0
"11425",24,"s24",7,20,3,1,0.802328716,2,"2C",1
"11426",24,"s24",10,5,4,1,0.687020216,2,"2C",0
"11427",24,"s24",12,6,4,1,0.722374397,2,"2C",0
"11428",24,"s24",12,12,3,1,0.687880963,2,"2C",1
"11429",24,"s24",6,3,1,1,0.453004197,2,"2C",1
"11430",24,"s24",7,8,4,1,0.506404254,2,"2C",0
"11431",24,"s24",3,11,2,1,0.583617313,2,"2C",0
"11432",24,"s24",12,11,3,1,0.646585276,2,"2C",1
"11433",24,"s24",10,3,4,1,0.579661429,2,"2C",0
"11434",24,"s24",4,8,1,1,0.833965542,2,"2C",1
"11435",24,"s24",4,15,2,1,0.507142124,2,"2C",0
"11436",24,"s24",8,3,4,1,0.520622846,2,"2C",0
"11437",24,"s24",2,11,2,1,0.562226932,2,"2C",0
"11438",25,"s25",5,13,2,1,0.623210479,2,"2C",0
"11439",25,"s25",2,11,2,1,0.654513607,2,"2C",0
"11440",25,"s25",1,15,2,1,0.645257412,2,"2C",0
"11441",25,"s25",5,14,2,1,0.814801117,2,"2C",0
"11442",25,"s25",4,11,2,1,0.762463291,2,"2C",0
"11443",25,"s25",9,19,3,1,1.081970057,2,"2C",1
"11444",25,"s25",9,8,4,1,0.543223031,2,"2C",0
"11445",25,"s25",5,16,2,1,0.688232128,2,"2C",0
"11446",25,"s25",7,16,3,1,0.615142103,2,"2C",1
"11447",25,"s25",3,20,2,1,0.674138824,2,"2C",0
"11448",25,"s25",4,16,2,1,0.540867572,2,"2C",0
"11449",25,"s25",9,14,3,1,0.578415484,2,"2C",1
"11450",25,"s25",6,1,1,1,0.655364114,2,"2C",1
"11451",25,"s25",8,9,4,1,0.71189334,2,"2C",0
"11452",25,"s25",2,1,1,1,0.766032772,2,"2C",1
"11453",25,"s25",6,3,1,1,0.693770064,2,"2C",1
"11454",25,"s25",4,7,1,1,0.948772893,2,"2C",1
"11455",25,"s25",9,11,3,1,0.672648026,2,"2C",1
"11456",25,"s25",2,13,2,1,0.778362117,2,"2C",0
"11457",25,"s25",12,13,3,1,0.844447503,2,"2C",1
"11458",25,"s25",3,14,2,1,0.65243402,2,"2C",0
"11459",25,"s25",11,4,4,1,0.947717891,2,"2C",0
"11460",25,"s25",1,3,1,1,0.701788445,2,"2C",1
"11461",25,"s25",12,14,3,1,1.149179715,2,"2C",1
"11462",25,"s25",6,8,1,1,1.135100867,2,"2C",1
"11463",25,"s25",11,3,4,1,0.641741842,2,"2C",0
"11464",25,"s25",7,1,4,1,0.564727857,2,"2C",0
"11465",25,"s25",4,5,1,1,1.037894259,2,"2C",1
"11466",25,"s25",2,15,2,1,0.814579455,2,"2C",0
"11467",25,"s25",12,2,4,1,0.504285214,2,"2C",0
"11468",25,"s25",10,10,4,1,0.696325802,2,"2C",0
"11469",25,"s25",9,4,4,1,0.882697747,2,"2C",0
"11470",25,"s25",7,14,3,1,0.986665346,2,"2C",1
"11471",25,"s25",9,3,4,1,0.771558359,2,"2C",0
"11472",25,"s25",10,1,4,1,0.831478169,2,"2C",0
"11473",25,"s25",2,2,1,1,0.605759718,2,"2C",1
"11474",25,"s25",3,12,2,1,0.805570522,2,"2C",0
"11475",25,"s25",10,13,3,1,0.570523896,2,"2C",1
"11476",25,"s25",8,8,4,1,0.631652306,2,"2C",0
"11477",25,"s25",5,7,1,1,0.819186169,2,"2C",1
"11478",25,"s25",4,3,1,1,0.552621379,2,"2C",1
"11479",25,"s25",8,1,4,1,0.717552948,2,"2C",0
"11480",25,"s25",10,11,3,1,0.582197291,2,"2C",1
"11481",25,"s25",5,9,1,1,0.638908423,2,"2C",1
"11482",25,"s25",10,15,3,1,0.550398133,2,"2C",1
"11483",25,"s25",4,17,2,1,0.400654324,2,"2C",0
"11484",25,"s25",11,15,3,1,0.628968269,2,"2C",1
"11485",25,"s25",4,19,2,1,0.720963109,2,"2C",0
"11486",25,"s25",6,17,2,1,0.5859285,2,"2C",0
"11487",25,"s25",11,14,3,1,0.731630592,2,"2C",1
"11488",25,"s25",4,9,1,1,0.632948848,2,"2C",1
"11489",25,"s25",2,7,1,1,0.939638673,2,"2C",1
"11490",25,"s25",2,4,1,1,0.723631185,2,"2C",1
"11491",25,"s25",1,19,2,1,0.606215089,2,"2C",0
"11492",25,"s25",9,5,4,1,0.811268681,2,"2C",0
"11493",25,"s25",5,6,1,1,0.611322952,2,"2C",1
"11494",25,"s25",8,13,3,1,0.603475937,2,"2C",1
"11495",25,"s25",8,7,4,1,0.836606813,2,"2C",0
"11496",25,"s25",10,18,3,1,0.830608387,2,"2C",1
"11497",25,"s25",5,15,2,1,0.678029052,2,"2C",0
"11498",25,"s25",11,17,3,1,0.547944793,2,"2C",1
"11499",25,"s25",4,4,1,1,1.120743134,2,"2C",1
"11500",25,"s25",5,1,1,1,0.616606698,2,"2C",1
"11501",25,"s25",12,5,4,1,0.68301735,2,"2C",0
"11502",25,"s25",8,16,3,1,0.740723853,2,"2C",1
"11503",25,"s25",11,13,3,1,0.588314077,2,"2C",1
"11504",25,"s25",9,12,3,1,0.681690691,2,"2C",1
"11505",25,"s25",7,20,3,1,0.802578085,2,"2C",1
"11506",25,"s25",6,5,1,1,0.577406561,2,"2C",1
"11507",25,"s25",1,1,1,1,0.597889212,2,"2C",1
"11508",25,"s25",9,13,3,1,0.709248153,2,"2C",1
"11509",25,"s25",1,16,2,1,0.561580016,2,"2C",0
"11510",25,"s25",4,20,2,1,0.902264235,2,"2C",0
"11511",25,"s25",12,18,3,1,0.608464536,2,"2C",1
"11512",25,"s25",11,12,3,1,0.595465085,2,"2C",1
"11513",25,"s25",5,18,2,1,1.084148729,2,"2C",0
"11514",25,"s25",2,18,2,1,0.533833719,2,"2C",0
"11515",25,"s25",1,2,1,1,0.700511178,2,"2C",1
"11516",25,"s25",4,10,1,1,1.160887744,2,"2C",1
"11517",25,"s25",7,18,3,1,1.142397642,2,"2C",1
"11518",25,"s25",5,2,1,1,0.769771812,2,"2C",1
"11519",25,"s25",8,2,4,1,0.799845559,2,"2C",0
"11520",25,"s25",12,9,4,1,0.635532294,2,"2C",0
"11521",25,"s25",9,16,3,1,0.75659738,2,"2C",1
"11522",25,"s25",6,14,2,1,0.671734574,2,"2C",0
"11523",25,"s25",7,12,3,1,0.670688306,2,"2C",1
"11524",25,"s25",12,19,3,1,0.704652281,2,"2C",1
"11525",25,"s25",12,8,4,1,0.952162273,2,"2C",0
"11526",25,"s25",6,4,1,1,0.592047696,2,"2C",1
"11527",25,"s25",2,9,1,1,1.102293087,2,"2C",1
"11528",25,"s25",9,9,4,1,0.630484063,2,"2C",0
"11529",25,"s25",3,8,1,1,0.624794338,2,"2C",1
"11530",25,"s25",6,2,1,1,0.533155783,2,"2C",1
"11531",25,"s25",8,4,4,1,0.35712184,2,"2C",0
"11532",25,"s25",4,2,1,1,0.493559003,2,"2C",1
"11533",25,"s25",10,5,4,1,0.372702328,2,"2C",0
"11534",25,"s25",2,10,1,1,0.330812731,2,"2C",1
"11535",25,"s25",6,7,1,1,0.840980421,2,"2C",1
"11536",25,"s25",9,7,4,1,0.725212333,2,"2C",0
"11537",25,"s25",1,7,1,1,0.988887989,2,"2C",1
"11538",25,"s25",2,3,1,1,0.522430777,2,"2C",1
"11539",25,"s25",3,1,1,1,0.52189409,2,"2C",1
"11540",25,"s25",10,3,4,1,0.515369819,2,"2C",0
"11541",25,"s25",5,3,1,1,0.493697542,2,"2C",1
"11542",25,"s25",10,8,4,1,0.631001174,2,"2C",0
"11543",25,"s25",11,11,3,1,0.587381952,2,"2C",1
"11544",25,"s25",10,14,3,1,0.713772949,2,"2C",1
"11545",25,"s25",1,20,2,1,0.785282729,2,"2C",0
"11546",25,"s25",11,19,3,1,0.66759076,2,"2C",1
"11547",25,"s25",12,12,3,1,0.596905587,2,"2C",1
"11548",25,"s25",12,16,3,1,0.57603834,2,"2C",1
"11549",25,"s25",5,11,2,1,0.70812358,2,"2C",0
"11550",25,"s25",11,8,4,1,0.625657494,2,"2C",0
"11551",25,"s25",4,6,1,1,0.585461384,2,"2C",1
"11552",25,"s25",4,12,2,1,0.573591927,2,"2C",0
"11553",25,"s25",12,6,4,1,0.560708427,2,"2C",0
"11554",25,"s25",11,1,4,1,0.661876339,2,"2C",0
"11555",25,"s25",2,8,1,1,0.527573877,2,"2C",1
"11556",25,"s25",5,4,1,1,0.480261995,2,"2C",1
"11557",25,"s25",11,6,4,1,0.41385285,2,"2C",0
"11558",25,"s25",9,10,4,1,0.520520448,2,"2C",0
"11559",25,"s25",9,17,3,1,0.62383842,2,"2C",1
"11560",25,"s25",11,9,4,1,0.539192157,2,"2C",0
"11561",25,"s25",3,2,1,1,0.504881533,2,"2C",1
"11562",25,"s25",8,6,4,1,0.517411759,2,"2C",0
"11563",25,"s25",10,6,4,1,0.548361614,2,"2C",0
"11564",25,"s25",2,19,2,1,0.617280418,2,"2C",0
"11565",25,"s25",7,2,4,1,0.623317093,2,"2C",0
"11566",25,"s25",3,5,1,1,0.600806657,2,"2C",1
"11567",25,"s25",3,16,2,1,0.530477769,2,"2C",0
"11568",25,"s25",2,12,2,1,0.76778348,2,"2C",0
"11569",25,"s25",10,19,3,1,0.587758717,2,"2C",1
"11570",25,"s25",11,10,4,1,0.611837051,2,"2C",0
"11571",25,"s25",7,19,3,1,0.606300922,2,"2C",1
"11572",25,"s25",8,14,3,1,0.58800116,2,"2C",1
"11573",25,"s25",12,3,4,1,0.714866501,2,"2C",0
"11574",25,"s25",1,18,2,1,1.195100788,2,"2C",0
"11575",25,"s25",4,14,2,1,0.759591022,2,"2C",0
"11576",25,"s25",11,5,4,1,0.944720936,2,"2C",0
"11577",25,"s25",2,16,2,1,0.849421646,2,"2C",0
"11578",25,"s25",8,11,3,1,0.837366668,2,"2C",1
"11579",25,"s25",1,8,1,1,0.688374281,2,"2C",1
"11580",25,"s25",1,4,1,1,0.625066596,2,"2C",1
"11581",25,"s25",1,11,2,1,0.682963741,2,"2C",0
"11582",25,"s25",7,10,4,1,0.397896199,2,"2C",0
"11583",25,"s25",5,8,1,1,0.584341027,2,"2C",1
"11584",25,"s25",6,15,2,1,0.613610949,2,"2C",0
"11585",25,"s25",8,17,3,1,0.747068927,2,"2C",1
"11586",25,"s25",1,17,2,1,0.712013808,2,"2C",0
"11587",25,"s25",4,13,2,1,0.742841086,2,"2C",0
"11588",25,"s25",6,20,2,1,0.694213086,2,"2C",0
"11589",25,"s25",9,1,4,1,0.662546143,2,"2C",0
"11590",25,"s25",7,3,4,1,0.608872924,2,"2C",0
"11591",25,"s25",10,20,3,1,0.698666806,2,"2C",1
"11592",25,"s25",10,7,4,1,0.643773843,2,"2C",0
"11593",25,"s25",11,18,3,1,0.605226043,2,"2C",1
"11594",25,"s25",3,3,1,1,0.640734424,2,"2C",1
"11595",25,"s25",5,12,2,1,0.591792905,2,"2C",0
"11596",25,"s25",6,11,2,1,0.541666278,2,"2C",0
"11597",25,"s25",6,10,1,1,0.533662052,2,"2C",1
"11598",25,"s25",2,17,2,1,0.564776647,2,"2C",0
"11599",25,"s25",1,5,1,1,0.529417948,2,"2C",1
"11600",25,"s25",11,7,4,1,0.634709796,2,"2C",0
"11601",25,"s25",11,16,3,1,0.926493455,2,"2C",1
"11602",25,"s25",6,16,2,1,0.698071691,2,"2C",0
"11603",25,"s25",8,5,4,1,0.898773661,2,"2C",0
"11604",25,"s25",5,20,2,1,0.641278941,2,"2C",0
"11605",25,"s25",2,14,2,1,0.589353419,2,"2C",0
"11606",25,"s25",1,10,1,1,0.779892367,2,"2C",1
"11607",25,"s25",1,6,1,1,0.567845581,2,"2C",1
"11608",25,"s25",8,10,4,1,0.735554852,2,"2C",0
"11609",25,"s25",7,7,4,1,0.532444115,2,"2C",0
"11610",25,"s25",7,17,3,1,0.709964338,2,"2C",1
"11611",25,"s25",10,4,4,1,0.572432418,2,"2C",0
"11612",25,"s25",7,5,4,1,0.554051038,2,"2C",0
"11613",25,"s25",9,2,4,1,0.466982756,2,"2C",0
"11614",25,"s25",12,15,3,1,0.733087056,2,"2C",1
"11615",25,"s25",5,17,2,1,0.621359179,2,"2C",0
"11616",25,"s25",1,14,2,1,0.566792687,2,"2C",0
"11617",28,"s28",10,15,3,1,1.308022206,2,"2C",1
"11618",28,"s28",12,20,3,1,0.794406107,2,"2C",1
"11619",28,"s28",5,15,2,1,0.783372701,2,"2C",0
"11620",28,"s28",9,3,4,1,1.354435694,2,"2C",0
"11621",28,"s28",6,9,1,1,0.78196563,2,"2C",1
