sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
1 82 LeftLarger PercCBPrac Prime_9N Target_6A MgBKmhl mjIgabh Congruent left error Normal 1351.437
1 83 LeftLarger PercCBPrac Prime_9A Target_6N kJacgBE GKiHDEe Congruent left error Normal 1405.643
1 84 LeftLarger PercCBPrac Prime_6N Target_1N jalceDh alMGgHD Incongruent right error Normal 1473.487
1 85 LeftLarger PercCBPrac Prime_9A Target_6A fKIeagd AGIdKbg Congruent left error Normal 1606.441
1 86 LeftLarger PercCBPrac Prime_4A Target_9N bEeJAhG mChcaBG Incongruent right error Normal 1899.972
1 87 LeftLarger PercCBPrac Prime_9N Target_1A GlBdaHh IkbEdJg Incongruent left correct Normal 1092.436
1 88 LeftLarger PercCBPrac Prime_1N Target_1A BIdLeFj MEaAlgh Congruent right correct Normal 1809.587
1 89 LeftLarger PercCBPrac Prime_4A Target_9A KEMicja LBjmfgH Incongruent right error Normal 2412.676
1 90 LeftLarger PercCBPrac Prime_1A Target_4A LeHDhJg bjkiLBG Congruent right correct Normal 1863.652
1 91 LeftLarger PercCBPrac Prime_9A Target_9A lKEiLmJ cLjHBIi Congruent right correct Normal 1355.586
1 92 LeftLarger PercCBPrac Prime_9N Target_6N dBAIDhH hdgaKGm Congruent left error Normal 1394.769
1 93 LeftLarger PercCBPrac Prime_6N Target_4N gEFjhkB AKbiGLE Incongruent left correct Normal 4013.955
1 94 LeftLarger PercCBPrac Prime_9N Target_1N dLgbJAa JElfMbC Incongruent right error Normal 1341.314
1 95 LeftLarger PercCBPrac Prime_6N Target_4A gkAIJEb MlicAIB Incongruent left correct Normal 2810.231
1 96 LeftLarger PercCBPrac Prime_6N Target_9A kgjAHfl lBmEiAb Congruent right correct Normal 1226.606
1 97 LeftLarger PercCBExp1 Prime_4A Target_9A lihHCAc EBMdGjk Incongruent left correct Normal 2573.821
1 98 LeftLarger PercCBExp1 Prime_6A Target_9N cGMiEhA acdEHFk Congruent right correct Normal 2036.887
1 99 LeftLarger PercCBExp1 Prime_1N Target_4A mIigdBc GlEMBJF Congruent right correct Normal 1662.089
1 100 LeftLarger PercCBExp1 Prime_6N Target_4A LEdmHie ACkhHGb Incongruent right error Normal 2007.928
1 101 LeftLarger PercCBExp1 Prime_4N Target_4N AGkeKCj BeJCKcj Congruent left error Normal 1454.675
1 102 LeftLarger PercCBExp1 Prime_6N Target_9N ACDMIlf hCgGMIF Congruent left error Normal 2281.881
1 103 LeftLarger PercCBExp1 Prime_6A Target_6N DHikABL dLJfAFH Congruent right correct Normal 1596.526
1 104 LeftLarger PercCBExp1 Prime_1A Target_9A KDlHIma bFMADGg Incongruent right error Normal 1831.207
1 105 LeftLarger PercCBExp1 Prime_4N Target_4A bBHigjF bMFJmDe Congruent left error Normal 2152.164
1 106 LeftLarger PercCBExp1 Prime_1N Target_1A MdmkLlK lacEfgF Congruent right correct Normal 2334.095
1 107 LeftLarger PercCBExp1 Prime_4N Target_6N fJEMHgI KafbkjJ Incongruent left correct Normal 2465.046
1 108 LeftLarger PercCBExp1 Prime_9A Target_9N giLFmHa fhDKFLb Congruent left error Normal 2149.399
