sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
501 75 LeftSmaller PercIAExp1 Prime_1N Target_9N dBeFGKI eFHlCiD Incongruent left correct Normal 1497.014
501 76 LeftSmaller PercIAExp1 Prime_9N Target_6A LgGEBlb ilGakfF Congruent left error Normal 3020.728
501 77 LeftSmaller PercIAExp1 Prime_1A Target_4N CliAMha gKDBMjL Congruent right error Normal 2074.605
501 78 LeftSmaller PercIAExp1 Prime_9A Target_1A fHlhAiE GkAEIdL Incongruent right correct Normal 1444.102
501 79 LeftSmaller PercIAExp1 Prime_4N Target_1N gdADamk FadCgAH Congruent left correct Normal 2582.255
501 80 LeftSmaller PercIAExp1 Prime_4A Target_4A AkDBcCb BeDjCcf Congruent right error Normal 1893.411
501 81 LeftLarger PercIBPrac Prime_6A Target_1N EbcFJLm lCafDME Incongruent right error Normal 2034.716
501 82 LeftLarger PercIBPrac Prime_1A Target_1A CBkaMGK MLcFhjm Congruent right correct Normal 2001.345
501 83 LeftLarger PercIBPrac Prime_4N Target_4A iAEHjdD daCKhjG Congruent left error Normal 793.5684
501 84 LeftLarger PercIBPrac Prime_4A Target_6A EmCbFlJ BdCecFE Incongruent left error Normal 1573.318
501 85 LeftLarger PercIBPrac Prime_1N Target_9N fjBLFHe aiGgCAF Incongruent left error Normal 2252.148
501 86 LeftLarger PercIBPrac Prime_9A Target_6N IiaKALF dMjmbLk Congruent right error Normal 1296.011
501 87 LeftLarger PercIBPrac Prime_9N Target_6A FHgfdEk LBEGFAJ Congruent left correct Normal 2078.02
501 88 LeftLarger PercIBPrac Prime_9N Target_9N KMCbIed daiIfKm Congruent right error Normal 1979.071
501 89 LeftLarger PercIBPrac Prime_1A Target_9N MHCdhAb bflHJGj Incongruent left error Normal 1613.438
501 90 LeftLarger PercIBPrac Prime_4N Target_9N hiLBHDG FJlIBLC Incongruent left error Normal 1768.295
501 91 LeftLarger PercIBPrac Prime_6A Target_6A hdeKFGH LGfJMeB Congruent right error Normal 2087.415
501 92 LeftLarger PercIBPrac Prime_9A Target_9N chFigMI AKHaBFD Congruent right error Normal 2531.481
501 93 LeftLarger PercIBPrac Prime_1A Target_6N FeDLJCB LBaGbeA Incongruent right correct Normal 1482.027
501 94 LeftLarger PercIBPrac Prime_1A Target_1N lMdJebA IeDEmah Congruent left error Normal 1391.845
501 95 LeftLarger PercIBPrac Prime_4A Target_9A dcILMJa hAEjCmk Incongruent right correct Normal 1249.493
501 96 LeftLarger PercIBPrac Prime_1A Target_9A IHDhfJg FjHKAka Incongruent right correct Normal 1645.557
501 97 LeftLarger PercIBExp1 Prime_6N Target_6N FlgMKBI ceIabCK Congruent left correct Normal 2224.949
501 98 LeftLarger PercIBExp1 Prime_9A Target_9N LkMiaBd iIKAaDL Congruent right error Normal 1339.204
501 99 LeftLarger PercIBExp1 Prime_6N Target_6A gGkEiDm DmEHACi Congruent right error Normal 1264.067
501 100 LeftLarger PercIBExp1 Prime_6N Target_4A eIJHbCm GKjeBdi Incongruent left correct Normal 1027.884
501 101 LeftLarger PercIBExp1 Prime_6N Target_1N DlfKHLj lFAgfdD Incongruent right error Normal 1137.344
501 102 LeftLarger PercIBExp1 Prime_1N Target_9A EGFjAlD CeAIiMJ Incongruent left error Normal 982.8367
501 103 LeftLarger PercIBExp1 Prime_4N Target_4N EcKAjHJ jbiaFAl Congruent right correct Normal 1716.748
501 104 LeftLarger PercIBExp1 Prime_1N Target_1A BiKdJAh bimaChJ Congruent right correct Normal 2977.578
501 105 LeftLarger PercIBExp1 Prime_6A Target_1N fJGEIhC mEChIBj Incongruent left correct Normal 1886.248
501 106 LeftLarger PercIBExp1 Prime_4N Target_1N fCFImgb fIbjHDh Congruent left error Normal 1432.735
501 107 LeftLarger PercIBExp1 Prime_6A Target_6N BCbiHkK ebACjHJ Congruent right error Normal 1212.209
501 108 LeftLarger PercIBExp1 Prime_9N Target_4A jCAbkcD ieBGbCm Incongruent left correct Normal 1411.436
501 109 LeftLarger PercIBExp1 Prime_1A Target_1A kfJBaAl MfHEklK Congruent left error Late 50397.86
501 110 LeftLarger PercIBExp1 Prime_4A Target_1N gldhFGC GMhBHDF Congruent left error Normal 1889.524
501 111 LeftLarger PercIBExp1 Prime_1N Target_6A bdACkgc DdAjEHK Incongruent right correct Normal 1306.87
501 112 LeftLarger PercIBExp1 Prime_1N Target_1N eJMcAkF JAGMBlK Congruent left error Normal 1308.578
501 113 LeftLarger PercIBExp1 Prime_6A Target_4A JmhjIgE gemFKbC Incongruent left correct Normal 1280.672
501 114 LeftLarger PercIBExp1 Prime_9N Target_9A kLajKlD kifLFGI Congruent left correct Normal 1211.794
501 115 LeftLarger PercIBExp1 Prime_4A Target_6N dhAkfge kDhMcAg Incongruent left error Normal 1769.131
501 116 LeftLarger PercIBExp1 Prime_4A Target_1A dfejlDB iLAmhDd Congruent left error Normal 1434.464
501 117 LeftLarger PercIBExp1 Prime_4A Target_9N HIDFbBJ eKJdMhg Incongruent right correct Normal 2142.681
501 118 LeftLarger PercIBExp1 Prime_6N Target_9N lEfAKiC JchLlED Congruent left correct Normal 1923.324
501 119 LeftLarger PercIBExp1 Prime_9A Target_1N JgLmjAl IehKJAc Incongruent right error Normal 2003.895
501 120 LeftLarger PercIBExp1 Prime_9A Target_1A ieMDgkh FGdfMiH Incongruent left correct Normal 1907.164
501 121 LeftLarger PercIBExp1 Prime_9A Target_6A gGHfMLj mejICgJ Congruent left correct Normal 2949.516
501 122 LeftLarger PercIBExp1 Prime_1A Target_6N iagGJle HjBfiCM Incongruent right correct Normal 2701.234
