experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1a,14,100154,1,30,30,18,M,NA,variable,heterogeneous,6,absent,1.68752694129944,1,vertical,vertical,1,0.870432648658752,red,5,NaN,653.738008730483,391.116228706307,NaN,NaN,692.232343256122,831.108485694346,946.261991269517,808.883771293693,1054.0296480134,577.775285599347,907.767656743878,368.891514305654,653.738008730483,391.116228706307,545.970351986605,622.224714400653,5,0,3,6,4,0,horizontal,horizontal,vertical,vertical,vertical,horizontal
1a,14,100154,1,31,31,18,M,NA,variable,heterogeneous,6,present,1.33362793922424,1,vertical,vertical,1,0.611757941246033,green,2,6,938.882953928832,813.860994826083,545.349468637584,613.345668841951,684.232422566416,827.206663668034,938.882953928832,813.860994826083,1054.65053136242,586.654331158049,915.767577433584,372.793336331966,661.117046071168,386.139005173917,545.349468637584,613.345668841951,5,4,3,5,6,6,vertical,vertical,vertical,vertical,vertical,vertical
1a,14,100154,1,32,32,18,M,NA,variable,heterogeneous,5,absent,1.07762813568115,1,vertical,vertical,1,1.05855970859528,red,2,NaN,1049.42763818712,653.017481158529,NaN,NaN,826.654758133252,853.60308331891,1049.42763818712,653.017481158529,927.5,379.163522034968,629.371695378491,410.498069503264,567.045908301137,703.717843984329,0,0,3,4,5,3,5,NaN,horizontal,vertical,horizontal,vertical,horizontal,none
1a,14,100154,1,33,33,18,M,NA,variable,heterogeneous,5,absent,1.04803586006165,1,vertical,vertical,1,0.835158824920654,red,2,NaN,998.172220171528,760.476699717708,NaN,NaN,708.616172865948,838.063008756786,998.172220171528,760.476699717708,1013.86099482608,461.117046071168,734.001143498857,353.688914296288,545.349468637584,586.654331158049,0,0,6,4,5,3,0,NaN,horizontal,vertical,vertical,vertical,vertical,none
1a,14,100154,1,34,34,18,M,NA,variable,heterogeneous,4,absent,0.831683874130249,1,vertical,vertical,1,0.917464413642883,red,3,NaN,949.885239334581,393.700666434388,NaN,NaN,650.114760665419,806.299333565612,1006.29933356561,749.885239334581,949.885239334581,393.700666434388,593.700666434388,450.114760665419,0,0,0,0,0,6,4,6,NaN,NaN,horizontal,vertical,vertical,horizontal,none,none
1a,14,100154,1,35,35,18,M,NA,variable,heterogeneous,6,present,1.40063619613647,1,horizontal,horizontal,1,0.611757941246033,red,1,2,760.109211414741,851.86052685176,998.172220171528,760.476699717708,760.109211414741,851.86052685176,998.172220171528,760.476699717708,1038.06300875679,508.616172865948,839.890788585259,348.13947314824,601.827779828472,439.523300282291,561.936991243214,691.383827134052,4,6,3,5,0,3,horizontal,horizontal,vertical,vertical,horizontal,vertical
1a,14,100154,1,36,36,18,M,NA,variable,heterogeneous,3,present,1.35362792015076,1,horizontal,horizontal,1,0.635273823738098,green,1,2,970.628304621509,789.501930496736,878.799333565612,357.480588344736,970.628304621509,789.501930496736,878.799333565612,357.480588344736,550.57236181288,653.017481158529,0,0,0,0,0,0,4,5,6,NaN,NaN,NaN,horizontal,horizontal,vertical,none,none,none
1a,14,100154,1,37,37,18,M,NA,variable,heterogeneous,6,present,1.83457803726196,0,vertical,horizontal,1,0.682305588722229,red,6,2,583.747735480111,735.129412379467,1025.15163617903,719.715248510402,808.899371659138,854.844660889869,1025.15163617903,719.715248510402,1016.25226451989,464.870587620533,791.100628340862,345.155339110131,574.848363820974,480.284751489598,583.747735480111,735.129412379467,6,3,6,5,0,4,vertical,horizontal,vertical,horizontal,vertical,vertical
1a,14,100154,1,38,38,18,M,NA,variable,heterogeneous,3,absent,0.932528018951416,1,vertical,vertical,1,0.846916766166687,green,2,NaN,1051.86052685176,639.890788585259,NaN,NaN,639.523300282292,798.172220171528,1051.86052685176,639.890788585259,708.616172865948,361.936991243214,0,0,0,0,0,0,3,4,6,NaN,NaN,NaN,vertical,vertical,vertical,none,none,none
1a,14,100154,1,39,39,18,M,NA,variable,heterogeneous,3,present,0.942429065704346,1,vertical,vertical,1,0.952738237380981,red,1,2,650.114760665419,806.299333565612,1053.60308331891,626.654758133252,650.114760665419,806.299333565612,1053.60308331891,626.654758133252,696.282156015671,367.045908301137,0,0,0,0,0,0,4,3,5,NaN,NaN,NaN,vertical,horizontal,horizontal,none,none,none
