subject,pair,soc_condition,stim,trial_n,target,beeps,response,rt,correct,order,pos,h1,h2,h3,h4,age
S1,P1,JA,1F2B,1,1,2,2,0.6774333969997315,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,2,1,1,1,0.678790342999946,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,3,1,1,1,0.44183129700013524,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,4,2,1,1,0.56348284600017,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,5,2,1,2,0.9801683390001017,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,6,2,1,2,0.7558994720002374,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,7,1,2,2,0.648886479000339,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,8,1,2,2,0.4809206639997683,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,9,1,1,1,0.8860633289996258,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,10,1,1,1,1.035103581000385,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,11,2,2,2,0.45633140900008584,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,12,2,2,2,0.5941243749998648,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,13,2,2,2,0.5704443720001109,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,14,2,1,1,1.0454467670001577,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,15,2,1,1,0.6716182899999694,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,16,2,2,2,0.7248053710000022,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,17,2,1,2,0.7997308849999172,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,18,1,2,2,0.7436952190000738,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,19,2,1,1,0.8387025329998323,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,20,1,2,2,0.57090340199965794,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,21,1,2,2,0.6956972010002573,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,22,2,1,1,0.6942281579999872,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,23,2,1,1,0.9761274970001068,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,24,1,2,2,0.8223522000002959,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,25,2,1,1,0.8358074339998893,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,26,1,2,2,0.6662437509999108,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,27,1,1,1,0.7622812030003843,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,28,1,2,2,0.6883144210000864,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,29,1,1,1,1.4985993499999495,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,30,2,1,1,0.6538695389999702,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,31,2,2,2,0.7359651689998827,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,32,2,2,2,0.52681268599963,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,33,2,1,1,1.2724650969998947,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,34,1,2,2,0.8312568460000875,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,35,1,2,2,0.5616890650007917,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,36,2,1,2,0.9257380669996564,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,37,2,2,2,1.2031723270001748,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,38,2,2,2,1.1426588659996924,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,39,1,1,1,0.5577023160003591,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,40,2,2,2,0.7550759949999701,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,41,2,2,2,0.7985709350004981,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,42,1,2,2,0.5341289809994123,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,43,1,2,2,0.8179453780003314,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,44,1,2,2,0.5802695140000651,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,45,2,1,1,0.5389565729992682,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,46,2,2,2,0.627507856000193,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,47,1,2,2,0.4434231680006633,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,48,2,1,1,0.8166824419995464,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,49,1,2,2,0.855200469999545,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,50,2,2,2,1.0922742289994858,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,51,2,2,2,0.740687624000202,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,52,1,2,2,0.9094270039995536,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,53,1,1,1,0.8437868959999832,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,54,2,2,2,0.5748898949996146,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,55,2,1,1,0.7526864940000451,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,56,1,1,1,0.5763524579997465,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,57,1,1,1,0.6168275639993226,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,58,2,2,2,0.7569235119999576,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,59,1,1,1,1.098744985999474,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,60,1,1,1,1.3126587910001035,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,61,1,2,2,0.7221115889997236,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,62,2,2,2,0.42282942500060017,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,63,1,1,1,0.5487081530000069,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,64,1,2,2,0.8735946229999172,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,65,2,2,2,2.201140498999848,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,66,2,1,1,0.9049080509994383,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,67,2,2,2,0.5403778399995645,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,68,2,1,1,0.8090327519994389,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,69,1,1,1,0.586760563000098,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,70,2,2,2,0.6454538640000465,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,71,2,1,1,0.5601915860006557,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,72,2,2,2,1.013922198999353,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,73,1,1,1,0.5522269729999607,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,74,1,1,1,0.6073589850002463,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,75,1,1,1,0.478952376000052,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,76,1,2,2,0.5878116470003079,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,77,2,2,2,1.1229858229999081,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,78,1,1,1,1.1864958670003034,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,79,1,2,2,1.0377611670000988,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,80,2,1,1,1.0658009019998644,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,81,1,1,1,0.6693006989999049,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,82,2,1,1,0.5236485759996867,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,83,2,1,1,1.5462908299996343,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,84,2,1,1,0.9372898739993616,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,85,2,2,2,1.1902731179998227,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,86,2,1,1,1.1350706640005228,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,87,1,2,2,0.5965126080000118,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,88,1,1,1,1.248047459999725,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,89,1,2,2,0.9488802509995367,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,90,2,2,2,0.8617830599996523,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,91,2,1,2,0.7292461840006581,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,92,2,2,2,0.6679375270005039,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,93,1,1,1,1.2730717519998507,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,94,1,2,2,0.7585413040005733,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,95,1,1,1,0.8802384849996088,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,96,1,2,2,0.47589061399958155,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,97,1,2,2,0.3104975860005652,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,98,2,1,1,0.6459694760005732,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,99,1,1,1,0.6108374310006184,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,100,1,1,1,0.8869909650002228,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,101,2,2,2,1.3195679459995517,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,102,1,2,2,0.7380138070002431,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,103,1,1,1,0.653476292999585,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,104,1,1,1,0.8778421060005712,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,105,2,2,2,0.9199734829999215,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,106,2,1,1,1.2077633310000238,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,107,2,1,1,1.058601644999726,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,108,1,1,1,0.7728791789995739,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,109,1,1,1,0.7989190490006877,1,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,110,1,1,1,0.9453546309996455,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,111,2,2,2,0.5932984459996078,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,112,1,2,2,0.7742036889994779,0,B2,L,5,5,4,3,28
