"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high"
"47","data_Kantner_2012_E3.csv",0.783292517006803,0,0.227615331133347,0,0.181736639669125,0.274046713108086
"48","data_Kantner_2012_E4.csv",0.715843137254902,0,0.213878231479956,0,0.122258727307006,0.306024379911824
"49","data_Kantner_2014_E1.csv",0.784275862068965,0,0.160249101308474,0,0.110292187405936,0.210805391955161
"50","data_Kantner_2014_E2.csv",0.836378378378378,0,0.308666022879116,0,0.247974241864146,0.369881278880582
"51","data_Kantner_unpub1.csv",0.748291666666667,0,0.192604711899898,0,0.100540335968725,0.286888218921131
"52","data_Kantner_unpub2.csv",0.761910447761194,0,0.241036168129216,0,0.172849944322369,0.311640601705247
"53","data_Kreis_2019.csv",0.713739130434783,0,5.60788299537542,0,3.56390447900034,7.96355230280378
"54","data_Kvam_2015_ch.csv",0.832666666666667,2e-04,-0.428931104201404,0.7368,-2.91784426649928,1.91906884624996
"55","data_Kvam_2015_nc.csv",0.947555555555556,0,0.273225882744157,0.8654,-2.3955982860599,2.80337888708072
"56","data_Kvam_2016.csv",0.579428571428571,0.1134,-0.77218752674586,0.3302,-2.28348402020624,0.642107129816789
"57","data_Law_unpub.csv",0.837625,0,-0.118964325590193,0.0429999999999999,-0.22968714445939,-0.0183743581717354
"58","data_Lebreton_2018.csv",0.712144,0,-0.00865640802337278,0.0249999999999999,-0.016013295605518,-0.00137472390939453
"59","data_Lempert_2015.csv",0.76185,0,0.196089587256266,8e-04,0.0906642940529167,0.300417342569752
"60","data_Lindsay_2014.csv",0.826340425531915,0,0.100613290053957,0.073,-0.00396789933574006,0.213640425866814
"61","data_Lo_unpub.csv",0.951875,0,-1.53408699140206,0,-2.00138292167049,-1.06643452326036
"62","data_Locke_2020.csv",0.9982,0,-0.00258102383558072,0.941,-0.0777032184688402,0.0689686113721019
"63","data_Maniscalco_2017_expt1.csv",0.807866666666667,0,-0.0110076032850855,0.824,-0.104616674132468,0.0746328742937318
"64","data_Maniscalco_2017_expt2.csv",0.83580487804878,0,0.216192950266956,0,0.1506648787168,0.278694843747475
"65","data_Maniscalco_2017_expt3.csv",0.792190476190476,0,0.0862214425074541,0.0322,0.012812590359805,0.157057134995752
"66","data_Maniscalco_2017_expt4.csv",0.771878787878788,0,0.125240292579916,0.0112,0.0390013325691296,0.214048476879752
"67","data_Martin_unpub.csv",0.824571428571429,0,0.000978292698388439,0.9668,-0.0693451468131099,0.0605170207555562
"68","data_Massoni_2017.csv",0.679116666666667,0,-0.00463761628631882,0.325,-0.0140730483051695,0.0047517709303129
"69","data_Massoni_unpub.csv",0.7002,0,0.00220388034993088,0.6988,-0.0086869866650777,0.0134090397449161
"70","data_Matthews_2019.csv",0.779,0,-0.153167804429598,0,-0.220248335940794,-0.0912555493658151
"71","data_Mazancieux_2018.csv",0.551701657458563,0.0036,0.0688671061436009,0.1878,-0.032456570988476,0.170658706662858
"72","data_Mazor_2020.csv",0.804434782608696,0,0.277524375046299,8e-04,0.132096677649787,0.428985924832052
"73","data_Mazor_2021_Expt1.csv",0.802419512195122,0,-0.0908109243681128,0,-0.111747442831054,-0.0698560280728793
"74","data_Mazor_2021_Expt2.csv",0.718671328671329,0,-0.0500194144846061,0,-0.0760550423822596,-0.0259519535745257
"75","data_Mazor_2021_Expt3.csv",0.790055555555556,0,-0.104297927833721,0,-0.121823836346619,-0.0869094608256073
"76","data_Mazor_2021_Expt4.csv",0.783477386934673,0,-0.0919308820218519,0,-0.109897252641486,-0.0744183295312883
"77","data_Mazor_2021_Expt5.csv",0.664222222222222,0,-0.00942742209346144,0.2518,-0.0253635065325985,0.00661032265027385
"78","data_Mazor_2021_Expt6.csv",0.695847457627119,0,0.0339369174113356,0.0032,0.0115939247945889,0.0560259644058302
"79","data_Mazor_2021_Expt7.csv",0.863147058823529,0,-0.163016850868457,0,-0.189691995788435,-0.137490391602356
"80","data_Mei_2019_Exp1.csv",0.742933333333333,1e-04,-0.062219077701861,0.0329999999999999,-0.110327206653047,-0.0133566904162521
"81","data_Mei_2019_Exp2.csv",0.85475,0,-0.0227224996665049,0.517,-0.0884927331982699,0.0469851043298136
"82","data_OHora_2017.csv",0.686296296296296,3e-04,-0.112497410305836,0.8478,-1.15526804059457,0.932841523740276
"83","data_OHora_unpub_1.csv",0.620777777777778,0.0061,0.745017447931287,0.0216,0.174292828304674,1.34747427669145
"84","data_OHora_unpub_2.csv",0.763333333333333,0,0.677272938407269,0.6166,-1.67781271270646,3.16546088244779
"85","data_Palser_2018.csv",0.646083333333333,2e-04,0.984491954035326,0.349,-0.976597453343844,3.01508612577401
"86","data_Paulewicz_unpub1.csv",0.687094339622642,0,0.256487290149473,0,0.177726948205597,0.332263574841601
"87","data_Paulewicz_unpub3.csv",0.649955555555556,1e-04,0.137177421570191,0.0108,0.0375160064221508,0.24219767217127
"88","data_Paulewicz_unpub4.csv",0.572764705882353,0.0331,0.0447456319316714,0.2534,-0.0263134301953311,0.121161273106125
"89","data_Pereira_2018.csv",0.76568,0,-0.0114403795629529,0.5124,-0.0441657094371064,0.0209385328501206
"90","data_Peters_unpub.csv",0.9281,0,11.1263546815066,0,9.35605128268021,12.9486613078722
"91","data_Prieto_unpub.csv",0.760980392156863,0,-0.0835273854287583,0.0198,-0.153594537693381,-0.0140234630870537
"92","data_Rahnev_2013.csv",0.933333333333333,0,-0.0338417731250148,0.1336,-0.0756154573855111,0.00430163193434114
"93","data_Rausch_2016.csv",0.8216,0,-1.67655480383031,0.00619999999999998,-2.84921230988644,-0.605982344206739
