"","exp","non_directional.p","non_directional.statistic","non_directional.consistency_per_id.idv","non_directional.consistency_per_id.score","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"79","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"910",0.468,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"80","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"911",0.836,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"81","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"912",0.032,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"82","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"913",0.496,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"83","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"914",0.296,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"84","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"915",0.228,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"85","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"917",0.75,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"86","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"918",0.05,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"87","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"920",0.876,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"88","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"921",0.986,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"89","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"922",0.56,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"90","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"923",0.114,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"91","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"924",0.922,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"92","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"925",0.506,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"93","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"926",0.478,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"94","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"927",0.074,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"95","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"928",0.594,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"96","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"929",0.128,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
