"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"21","Noel et al._2020_AV",0.657428571428571,0.0041,19.2009427284695,0.0032,7.93436282983914,31.6370482635817,4.29573463373469e-06,0.0998998341493182,0.434151010452365,0.24812030075188
"22","Noel et al._2020_V",0.594551724137931,0.0509,13.6760761081021,0.001,6.76655418446343,21.2210864022807,0.113227990620706,0,0.242392181094013,0.0925589836660617
"23","Skora et al_2020_1",0.623459459459459,8e-04,0.0344277241481386,0.4554,-0.0533864678749297,0.12400003663752,-99999,0.00395366686388845,0.221662035234383,0.0896159317211949
"24","Skora et al_2020_2",0.532315789473684,0.1827,-0.0986421425155336,0.3384,-0.287066746731581,0.089596716436295,-99999,0,0.310023077976048,0.113573407202216
"25","Stein & van Peelen_2020_3_LOC_1",0.525085106382979,0.1937,0.04374403321418,0.4036,-0.0588441776981953,0.144555556811516,-99999,0,0.067573487479524,0.00335946248600224
"26","Stein & van Peelen_2020_3_LOC_2",0.499170212765957,0.5003,0.224857353818014,0,0.119867676815188,0.33310624805988,-99999,0.0138795837138073,0.148262040667254,0.070548712206047
"27","Stein & van Peelen_2020_3_PAS_1",0.367255319148936,1,-0.00626091000938683,0.85,-0.0703268035965136,0.0587477494381169,-99999,0,0.0310420118679536,0
"28","Stein & van Peelen_2020_3_PAS_2",0.49263829787234,0.5673,0.193715114862223,0,0.11445264475026,0.274909247723729,-99999,0,0.0577390092917969,0
"29","Stein & van Peelen_2020_4b_1",0.49264,0.6237,0.0205708383273483,0.718,-0.0872220925259872,0.134585925010888,-99999,0,0.107831138031885,0.0105263157894737
"30","Zerweck et al_2021_2_20",0.4287,0.9338,-2.60660166666667,0.561,-10.644955953125,5.63557141666667,7.86702555747537,0,0.132945911026523,0
"31","Zerweck et al_2021_2_29",0.4928,0.4782,4.69020708333334,0.3706,-5.13387853645833,14.5555030104167,4.49444464947858,0,0.132945911026523,0
"32","Zerweck et al_2021_2_39",0.4755,0.6161,1.80896666666666,0.7582,-8.32612809895834,12.8895283020833,5.44074548725528,0,0.181131699780963,0
