"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","quid_bf","pbt.low","pbt.high"
"58","data_Lebreton_2018.csv",0.716144,0,-0.00865640802337278,0.024,7.06229485035168e-46,0.241844975369991,0.416701346490102
"59","data_Lempert_2015.csv",0.75875,0,0.196089587256266,0.002,1.87334598090406e-16,0.175727063268798,0.474827781770245
"60","data_Lindsay_2014.csv",0.823659574468085,0,0.100613290053957,0.072,5.91427219450166e-92,0.360603598996064,0.650489642804878
"61","data_Lo_unpub.csv",0.9525625,0,-1.53408699140206,0,0,0.720621805248806,0.956739816004315
"62","data_Locke_2020.csv",0.9966,0,-0.00258102383558072,0.92,-99999,0.749048220651741,1
"63","data_Maniscalco_2017_expt1.csv",0.809533333333333,0,-0.0110076032850855,0.814,5.92777006366487e-102,0.276074537200728,0.6379305570017
"64","data_Maniscalco_2017_expt2.csv",0.837219512195122,0,0.216192950266956,0,1.67176635355147e-79,0.593638180403153,0.861126747924139
"65","data_Maniscalco_2017_expt3.csv",0.788,0,0.0862214425074541,0.032,6.82059773356378e-22,0.334269422444635,0.747210216891107
"66","data_Maniscalco_2017_expt4.csv",0.773575757575758,0,0.125240292579916,0.01,2.97882011273499e-91,0.36156176306607,0.715155204725412
"67","data_Martin_unpub.csv",0.823047619047619,0,0.000978292698388439,0.938,-99999,0.24309322457362,0.6595689356043
"68","data_Massoni_2017.csv",0.679133333333333,0,-0.00463761628631882,0.346,1.81059967513521e-13,0.0744640406811701,0.222721433775211
"69","data_Massoni_unpub.csv",0.70096,0,0.00220388034993088,0.738,6.61540212986714e-17,0.19786075129207,0.469114571089194
"70","data_Matthews_2019.csv",0.778529411764706,0,-0.153167804429598,0,5.3724731468986e-50,0.305148858306303,0.64221956274634
"71","data_Mazancieux_2018.csv",0.551414364640884,0.005,0.0688671061436009,0.166,4.68403712477284e-06,0.0169238909341726,0.110375583868633
"72","data_Mazor_2020.csv",0.808565217391304,0,0.277524375046299,0,7.00120696620225e-104,0.393243496789949,0.684198736497223
"73","data_Mazor_2021_Expt1.csv",0.803951219512195,0,-0.0908109243681128,0,6.25052183113745e-287,0.443290021348982,0.588899738564877
"74","data_Mazor_2021_Expt2.csv",0.71986013986014,0,-0.0500194144846061,0,3.61571914432719e-140,0.220932894429852,0.387275505983335
"75","data_Mazor_2021_Expt3.csv",0.788826388888889,0,-0.104297927833721,0,0,0.462091884053698,0.58718452765024
"76","data_Mazor_2021_Expt4.csv",0.781477386934673,0,-0.0919308820218519,0,4.96201952731923e-224,0.312599644181523,0.460789220699937
"77","data_Mazor_2021_Expt5.csv",0.665856209150327,0,-0.00942742209346144,0.262,5.37315712440235e-28,0.150899558558918,0.301325108443071
"78","data_Mazor_2021_Expt6.csv",0.699542372881356,0,0.0339369174113356,0.004,2.79005241777702e-49,0.193954611760078,0.37337082943904
"79","data_Mazor_2021_Expt7.csv",0.86325,0,-0.163016850868457,0,0,0.539351466430959,0.713342898931893
"80","data_Mei_2019_Exp1.csv",0.737733333333333,0.001,-0.062219077701861,0.02,1.99042859641567e-17,0.264424194549303,0.742966571948592
"81","data_Mei_2019_Exp2.csv",0.858,0,-0.0227224996665049,0.586,2.09348589844341e-31,0.360373580743444,0.814034405005053
"82","data_OHora_2017.csv",0.686,0,-0.112497410305836,0.832,6.3848817775206e-19,0.168186934860967,0.529855950457629
"83","data_OHora_unpub_1.csv",0.620555555555556,0.007,0.745017447931287,0.022,1.1339737772209e-06,0.0629861968215672,0.338535180584102
"84","data_OHora_unpub_2.csv",0.763259259259259,0,0.677272938407269,0.618,5.85330135573459e-19,0.106242591086069,0.449416912211107
"85","data_Palser_2018.csv",0.646833333333333,0,0.984491954035326,0.304,3.20090544462096e-13,0.152649634827338,0.419967692573787
"86","data_Paulewicz_unpub1.csv",0.688415094339623,0,0.256487290149473,0,6.6997240591244e-17,0.217304767423877,0.483756327229188
"87","data_Paulewicz_unpub3.csv",0.651733333333333,0,0.137177421570191,0.016,2.28042834250601e-19,0.18772275816819,0.471905603071373
"88","data_Paulewicz_unpub4.csv",0.569470588235294,0.042,0.0447456319316714,0.244,1.42597085847502e-05,0.0271132650684577,0.28663684066913
"89","data_Pereira_2018.csv",0.76312,0,-0.0114403795629529,0.492,2.76352157497204e-13,0.339007569383099,0.722988041145004
"90","data_Peters_unpub.csv",0.9291,0,11.1263546815066,0,3.66022415272273e-106,0.674511744272464,0.915623757475995
"91","data_Prieto_unpub.csv",0.761117647058824,0,-0.0835273854287583,0.01,9.85235454233302e-117,0.301519621169815,0.442008474586874
"92","data_Rahnev_2013.csv",0.9355,0,-0.0338417731250148,0.118,3.59260930171599e-63,0.556805846771581,0.966030521036434
"93","data_Rausch_2016.csv",0.819,0,-1.67655480383031,0.00600000000000001,7.99660194352976e-37,0.358200057580615,0.77590864989219
"94","data_Rausch_2018_Expt1.csv",0.848,0,-0.0417269351812824,0.424,2.79853430409507e-42,0.358200057580615,0.77590864989219
"95","data_Rausch_2018_Expt2.csv",0.883282051282051,0,0.148944960855533,0.002,1.58364841545902e-220,0.379957049964427,0.694068970277551
"96","data_Rausch_2020.csv",0.9204,0,0.324569120515583,0,1.56471163096302e-129,0.602679832960619,0.917166429495524
"97","data_Recht_unpub.csv",0.8094,0,0.014110063469973,0.604,-99999,0.11437686088486,0.664893135016724
"98","data_Reyes_2015.csv",0.751777777777778,0,-0.00796468369451982,0.878,5.61985184785637e-15,0.30475037313466,0.678240558839899
"99","data_Reyes_unpub.csv",0.664521739130435,0,0.0170218834722556,0.83,1.35247281568307e-42,0.162426122664791,0.438104515034256
"100","data_Rouault_2018_Expt1.csv",0.743847389558233,0,0.0222820251353827,0.382,2.67760967217928e-289,0.317215399399114,0.407245058251022
"101","data_Rouault_2018_Expt2.csv",0.742784708249497,0,0.0187621390687225,0.358,0,0.336621299466506,0.427428116587436
"102","data_Rouault_2019.csv",0.671888888888889,0,0.00227713902480229,0.47,1.80677343239396e-08,0.0586184020003047,0.244891586730502
"103","data_Rouault_2020.csv",0.673853658536585,0,1.18412893931056,0.592,0.0448970858422393,0.191513810986896,0.49001824010541
"104","data_Sadeghi_2017_memory.csv",0.85816,0,-0.635977280326421,0,9.35513296537859e-272,0.566812303387777,0.821138363156238
"105","data_Sadeghi_2017_perception.csv",0.68536,0,0.0513579345930849,0.354,2.0900833665517e-11,0.179554400659265,0.44736960187929
"106","data_Schmidt_2019_memory.csv",0.804444444444444,0,0.318836214413861,0,1.02839653879019e-24,0.200820084159318,0.568446847893689
"107","data_Schmidt_2019_perception.csv",0.766666666666667,0,0.0276021382440556,0.69,5.50220860991496e-26,0.200820084159318,0.568446847893689
"108","data_Schurgin_2018.csv",0.698228571428571,0,-0.0169482132809277,0.584,4.6226299125853e-23,0.160039456722159,0.381136297149939
"109","data_Shekhar_2018.csv",0.844842105263158,0,-0.0521555017076704,0.224,5.67886583505233e-20,0.331987078382365,0.761951510768659
"110","data_Shekhar_2021.csv",0.8667,0,-0.749394532829227,0.338,2.88921374325998e-130,0.520290497341532,0.893477495371461
"111","data_Sherman_2016_JN.csv",0.809157894736842,0,-0.0263248894276734,0.508,-99999,0.331987078382365,0.761951510768659
"112","data_Sherman_2016_JOCN.csv",0.999666666666667,0,-0.0994015705720371,0.398,0,0.760150870199613,0.996890845839469
"113","data_Sherman_unpub_Expt1.csv",0.802434782608696,0,-0.00244251292913851,0.97,9.73883309748553e-126,0.314457264020068,0.610776013900815
"114","data_Sherman_unpub_Expt2.csv",0.823666666666667,0,-0.954093651532142,0.142,8.92221498562579e-59,0.276902152115754,0.670466268994027
"115","data_Siedlecka_2016.csv",0.557166666666667,0,-0.0427118576756503,0.434,0.0661952156931659,0,0.114014708215465
