"","idv","iv","iv2","dv","exp","order","half"
"190",1,"JA",1,0.552226972999961,"Battich_etal_2021_rt_1","B2",2
"191",1,"JA",1,0.607358985000246,"Battich_etal_2021_rt_1","B2",2
"192",1,"JA",1,0.478952376000052,"Battich_etal_2021_rt_1","B2",2
"193",1,"JA",2,0.587811647000308,"Battich_etal_2021_rt_1","B2",2
"194",1,"JA",2,1.12298582299991,"Battich_etal_2021_rt_2","B2",2
"195",1,"JA",1,1.1864958670003,"Battich_etal_2021_rt_1","B2",2
"196",1,"JA",2,1.0377611670001,"Battich_etal_2021_rt_1","B2",2
"197",1,"JA",1,1.06580090199986,"Battich_etal_2021_rt_2","B2",2
"198",1,"JA",1,0.669300698999905,"Battich_etal_2021_rt_1","B2",2
"199",1,"JA",1,0.523648575999687,"Battich_etal_2021_rt_2","B2",2
"200",1,"JA",1,1.54629082999963,"Battich_etal_2021_rt_2","B2",2
"201",1,"JA",1,0.937289873999362,"Battich_etal_2021_rt_2","B2",2
"202",1,"JA",2,1.19027311799982,"Battich_etal_2021_rt_2","B2",2
"203",1,"JA",1,1.13507066400052,"Battich_etal_2021_rt_2","B2",2
"204",1,"JA",2,0.596512608000012,"Battich_etal_2021_rt_1","B2",2
"205",1,"JA",1,1.24804745999973,"Battich_etal_2021_rt_1","B2",2
"206",1,"JA",2,0.948880250999537,"Battich_etal_2021_rt_1","B2",2
"207",1,"JA",2,0.861783059999652,"Battich_etal_2021_rt_2","B2",2
"208",1,"JA",1,0.729246184000658,"Battich_etal_2021_rt_2","B2",2
"209",1,"JA",2,0.667937527000504,"Battich_etal_2021_rt_2","B2",2
"210",1,"JA",1,1.27307175199985,"Battich_etal_2021_rt_1","B2",2
"211",1,"JA",2,0.758541304000573,"Battich_etal_2021_rt_1","B2",2
"212",1,"JA",1,0.880238484999609,"Battich_etal_2021_rt_1","B2",2
"213",1,"JA",2,0.475890613999582,"Battich_etal_2021_rt_1","B2",2
"214",1,"JA",2,0.310497586000565,"Battich_etal_2021_rt_1","B2",2
"215",1,"JA",1,0.645969476000573,"Battich_etal_2021_rt_2","B2",2
"216",1,"JA",1,0.610837431000618,"Battich_etal_2021_rt_1","B2",2
"217",1,"JA",1,0.886990965000223,"Battich_etal_2021_rt_1","B2",2
"218",1,"JA",2,1.31956794599955,"Battich_etal_2021_rt_2","B2",2
"219",1,"JA",2,0.738013807000243,"Battich_etal_2021_rt_1","B2",2
"220",1,"JA",1,0.653476292999585,"Battich_etal_2021_rt_1","B2",2
"221",1,"JA",1,0.877842106000571,"Battich_etal_2021_rt_1","B2",2
"222",1,"JA",2,0.919973482999922,"Battich_etal_2021_rt_2","B2",2
"223",1,"JA",1,1.20776333100002,"Battich_etal_2021_rt_2","B2",2
"224",1,"JA",1,1.05860164499973,"Battich_etal_2021_rt_2","B2",2
"225",1,"JA",1,0.772879178999574,"Battich_etal_2021_rt_1","B2",2
"226",1,"JA",1,0.798919049000688,"Battich_etal_2021_rt_1","B2",2
"227",1,"JA",1,0.945354630999645,"Battich_etal_2021_rt_1","B2",2
"228",1,"JA",2,0.593298445999608,"Battich_etal_2021_rt_2","B2",2
"229",1,"JA",2,0.774203688999478,"Battich_etal_2021_rt_1","B2",2
"230",1,"JA",2,1.10171118299968,"Battich_etal_2021_rt_2","B2",2
"231",1,"JA",2,0.640257246000147,"Battich_etal_2021_rt_2","B2",2
"232",1,"JA",2,0.750864378000188,"Battich_etal_2021_rt_1","B2",2
"233",1,"JA",2,0.921960806999778,"Battich_etal_2021_rt_1","B2",2
"234",1,"JA",1,1.25834567400034,"Battich_etal_2021_rt_1","B2",2
"235",1,"JA",1,0.906995536999602,"Battich_etal_2021_rt_2","B2",2
"236",1,"JA",1,0.704268490999311,"Battich_etal_2021_rt_2","B2",2
"237",1,"JA",2,0.824101598999732,"Battich_etal_2021_rt_2","B2",2
"238",12,"JA",2,0.6014294040001,"Battich_etal_2021_rt_1","B1",1
"239",12,"JA",1,0.420756385000004,"Battich_etal_2021_rt_1","B1",1
"240",12,"JA",1,0.495833258999937,"Battich_etal_2021_rt_1","B1",1
"241",12,"JA",1,0.43447474300001,"Battich_etal_2021_rt_2","B1",1
"242",12,"JA",1,0.522174643999733,"Battich_etal_2021_rt_2","B1",1
"243",12,"JA",1,0.41690382500019,"Battich_etal_2021_rt_2","B1",1
"244",12,"JA",2,0.426900243000091,"Battich_etal_2021_rt_1","B1",1
"245",12,"JA",2,0.446928545999981,"Battich_etal_2021_rt_1","B1",1
"246",12,"JA",1,0.342069071999958,"Battich_etal_2021_rt_1","B1",1
"247",12,"JA",1,0.433112090000122,"Battich_etal_2021_rt_1","B1",1
"248",12,"JA",2,0.355342778000249,"Battich_etal_2021_rt_2","B1",1
"249",12,"JA",2,0.407098954000048,"Battich_etal_2021_rt_2","B1",1
